sub_archetype,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,green_conditions,stage4b_conditions,stage4c_conditions,red_flags,case_candidates,production_scoring_changed,interpretation
PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,16,18,8,16,12,0,5,regulation_approval|transaction_volume|fee_model|recurring_revenue,regulatory_expectation_overheated|related_stocks_rally_without_revenue,regulation_denied_or_delayed|security_issue|transaction_volume_disappoints,law_delay|security_issue|no_revenue|theme_only_payment,stablecoin_payment_infra_candidate|sto_platform_candidate,false,Payment/fintech can become more than a theme only after adoption and fee economics are visible.
DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,10,8,5,8,5,0,5,regulated_revenue|issued_volume|institutional_adoption|cash_flow,law_expectation_crowding|crypto_theme_price_run,regulation_crackdown|security_issue|volume_absent,no_regulated_revenue|theme_only_tokenization|law_delay,crypto_theme_no_revenue_counterexample|regulation_crackdown_4c,false,Tokenization is RedTeam-first; law headlines do not create structural EPS/FCF evidence.
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,15,20,5,15,25,10,5,loss_ratio_improvement|csm_growth|capital_ratio_stable|shareholder_return_execution,pbr_roe_gap_normalized|valueup_consensus_crowded,loss_ratio_worsens|capital_ratio_down|return_policy_retreat,low_pbr_only|weak_capital_ratio|credit_cost,nonlife_insurance_loss_ratio_success_candidate|life_insurance_csm_candidate|low_pbr_no_roe_value_trap,false,Insurance needs underwriting quality and capital return; high dividend alone is not enough.
BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,22,23,12,16,13,0,5,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,kbeauty_reports_crowded|margin_peak|target_multiple_saturated,sell_through_slowdown|receivables_spike|tariff_or_regulation_hit,china_dependency|viral_only_brand|channel_stuffing,kbeauty_oem_odm_success_candidate|channel_stuffing_receivables_4c,false,K-beauty supply chain can be Green-eligible only when repeat orders and working capital quality align.
BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,20,16,14,10,10,0,5,ess_demand|lifecycle_recycling_volume|utilization_improvement|fcf_after_capex,ess_shift_fully_priced|ev_slowdown_ignored|capacity_story_crowded,ev_demand_slows|mineral_price_down|utilization_down|capex_overbuild,ev_demand_headline_only|recycling_volume_absent|margin_unclear,ess_shift_battery_candidate|battery_capa_overbuild,false,"ESS/recycling is a watch path inside battery, not automatic Green while EV/CAPA risk remains high."
HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,18,18,12,12,10,0,5,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_support_fully_priced|factory_announcement_without_orders,subsidy_cut|utilization_down|project_delay,policy_only|no_customer|no_revenue,hydrogen_fuel_cell_plant_candidate|hydrogen_theme_no_revenue_counterexample,false,Hydrogen needs CAPEX plus customers and utilization; policy enthusiasm is not enough.
SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,18,18,12,12,10,0,5,project_backlog|tariff_visibility|subsidy_support|margin_visibility,subsidy_story_crowded|policy_premium_ahead_of_orders,customs_hold|tariff_delay|subsidy_cut|supply_chain_disruption,policy_dependency|module_oversupply|tariff_risk,solar_policy_candidate|solar_tariff_supplychain_4c,false,Solar policy is RedTeam-first where tariff/customs risk can quickly break the thesis.
TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,20,18,10,14,14,0,5,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,peak_margin|auto_cycle_peak|valuation_normalized,raw_material_spike|factory_disruption|customer_demand_slowdown|recall_quality_cost,single_customer_dependency|ev_demand_slowdown|factory_fire,tire_spread_success_candidate|factory_fire_4c_counterexample,false,"Tire/component evidence must connect ASP, raw-material spread, and customer diversification."
CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,20,24,12,12,12,0,5,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_expectation_overheated|valuation_saturated|new_plant_fully_priced,utilization_down|patent_litigation|contract_delay|price_competition,capacity_overbuild|customer_concentration|litigation,cro_cmo_contract_candidate|cdmo_capacity_underutilization,false,"CDMO is contract/utilization scoring, not clinical-story scoring."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,20,22,8,16,14,0,5,recurring_contract|security_demand|opm_leverage|legal_risk_low,security_theme_crowded|ai_security_narrative_ahead_of_revenue,budget_cut|churn|governance_or_legal_risk,theme_only_security|no_recurring_revenue|ai_cost_overrun,security_identity_candidate|deepfake_theme_no_revenue_counterexample,false,Security/deepfake tags need recurring contracts and low legal/governance risk.
