theme_tag,large_sector,primary_sub_archetype,canonical_archetype,posture,theme_is_score_input,must_have_evidence,red_flags
편의점,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure
홈쇼핑,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure
음식료-유통,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure
콜드체인,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure
키즈/유아용품,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure
손해보험,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,false,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only
생명보험,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,false,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only
화재,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,false,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only
고배당주,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,false,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only
밸류업 지수,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,false,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only
결제서비스,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent
토스 관련주,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent
지역화폐,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent
신용정보,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent
STO,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,false,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent
스테이블코인,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue
디지털자산,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue
블록체인,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue
NFT,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue
코인 테마,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue
화장품 OEM,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,false,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike
화장품 ODM,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,false,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike
화장품 원재료,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,false,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike
화장품 부자재,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,false,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike
K뷰티,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,false,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike
2차전지 소재,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
폐배터리,BATTERY_EV_GREEN,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,false,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear
