case_id,detected_stage,price_path_status,verdict,normalization_adjustment
hanmi_hbm_bonder_stage3_4b_case,Stage 3 candidate + 4B-watch,Micron media report and SK Hynix order created early price reaction; exact stage prices need KRX backfill,stage3_catch_and_4b_cool_required,credit confirmed customer contract; cap unconfirmed Micron report; reduce valuation room after rapid rally
isu_petasys_ai_server_pcb_487pct_4b_case,Stage 3 candidate -> 4B-watch,"AI server PCB rerating can be real, but 487% reference move makes valuation runway limited",structural_success_but_late_4b,credit AI server PCB exposure before rerating; apply 4B haircut after 300-500% move
leeno_ai_test_socket_stage25_case,Stage 2.5 -> Stage 3 candidate,"70% AI boom rally is attention, not Green without OP/EPS and socket demand detail",quality_business_not_green_yet,credit high-margin socket and testing exposure; cap Stage 3 before customer and revision data
db_hitek_foundry_reram_stage2_case,Stage 1/2,"Policy foundry and ReRAM license are options, not wafer revenue",policy_license_not_green,credit policy and license; block Green before customer wafer revenue and OP/EPS revision
rebellions_sapeon_related_stock_green_cap_case,Stage 1/2 event,Private-company merger and government investment do not automatically flow into listed EPS,listed_link_missing,"credit ecosystem event; require equity-method income, direct revenue, or customer shipment"
hanmi_micron_media_report_not_contract_case,Stage 2 + 4B-watch,Possible Micron deal moved price but was not a finalized disclosed contract,media_report_cap_correct,treat as supporting evidence only until final contract terms are verified
samsung_labor_disruption_overlay_case,4C overlay,Labor disruption can hurt Samsung exposure and broader supply chain delivery reliability,hard_redteam_alignment,apply operational disruption overlay to delivery and execution confidence
on_device_ai_revenue_missing_case,Stage 1/2,On-device AI theme can move price before actual adoption revenue appears,theme_without_revenue_blocked,allow research routing; block Green before design-win revenue and OP/EPS revision
hbm_test_equipment_stage2_case,Stage 2,"HBM test narrative needs actual customer orders, shipment schedule, and OP/EPS conversion",equipment_watch_not_green_yet,credit HBM test bottleneck; cap before order and revision proof
ai_chip_private_related_direct_revenue_missing_case,event premium / 4C gate,Private valuation and listed-company price are separated until direct earnings link appears,direct_earnings_gate_contains_false_green,block Stage 3 when listed company has no direct revenue or equity-method income
