target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,customer_contract_shipment_visibility,bottleneck_process_adoption,early_price_validation,mass_production_yield_diversification,ip_labor_security_disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
GLASS_SUBSTRATE_ADVANCED_PACKAGING_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,GLASS_SUBSTRATE_ADVANCED_PACKAGING_KOREA,WATCH_YELLOW_FIRST,20,20,18,10,10,12,8,glass_substrate|advanced_packaging|ai_server_packaging|hpc_or_defense_application,chips_grant|georgia_covington_facility|test_batch_production|production_ramp_plan,customer_qualification|yield_visible|commercial_shipment|revenue_recognition|opm_fcf_visible,glass_substrate_basket_rally|customer_yield_missing_rally,customer_missing|yield_failure|shipment_delay|capex_return_unclear,customer_qualification|yield_visible|shipment_revenue|op_eps_revision,customer_missing|yield_missing|revenue_missing|capex_risk,customer_missing|yield_missing|commercial_revenue_missing,false,false,"Glass substrate is Stage 2-quality when facility/grant/test production exist, but Green waits for customer, yield, shipment, and revenue."
SYSTEM_SEMI_DESIGN_HOUSE_AI_ORDER,AI_SEMICONDUCTOR_ELECTRONICS,SYSTEM_SEMI_DESIGN_HOUSE_AI_ORDER,WATCH_YELLOW_FIRST,20,22,16,10,8,10,8,system_semi|ai_chip_design_house|samsung_2nm|npu_or_hpc_chip,customer_name|design_role_confirmed|advanced_packaging_included|tapeout_or_order_reference,order_size_visible|revenue_recognition|repeat_nre_or_royalty|mass_production|op_eps_revision,design_win_price_rally_without_order_size|2nm_ai_chip_keyword_crowded,order_size_undisclosed|revenue_missing|foundry_execution_risk|tapeout_delay,order_size|revenue_recognition|repeat_design_win|op_eps_revision,order_size_missing|revenue_missing|single_customer|foundry_execution_risk,order_size_missing|design_win_to_revenue_gap|foundry_execution_risk,false,false,"Design-house Stage 2 needs customer and role; Stage 3 waits for order size, revenue, repeat design win, and OP/EPS conversion."
HBM_TEST_EQUIPMENT_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,HBM_TEST_EQUIPMENT_KOREA,GREEN_POSSIBLE,23,22,17,12,8,10,8,hbm_test|memory_test_handler|cube_prober|wafer_test|sk_hynix_capex,customer_capex|actual_equipment_order|shipment_schedule|hbm_test_exposure,customer_order_conversion|op_eps_revision|shipment_to_revenue|repeat_order|60d_mfe_20pct,hbm_test_theme_crowded|price_before_order|basket_rotation,order_missing|shipment_delay|customer_capex_delay|op_eps_revision_down,customer_order|shipment_schedule|op_eps_revision|repeat_order|price_path_aligned,actual_order_missing|shipment_missing|price_only_rally|capex_delay,actual_order_missing|op_eps_missing|price_only_rally,false,false,"HBM test equipment can become Stage 3, but individual order, shipment, OP/EPS, repeat order, and price path must be backfilled."
ADVANCED_PACKAGING_EQUIPMENT_BASKET,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_EQUIPMENT_BASKET,WATCH_YELLOW_FIRST,21,20,17,10,8,11,8,advanced_packaging_equipment|wafer_bonding|underfill|die_attach|post_bond_inspection,customer_qualification|equipment_order|shipment_schedule|spinoff_focus,actual_customer|order_value|shipment_revenue|margin_visible|op_eps_revision,packaging_equipment_keyword_rally|spinoff_price_ahead_of_orders,actual_order_missing|governance_allocation_risk|share_price_failed|shipment_delay,customer_order|shipment_revenue|op_eps_revision|governance_clean,order_missing|governance_risk|allocation_unclear|price_failed,order_missing|governance_allocation|shipment_delay,false,false,"Advanced packaging equipment remains capped before customer orders, shipment revenue, margin, and governance clarity."
AI_SERVER_PCB_SUBSTRATE_SECOND_WAVE,AI_SEMICONDUCTOR_ELECTRONICS,AI_SERVER_PCB_SUBSTRATE_SECOND_WAVE,GREEN_POSSIBLE,23,21,16,12,8,9,8,ai_server_pcb|high_layer_pcb|fc_bga|server_board|accelerator_board,ai_server_customer_demand|substrate_or_pcb_order_signal|inventory_normalization|asp_signal,asp_confirmation|op_eps_revision|customer_diversification|server_auto_mix|price_path_aligned,ai_server_parts_keyword_rally|inventory_not_cleared_rally,inventory_risk|customer_concentration|op_eps_missing|smartphone_cycle_drag,asp_confirmation|inventory_normalization|op_eps_revision|customer_diversification,inventory_risk|customer_concentration|op_eps_missing|price_only_rally,inventory_asp_opm_missing|customer_concentration,false,false,"AI server PCB/substrate second-wave names need ASP, inventory, OPM, customer diversification, and price-path evidence."
MLCC_AI_SERVER_COMPONENTS,AI_SEMICONDUCTOR_ELECTRONICS,MLCC_AI_SERVER_COMPONENTS,WATCH_YELLOW_FIRST,21,19,14,10,8,9,8,mlcc|ai_server_component|semiconductor_substrate|automotive_electronics|camera_module,component_mix_improvement|asp_signal|inventory_signal|ai_server_or_auto_mix,asp_confirmation|inventory_normalized|op_eps_revision|customer_mix_improvement,mlcc_ai_server_keyword_rally|smartphone_weakness_ignored,inventory_build|asp_missing|smartphone_weakness|customer_concentration,asp_confirmation|inventory_normalization|op_eps_revision|mix_improvement,inventory_risk|asp_missing|smartphone_cycle|customer_concentration,inventory_asp_gate|smartphone_cycle_drag,false,false,"MLCC and components can support Stage 2, but Green needs ASP, inventory, mix, and OP/EPS conversion."
CAMERA_LIDAR_ADAS_ELECTRONICS,AI_SEMICONDUCTOR_ELECTRONICS,CAMERA_LIDAR_ADAS_ELECTRONICS,WATCH_YELLOW_FIRST,20,19,13,10,8,9,8,camera_module|lidar|adas|robotics_sensor|ar_headset_sensor,strategic_collaboration|equity_stake|design_win_option|sensor_capacity_expansion,commercial_revenue|customer_design_win|mass_production|op_eps_revision|apple_concentration_relief,lidar_name_rally_without_revenue|strategic_investment_priced_as_contract,direct_revenue_missing|apple_concentration|adas_adoption_delay|commercialization_delay,commercial_revenue|design_win|mass_production|op_eps_revision,direct_revenue_missing|customer_adoption_missing|apple_concentration,commercial_revenue_missing|adoption_timing,false,false,Camera/lidar/ADAS exposure is Stage 2 option evidence until design-win revenue and mass production are visible.
ON_DEVICE_AI_THEME_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,ON_DEVICE_AI_THEME_KOREA,REDTEAM_FIRST,16,14,10,10,6,10,6,on_device_ai|lpddr|video_ip|automotive_ap|npu|cxl,design_win|license|customer_pilot|adoption_signal,mass_production_revenue|royalty_or_license_revenue|op_eps_revision|repeat_customer,price_only_theme|npu_keyword_crowded|cxl_keyword_crowded,direct_revenue_missing|adoption_missing|customer_detail_missing|op_eps_revision_missing,mass_production_revenue|royalty_revenue|op_eps_revision|customer_detail,theme_only|direct_revenue_missing|adoption_missing|price_only_rally,theme_only|revenue_missing|customer_missing,false,false,"On-device AI routes research. It cannot become Green before adoption revenue, royalty/license evidence, and OP/EPS revision."
SEMI_CAPEX_ORDER_TO_REVENUE,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_CAPEX_ORDER_TO_REVENUE,GREEN_POSSIBLE,22,21,16,12,8,10,8,semi_capex|memory_capex|foundry_capex|process_equipment,customer_capex_plan|equipment_order|shipment_schedule|order_backlog,shipment_to_revenue|op_eps_revision|repeat_order|margin_visible|60d_mfe_20pct,capex_cycle_keyword_rally|order_priced_before_revenue,customer_capex_delay|order_pushout|inventory_build|op_eps_revision_down,equipment_order|shipment_revenue|op_eps_revision|repeat_order,capex_delay|order_pushout|op_eps_missing|price_only_rally,capex_cycle_cap|order_to_revenue_gap,false,false,"Semi CAPEX names can be Stage 3 only when customer CAPEX becomes orders, shipment revenue, OP/EPS, and repeat demand."
IP_LEAK_SUPPLY_CHAIN_REDTEAM,AI_SEMICONDUCTOR_ELECTRONICS,IP_LEAK_SUPPLY_CHAIN_REDTEAM,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,k_memory_moat|hbm_process_advantage|supply_chain_premium,ip_leak_report|china_memory_catchup_risk|process_technology_disclosure,not_green_until_moat_and_customer_confidence_reconfirmed,moat_priced_without_ip_risk,ip_leak|china_cxmt_catchup|customer_confidence_damage|valuation_room_reduced,,ip_leak|china_catchup|customer_confidence_damage,ip_leak|china_competition|moat_uncertain,true,false,"IP leakage and China catch-up are hard RedTeam overlays for memory, equipment, test, and materials supply chains."
