field,required_for_round180_backfill
ticker,true
company_name,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_transport_basket,true
relative_strength_vs_auto_basket,true
relative_strength_vs_tourism_basket,true
relative_strength_vs_shipping_basket,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
vehicle_sales_volume,true
hybrid_mix,true
us_localization_ratio,true
tariff_cost,true
price_cut_signal,true
sdv_delay_flag,true
capex_hike_flag,true
parcel_volume,true
parcel_unit_price,true
delivery_cost_per_unit,true
automation_capex,true
labor_regulation_flag,true
visitor_arrivals,true
average_spend,true
duty_free_sales,true
casino_drop_amount,true
casino_hold_rate,true
hotel_revpar,true
freight_rate_index,true
teu_or_bulk_volume,true
vessel_supply_growth,true
red_sea_route_normalization_flag,true
safety_accident_flag,true
recall_flag,true
quality_cost_flag,true
insurance_compensation_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
