case_id,detected_stage,price_path_status,verdict,normalization_adjustment
hd_hyundai_electric_transformer_stage3_4b_case,Stage 3 candidate + 4B-watch,KRX bars must backfill 60D/120D/252D MFE and valuation room,stage3_catch_and_4b_cool_required,"raise bottleneck/visibility, reduce valuation room after crowded rerating"
hyosung_hico_hvdc_stage25_case,Stage 2.5 -> Stage 3 candidate,HICO/HVDC evidence strong; OP/EPS revision and price path still need backfill,stage2_5_not_green_yet,"credit US localization and HVDC, keep disclosure and margin cap"
doosan_czech_nuclear_preferred_bidder_case,Stage 2 + 4B-watch,"Preferred bidder produced a price rally, but final contract and scope were not yet visible",event_to_contract_not_green_yet,"credit preferred bidder; cap before contract signing, scope, margin, and OP/EPS revision"
hd_hyundai_heavy_mipo_merger_stage2_4b_case,Stage 2 + 4B-watch,Merger announcement had large one-day price reaction and record-high context,event_to_structural_watch,credit restructuring; apply 4B watch before real US shipbuilding/MRO contract economics
hd_hyundai_marine_solution_ipo_mro_case,Stage 2/3 candidate + IPO 4B,IPO first-day premium requires valuation-room haircut,good_model_but_ipo_4b,credit recurring MRO; cap Green before post-listing FCF/OPM and customer diversification
kai_fa50_philippines_stage2_case,Stage 2,"Customer, amount, aircraft count, and delivery deadline visible; margin and follow-on exports pending",stage2_not_green_yet,credit contract detail; cap before OP/EPS revision and margin visibility
lig_nex1_cheongung_combat_validation_stage25_case,Stage 2.5 + 4B-watch,Combat validation and +47% rally are strong but contract terms are absent,price_path_attention_not_green,allow Stage 2.5 watch; block Green before export contract and EPS revision
hanwha_ocean_china_sanction_4c_case,Stage 2 option -> 4C-watch,US shipbuilding/MRO option is offset by China sanction retaliation,hard_redteam_alignment,apply geopolitical sanction hard gate
hd_hyundai_mipo_loi_only_case,Stage 1 / weak Stage 2,LOI/contract talk cannot support Stage 3 even if price moves,green_block_correct,"cap LOI until final contract, customer, margin, and delivery detail appear"
doosan_czech_nuclear_legal_gate_case,Stage 2 -> legal 4C-watch,Preferred bidder rally faced appeal / contract-signing prohibition gate,legal_gate_contains_false_green,block Stage 3 before legal gate clears and contract scope is signed
