case_id,present,company_name,primary_archetype,case_type,price_validation_status
hd_hyundai_electric_2023,True,HD현대일렉트릭,CONTRACT_BACKLOG_INDUSTRIAL,structural_success,needs_price_backfill
iljin_electric_2023_2024,True,일진전기,CONTRACT_BACKLOG_INDUSTRIAL,structural_success,needs_price_backfill
hyosung_heavy_2023,True,효성중공업,CONTRACT_BACKLOG_INDUSTRIAL,structural_success,needs_price_backfill
daehan_cable_like_2026,True,대한전선-like,CONTRACT_BACKLOG_INDUSTRIAL,failed_rerating,needs_price_backfill
hanwha_aerospace_2024,True,한화에어로스페이스,DEFENSE_GOVERNMENT_BACKLOG,structural_success,needs_price_backfill
defense_theme_no_backlog,True,방산테마_백로그부족,DEFENSE_GOVERNMENT_BACKLOG,failed_rerating,needs_price_backfill
hyundai_rotem_k2_export,True,현대로템 K2 수출,DEFENSE_GOVERNMENT_BACKLOG,success_candidate,needs_price_backfill
samsung_heavy_shipbuilding_cycle,True,삼성중공업 조선사이클,SHIPBUILDING_OFFSHORE_BACKLOG,cyclical_success,needs_price_backfill
shipbuilding_low_margin_backlog,True,조선 저마진 수주잔고,SHIPBUILDING_OFFSHORE_BACKLOG,failed_rerating,needs_price_backfill
nuclear_czech_policy_contract,True,체코 원전 정책계약,NUCLEAR_SMR_GRID_POLICY,event_premium,needs_price_backfill
nuclear_legal_delay,True,원전 법적 지연,NUCLEAR_SMR_GRID_POLICY,4c_thesis_break,needs_price_backfill
sk_hynix_hbm_rerating,True,SK하이닉스 HBM 리레이팅,MEMORY_HBM_CAPACITY,structural_success,needs_price_backfill
sk_hynix_hbm_4b_watch,True,SK하이닉스 HBM 4B Watch,MEMORY_HBM_CAPACITY,4b_watch,needs_price_backfill
samsung_memory_recovery,True,삼성전자 메모리 회복,MEMORY_HBM_CAPACITY,cyclical_success,needs_price_backfill
simple_dram_rebound,True,단순 DRAM 반등,MEMORY_HBM_CAPACITY,failed_rerating,needs_price_backfill
hanmi_semi_hbm_equipment,True,한미반도체 HBM 장비,SEMI_EQUIPMENT_CAPEX,success_candidate,needs_price_backfill
semi_equipment_customer_capex_cut,True,반도체장비 고객 Capex 축소,SEMI_EQUIPMENT_CAPEX,4c_thesis_break,needs_price_backfill
ai_dc_power_grid,True,AI 데이터센터 전력망,AI_DATA_CENTER_INFRASTRUCTURE,success_candidate,needs_price_backfill
ai_dc_theme_no_order,True,AI 데이터센터 테마 무수주,AI_DATA_CENTER_INFRASTRUCTURE,overheat,needs_price_backfill
esopcb_ai_server,True,AI 서버 PCB,AI_DATA_CENTER_INFRASTRUCTURE,success_candidate,needs_price_backfill
samyang_foods_2024,True,삼양식품,EXPORT_RECURRING_CONSUMER,structural_success,needs_price_backfill
one_product_fad_consumer,True,단일제품 유행 소비재,EXPORT_RECURRING_CONSUMER,failed_rerating,needs_price_backfill
consumer_recall_regulation,True,소비재 리콜 규제,EXPORT_RECURRING_CONSUMER,4c_thesis_break,needs_price_backfill
silicontwo_2024,True,실리콘투,K_BEAUTY_EXPORT_DISTRIBUTION,success_candidate,needs_price_backfill
apr_kbeauty_device,True,APR K뷰티 디바이스,K_BEAUTY_EXPORT_DISTRIBUTION,success_candidate,needs_price_backfill
kbeauty_china_dependency,True,K뷰티 중국 의존,K_BEAUTY_EXPORT_DISTRIBUTION,failed_rerating,needs_price_backfill
kbeauty_channel_stuffing,True,K뷰티 채널 스터핑,K_BEAUTY_EXPORT_DISTRIBUTION,4c_thesis_break,needs_price_backfill
classys_medical_export,True,클래시스 의료기기 수출,MEDICAL_DEVICE_HEALTHCARE_EXPORT,success_candidate,needs_price_backfill
single_device_no_consumable,True,소모품 없는 단일 의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,failed_rerating,needs_price_backfill
medical_approval_delay,True,의료기기 승인 지연,MEDICAL_DEVICE_HEALTHCARE_EXPORT,4c_thesis_break,needs_price_backfill
kb_financial_valueup,True,KB금융 밸류업,VALUE_UP_SHAREHOLDER_RETURN,event_premium,needs_price_backfill
meritz_financial_return,True,메리츠금융지주 주주환원,VALUE_UP_SHAREHOLDER_RETURN,event_premium,needs_price_backfill
low_pbr_no_roe_bank,True,저PBR 저ROE 은행,FINANCIAL_SPREAD_BALANCE_SHEET,failed_rerating,needs_price_backfill
pf_credit_cost_financial,True,PF 충당금 금융,FINANCIAL_SPREAD_BALANCE_SHEET,4c_thesis_break,needs_price_backfill
sk_square_valueup,True,SK스퀘어 밸류업,VALUE_UP_SHAREHOLDER_RETURN,event_premium,needs_price_backfill
korea_zinc_event_premium,True,고려아연 이벤트 프리미엄,HOLDING_RESTRUCTURING_GOVERNANCE,event_premium,needs_price_backfill
holding_buyback_no_cancel,True,자사주 매입 후 미소각 지주,HOLDING_RESTRUCTURING_GOVERNANCE,failed_rerating,needs_price_backfill
governance_dispute_no_fcf,True,현금흐름 없는 지배구조 분쟁,HOLDING_RESTRUCTURING_GOVERNANCE,event_premium,needs_price_backfill
hmm_2021_freight_cycle,True,HMM 운임 사이클,SHIPPING_FREIGHT_CYCLE,cyclical_success,needs_price_backfill
shipping_overcapacity_4c,True,해운 공급과잉 4C,SHIPPING_FREIGHT_CYCLE,4c_thesis_break,needs_price_backfill
refining_spread_recovery,True,정유 스프레드 회복,COMMODITY_SPREAD,cyclical_success,needs_price_backfill
chemical_china_oversupply,True,화학 중국 공급과잉,COMMODITY_SPREAD,4c_thesis_break,needs_price_backfill
ecopro_bm_2023,True,에코프로비엠,BATTERY_MATERIALS_CAPEX_OVERHEAT,overheat,needs_price_backfill
battery_capa_overbuild,True,배터리 소재 CAPA 과잉,BATTERY_MATERIALS_CAPEX_OVERHEAT,4c_thesis_break,needs_price_backfill
construction_pf_stress,True,건설 PF 스트레스,CONSTRUCTION_REAL_ESTATE_CREDIT,4c_thesis_break,needs_price_backfill
