archetype,primary_large_sector,secondary_large_sectors,korean_name,green_permission,green_policy,required_evidence,primary_risks
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS,,산업재/수주,HIGH,"Green possible with contract quality, backlog, margin path, and low cancellation/legal risk.",contract_quality|backlog_or_delivery_schedule|op_eps_revision|margin_visibility,contract_cancellation|low_margin_backlog|legal_or_policy_delay|cost_overrun
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS,,산업재/수주,HIGH,"Green possible with contract quality, backlog, margin path, and low cancellation/legal risk.",contract_quality|backlog_or_delivery_schedule|op_eps_revision|margin_visibility,contract_cancellation|low_margin_backlog|legal_or_policy_delay|cost_overrun
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS,,산업재/수주,HIGH,"Green possible with contract quality, backlog, margin path, and low cancellation/legal risk.",contract_quality|backlog_or_delivery_schedule|op_eps_revision|margin_visibility,contract_cancellation|low_margin_backlog|legal_or_policy_delay|cost_overrun
EXPORT_RECURRING_CONSUMER,EXPORT_CONSUMER,,수출 소비재,HIGH,"Green possible when repeat demand, export/channel expansion, OPM, and FY1/FY2 revisions align.",export_growth|channel_expansion|recurring_demand|opm_or_roe_improvement,single_product_fad|inventory_or_receivables|regulatory_or_recall|channel_stuffing
K_BEAUTY_EXPORT_DISTRIBUTION,EXPORT_CONSUMER,,수출 소비재,HIGH,"Green possible when repeat demand, export/channel expansion, OPM, and FY1/FY2 revisions align.",export_growth|channel_expansion|recurring_demand|opm_or_roe_improvement,single_product_fad|inventory_or_receivables|regulatory_or_recall|channel_stuffing
MEMORY_HBM_CAPACITY,SEMICONDUCTOR_AI_INFRA,,반도체/AI 인프라,HIGH,"Green possible only with HBM/data-center demand, confirmed orders or pricing, and revision support.",hbm_or_ai_dc_demand|capacity_bottleneck|pricing_or_order_support|medium_term_revision,capex_cut|supply_glut|ai_keyword_only|customer_concentration
SEMI_EQUIPMENT_CAPEX,SEMICONDUCTOR_AI_INFRA,,반도체/AI 인프라,HIGH,"Green possible only with HBM/data-center demand, confirmed orders or pricing, and revision support.",hbm_or_ai_dc_demand|capacity_bottleneck|pricing_or_order_support|medium_term_revision,capex_cut|supply_glut|ai_keyword_only|customer_concentration
BATTERY_MATERIALS_CAPEX_OVERHEAT,CYCLICAL_SPREAD,,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
COMMODITY_SPREAD,CYCLICAL_SPREAD,,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
SHIPPING_FREIGHT_CYCLE,CYCLICAL_SPREAD,,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
AUTO_MOBILITY_COMPONENTS,CYCLICAL_SPREAD,,사이클/스프레드,LOW,Green is capped unless the move is more than a spot spread or theme cycle.,spread_or_price_support|cost_curve_or_supply_discipline|revision_support|cycle_risk_control,cycle_normalization|overcapacity|valuation_overheat|demand_slowdown
