label,parent_large_sector,parent_canonical_archetype,posture,parent_theme_hint,evidence_focus,risk_focus,price_validation_focus,theme_is_score_input,production_scoring_changed,notes
GRID_TRANSFORMER_SHORTAGE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,POWER_GRID_EQUIPMENT,contract_to_sales|backlog_growth|lead_time_extended|op_eps_revision,capacity_normalization|low_margin_contract,mfe_90d|mfe_180d|mfe_1y|backlog_growth,false,false,AI data-center and grid transformer shortage lens under industrial backlog.
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,DEFENSE_EXPORT_BACKLOG,government_framework|procurement_quantity|production_capacity,prototype_only|procurement_uncertainty,contract_conversion|gross_margin|mae_180d,false,false,Autonomous defense systems need procurement and delivery proof.
DEFENSE_DRONE_COUNTER_UAS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,URBAN_AIR_DRONE,military_delivery_contract|idiq_framework|backlog_growth,mna_dilution|export_control,backlog_conversion|mna_drawdown,false,false,Drone and counter-UAS tags stay under defense backlog once delivery contracts exist.
DEFENSE_AI_SOFTWARE_INTELLIGENCE,INDUSTRIAL_ORDERS_INFRA,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,DEFENSE_EXPORT_BACKLOG,program_of_record|recurring_license|gross_margin_visible,ethical_regulation|budget_cycle,government_revenue_growth|rpo_backlog,false,false,Defense AI software is software-recurring evidence inside the defense context.
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,RAIL_NUCLEAR_INFRA,binding_contract|delivery_schedule|margin_visibility,policy_headline_only|project_delay,contract_to_revenue|mae_after_delay,false,false,Rail remains Watch until actual contract and delivery economics are visible.
NUCLEAR_SMR_GRID_POLICY_CONTRACT,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,RAIL_NUCLEAR_INFRA,ppa_or_contract|permitting|supplier_revenue,legal_delay|cost_overrun,project_schedule|policy_delay_drawdown,false,false,"Nuclear/SMR needs project economics, not policy premium alone."
MEMORY_HBM_CAPACITY_EXTENSION,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,MEMORY_HBM_CAPACITY,hbm_demand|capacity_allocation|fy1_fy2_revision,capex_overbuild|memory_price_decline,mfe_180d|mfe_1y|revision_duration,false,false,HBM remains a high-Green-potential AI semiconductor axis.
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,AI_DATACENTER_INFRA,rack_shipment_growth|op_eps_revision|capacity_expansion,low_margin_assembly|accounting_trust,gross_margin|inventory_growth|audit_event_drawdown,false,false,AI server ODM/EMS is not HBM; margin and trust risks are central.
NEOCLOUD_GPU_RENTAL,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,AI_DATACENTER_INFRA,take_or_pay|contracted_backlog|ebitda_improvement,debt|gpu_obsolescence|fcf_negative,net_debt_ebitda|fcf_margin|ipo_mae_180d,false,false,Neocloud visibility is offset by debt and GPU depreciation.
ADVANCED_PACKAGING_COWOS_EMIB,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,ADVANCED_PACKAGING_PCB,cowos|packaging_revenue_growth|orders_or_backlog,bottleneck_normalization|yield_risk,bookings_backlog|drawdown_after_capex_peak,false,false,Advanced packaging is an independent AI bottleneck lens.
SEMI_EQUIPMENT_AI_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,SEMICONDUCTOR_EQUIPMENT_MATERIALS,equipment_backlog|guidance_raise|eps_revision,customer_capex|export_control,orders_backlog|mae_after_order_slowdown,false,false,Semi equipment remains customer-capex-cycle dependent.
