target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
REFINING_OIL_SPREAD,refining_margin_rebound|oil_price_or_geopolitical_event|inventory_gain,refining_op_improvement|core_margin_ex_inventory|logistics_normalization,repeat_fcf|high_margin_mix|inventory_noise_excluded,refining_margin_peak|oil_spread_recovery_crowded,refining_margin_drop|inventory_loss|logistics_or_production_delay,false
CHEMICAL_SPREAD,chemical_spread_recovery|china_stimulus|product_price_rebound,op_improvement|spread_improvement|inventory_normalization,supply_glut_easing|capacity_restructuring|durable_margin,spread_recovery_fully_priced,china_middle_east_capacity_glut|spread_reversal|inventory_increase|op_fcf_drop,false
STEEL_METAL_SPREAD,steel_price_rebound|china_output_cut|construction_demand_recovery,cost_cut|steel_spread_improvement|inventory_normalization,china_supply_discipline|demand_recovery|fcf_margin,steel_recovery_crowded,chinese_exports_surge|domestic_demand_weak|tariff_conflict|price_pressure,false
NONFERROUS_STRATEGIC_METALS,copper_zinc_aluminum_price|smelting_margin|nonferrous_cycle,metal_price_support|smelting_margin_improvement|customer_demand,cost_curve_advantage|supply_constraint|fcf_conversion,nonferrous_price_rally_crowded,metal_price_drop|china_demand_slowdown|smelting_margin_drop,false
RARE_METALS_STRATEGIC_MATERIALS,rare_earth_export_control|defense_supply_chain|government_supply_policy,government_investment|price_floor|offtake_contract|long_term_purchase,production_capacity|fcf_conversion|policy_support_durable|customer_contracts,rare_earth_theme_overheat|price_only_rally,project_delay|rare_earth_price_drop|policy_support_cut|execution_failure,false
LITHIUM_BATTERY_RAW_MATERIAL,lithium_price_rebound|mine_closure|ev_or_ess_demand,low_cost_mine|offtake|fcf_defense|capex_discipline,price_cycle_beyond_rebound|durable_fcf|restart_supply_risk_controlled,lithium_rebound_crowded,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|capex_cut,false
PRECIOUS_METALS_SAFE_HAVEN_MINERS,gold_silver_breakout|real_rate_drop|safe_haven_demand,realized_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|fcf_conversion,record_gold_price_crowded|miner_group_overheat,gold_price_correction|aisc_rise|production_drop|political_mine_risk,false
ADVANCED_MATERIAL_SPECULATIVE_THEME,superconductor_graphene_mxene_theme|paper_or_lab_result|quantum_material_keyword,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat,no_commercialization|paper_only|no_revenue|dilution,false
PAPER_PACKAGING_CYCLE,paper_or_corrugated_spread|ecommerce_packaging|plastic_replacement,volume_recovery|price_cost_spread|mna_or_consolidation,durable_spread|scale_economics|cash_return,packaging_mna_premium_crowded,low_volume|price_pressure|regulatory_divestiture|mature_industry_limit,false
AGRI_COMMODITY_INPUTS,grain_price|weather_event|disease_or_feed_cost|fertilizer_price,price_pass_through|inventory_status|demand_visibility,repeat_margin|cost_pass_through|fcf_margin,agri_event_crowded,commodity_cost_reversal|weather_normalization|inventory_loss,false
LNG_ENERGY_TRADING_DISTRIBUTION,lng_long_term_offtake|lpg_or_fuel_distribution|energy_procurement_stability,long_term_contract|margin_visible|inventory_status,repeat_fcf|project_stake|energy_security_value,lng_contract_story_crowded,price_reversal|inventory_loss|tariff_policy_shock|financing_delay,false
GENERAL_TRADING_RESOURCE_INFRA,resource_rights|energy_contract|buyback_dividend|conglomerate_discount_rerating,long_term_offtake|project_stake|fcf|capital_return,resource_infra_fcf_frame|capital_allocation_execution|valuation_discount_narrows,sogo_shosha_story_crowded|resource_infra_rerating_full,commodity_price_drop|project_delay|capital_allocation_retreat|fx_hit,false
ENERGY_UTILITY_LNG_GAS,lng_gas_utility|tariff_or_cost_pass_through|uncollected_receivable_recovery,tariff_visibility|debt_stability|cash_flow_recovery,regulated_cost_pass_through|debt_reduction|capital_return_capacity,gas_utility_turnaround_crowded,tariff_freeze|debt_burden|receivable_growth|policy_risk,false
