target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,contract_offtake_customer_visibility,bottleneck_pricing,early_price_validation,cycle_spread_durability,disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
COPPER_AI_GRID_KOREA,MATERIALS_SPREAD_STRATEGIC,COPPER_AI_GRID_KOREA,WATCH_YELLOW_FIRST,20,14,20,12,12,8,7,copper_price_up|ai_data_center|power_grid|ev_energy_transition|mine_disruption,copper_price_confirmed|grid_wire_order|backlog|copper_passthrough|op_eps_revision,individual_order_backlog_up|opm_defended|copper_passthrough_contract|fcf_improvement|60d_mfe_20pct,copper_price_only_rally|grid_wire_basket_crowded|eps_revision_lags_price,copper_price_reversal|inventory_loss|opm_drop|orders_missing,order_backlog|copper_passthrough|opm|op_eps_revision|fcf,price_only_rally|orders_missing|opm_missing|inventory_loss,commodity_cycle|individual_order_missing|opm_missing,false,false,"Copper AI-grid macro is Stage 1/2; Korean wires and processors need orders, pass-through, OPM, and FCF before Stage 3."
COPPER_PROCESSING_PLUS_DEFENSE,MATERIALS_SPREAD_STRATEGIC,COPPER_PROCESSING_PLUS_DEFENSE,WATCH_YELLOW_FIRST,20,17,16,12,12,9,7,copper_processing|ammo_defense|mna_rumor|copper_price_up,hanwha_bid_report|estimated_1_5tn_won_sale_value|ammo_business_value|copper_margin,actual_sale_contract|defense_order_backlog|copper_processing_margin|op_eps_revision|fcf,mna_premium_priced|commodity_defense_hybrid_crowded,hanwha_review_dropped|poongsan_sale_denial|event_premium_unwind,actual_sale_contract|defense_backlog|processing_margin|op_eps_revision|fcf,sale_denial|mna_review_dropped|mna_premium_only|copper_margin_missing,mna_event|confirmation|processing_margin,false,false,"Poongsan-style copper plus ammunition can be Stage 2, but M&A rumor and structural earnings must be separated."
DEFENSE_AMMO_EVENT_PREMIUM,MATERIALS_SPREAD_STRATEGIC,DEFENSE_AMMO_EVENT_PREMIUM,REDTEAM_FIRST,event,event,event,event,event,event,event,ammo_mna_rumor|defense_unit_sale_report|buyer_name_reported,indicative_bid_reported|estimated_sale_value,not_green_without_final_sale_or_order_backlog,mna_rumor_rally|premium_before_contract,buyer_drops_review|seller_denies_sale|no_transaction,,mna_only|final_contract_missing|buyer_review_dropped|seller_denial,mna_rumor|final_terms_missing|unwind,true,false,Ammunition M&A rumor is event premium until a final transaction or defense order backlog exists.
POLYSILICON_NON_CHINA_SUPPLY_OPTION,MATERIALS_SPREAD_STRATEGIC,POLYSILICON_NON_CHINA_SUPPLY_OPTION,WATCH_YELLOW_FIRST,18,18,16,10,12,10,7,non_china_polysilicon|ira_feoc|spacex_name|satellite_power|data_center_power,multi_year_supply_talks|malaysia_polysilicon|potential_customer|supply_chain_option,confirmed_supply_contract|contract_amount|supply_period|volume|asp_opm|revenue_recognition,spacex_name_rally|ai_data_center_solar_story_crowded,contract_not_confirmed|company_cannot_confirm|polysilicon_price_weakness|solar_oversupply,confirmed_contract|amount|period|volume|asp_opm|fcf,media_report_only|company_confirmation_missing|contract_terms_missing|polysilicon_cycle,confirmation|contract_terms|polysilicon_cycle,false,false,"OCI-style non-China polysilicon is Stage 1/2 option before confirmed customer, volume, ASP, and margin."
POLYSILICON_REPORT_NOT_CONTRACT,MATERIALS_SPREAD_STRATEGIC,POLYSILICON_REPORT_NOT_CONTRACT,REDTEAM_FIRST,cap,cap,cap,cap,cap,+,cap,media_report|talks_reported|potential_customer,detail_check_required,not_green_without_confirmed_contract,famous_customer_name_rally,contract_absent|company_cannot_confirm|report_fails_to_convert,,report_only|company_confirmation_missing|contract_absent|terms_missing,report_only|confirmation|terms,true,false,"Report-only polysilicon supply talks are capped until the company confirms contract amount, period, and volume."
STEEL_TARIFF_EVENT_KOREA,MATERIALS_SPREAD_STRATEGIC,STEEL_TARIFF_EVENT_KOREA,WATCH_YELLOW_FIRST,18,10,14,12,14,9,7,us_china_steel_tariff|eu_quota_cut|china_tariff|steel_event,tariff_target_china_only|korean_steel_relief|asp_up|export_volume_stable,asp_up_and_volume_stable|raw_material_labor_cost_control|opm_fcf_improvement|op_eps_revision,tariff_event_rally|steel_basket_broad_rally|opm_not_confirmed,tariff_hits_korean_exports|export_volume_down|price_pass_through_failure,asp|export_volume|opm|fcf|cost_control,tariff_direction_unclear|all_import_tariff|export_exposure_high|opm_missing,tariff_scope|export_exposure|cost_control,false,false,"Steel tariff events are directional: China-only tariffs can be a rally, all-import tariffs can be 4C for Korean exporters."
STEEL_EXPORT_TARIFF_4C,MATERIALS_SPREAD_STRATEGIC,STEEL_EXPORT_TARIFF_4C,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,steel_tariff_headline|export_market_tariff,risk_event_detected,not_green_while_direct_export_tariff_hits,tariff_relief_rally_without_terms,us_steel_tariff_50pct|korean_export_competitiveness_hit|seah_steel_8pct_drop,,direct_export_tariff|export_exposure_high|local_production_absent|price_path_down,tariff_scope|export_exposure|local_production,true,false,Direct export tariff exposure is a hard RedTeam gate for steel exporters unless local production offsets it.
SPECIALTY_STEEL_US_LOCALIZATION_OPTION,MATERIALS_SPREAD_STRATEGIC,SPECIALTY_STEEL_US_LOCALIZATION_OPTION,WATCH_YELLOW_FIRST,18,17,13,10,12,9,7,octg|steel_pipe|us_local_mill|offshore_wind_foundation|energy_infrastructure,local_us_production|customer_volume|tariff_exemption_or_localization|margin_detail,us_local_revenue|margin_expansion|export_tariff_offset|op_eps_revision|fcf,localization_story_crowded|tariff_relief_priced_before_margin,local_volume_missing|tariff_cost_hits|margin_missing,local_revenue|margin|tariff_offset|op_eps_revision|fcf,local_volume_missing|tariff_cost|margin_missing,localization|margin|volume,false,false,"Specialty steel localization can be Stage 1/2, but US local volume and margin must prove the offset."
LITHIUM_PRICE_EVENT_KOREA,MATERIALS_SPREAD_STRATEGIC,LITHIUM_PRICE_EVENT_KOREA,REDTEAM_FIRST,event,event,event,event,event,event,event,lithium_mine_suspension|lithium_price_rebound|spodumene|brine|resource_security_story,actual_offtake|production_volume|government_investment|plant_operating,production_volume|op_eps_fcf|long_term_contract|price_floor|stage2_price_path,lithium_event_rally|two_or_three_limit_up_without_earnings|theme_basket_crowded,lithium_price_redeclines|cash_burn|stock_promotion_risk|cb_bw,,price_only_rally|production_missing|fcf_missing|commodity_cycle|cash_burn,event_rally|production|fcf|cash_burn,true,false,"Lithium price events remain Stage 1/4B-watch before real production, offtake, price floor, and FCF."
RARE_EARTH_THEME_KOREA,MATERIALS_SPREAD_STRATEGIC,RARE_EARTH_THEME_KOREA,REDTEAM_FIRST,event,event,event,event,event,event,event,rare_earth_export_control|magnet|ferrite|stainless_specialty|export_license,actual_rare_earth_revenue|supply_contract|production_capacity|customer,rare_earth_revenue|offtake|op_eps_fcf|long_term_contract,rare_earth_theme_rally|price_only_limit_up|community_keyword_crowded,export_license_recovers|revenue_absent|cb_bw|commodity_price_reversal,,theme_only|actual_revenue_missing|offtake_missing|cb_bw|price_only_rally,theme_only|revenue|offtake|dilution,true,false,"Rare-earth Korea themes are Stage 1/4B-watch before actual revenue, offtake, and FCF."
