case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
korea_pf_delinquency_restructuring_case,PF_CREDIT_REDTEAM_OVERLAY,KR_PF_DELINQUENCY,Korea PF delinquency restructuring,KR,4c_thesis_break,PF_CREDIT_REDTEAM_OVERLAY,REDTEAM_FIRST,2024-05-13,,,,2024-05-13,pf_delinquency_rate|fss_project_assessment|restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout,pf_credit_risk_hard_counterexample,needs_price_backfill,false,PF delinquency rose from 0.37% in 2021 to 2.70% in 2023; backlog alone cannot create Green.
korea_builder_support_relief_case,PF_RESTRUCTURING_RELIEF,KR_BUILDER_SUPPORT,Korea builder liquidity support,KR,event_premium,PF_RESTRUCTURING_RELIEF,WATCH_YELLOW_FIRST,2024-03-27,,,2024-03-27,,government_support|policy_support_amount|builder_liquidity_support,pf_exposure|unsold_inventory|refinancing,pf_policy_relief_stage1,needs_price_backfill,false,Government support is Stage 1 relief; Stage 2 needs refinancing and cash-flow proof.
korea_pf_syndicated_loan_soft_landing_case,PF_SYNDICATED_LOAN_SOFT_LANDING,KR_PF_SYNDICATED_LOAN,Korea PF syndicated loan soft landing,KR,event_premium,PF_SYNDICATED_LOAN_SOFT_LANDING,WATCH_YELLOW_FIRST,2024-05-13,2024-05-13,,,,syndicated_loan_amount|pf_soft_landing_support_flag|profitable_project_flag,unprofitable_project_restructuring_flag|pf_delinquency_rate|bridge_loan_exposure,pf_soft_landing_but_not_green,needs_price_backfill,false,"Syndicated PF loans can support profitable projects, but unresolved bad projects, bridge loans, and cash conversion keep it Watch."
blackstone_mortgage_trust_dividend_cut_case,COMMERCIAL_REAL_ESTATE_CREDIT,BXMT,Blackstone Mortgage Trust dividend cut,US,4c_thesis_break,COMMERCIAL_REAL_ESTATE_CREDIT,REDTEAM_FIRST,2024-07-24,,,,2024-07-24,office_exposure|watchlisted_or_impaired_asset_ratio|credit_loss_reserve,dividend_cut|office_vacancy|impaired_loan|credit_loss_reserve,commercial_real_estate_credit_4c,needs_price_backfill,false,Dividend cut after office credit stress is a hard CRE credit 4C example.
equinix_affo_integrity_short_case,REIT_AFFO_INTEGRITY_OVERLAY,EQIX,Equinix AFFO integrity short case,US,4c_thesis_break,REIT_AFFO_INTEGRITY_OVERLAY,REDTEAM_FIRST,2024-03-20,,,,2024-03-20,affo_overstatement_allegation|maintenance_capex|short_report_flag,maintenance_capex_misclassification|affo_integrity_risk|power_constrained_facility,reit_affo_integrity_risk,needs_price_backfill,false,Data-center REIT AFFO must be verified against maintenance capex and dividend coverage.
equinix_ai_capex_burden_case,DATA_CENTER_CAPEX_AFFO_DILUTION,EQIX,Equinix AI capex burden,US,4b_watch,DATA_CENTER_CAPEX_AFFO_DILUTION,REDTEAM_FIRST,2025-06-26,,,2025-06-26,,ai_inference_demand|capex_amount|affo_per_share_growth,capex_growth_above_affo_growth|per_share_affo_slowdown|funding_cost_rise,ai_data_center_capex_burden_4b_to_4c_watch,needs_price_backfill,false,AI data-center demand can still pressure per-share AFFO when capex and funding costs outrun growth.
equinix_ai_revenue_guidance_case,DATA_CENTER_REIT_INFRASTRUCTURE,EQIX,Equinix AI revenue guidance and AFFO gate,US,success_candidate,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,2026-02-11,2026-02-11,,2026-02-11,,revenue_guidance_above_estimate|hyperscale_tenant_flag|noi_growth|affo_growth|power_secured_flag,capex_burden|maintenance_capex|power_grid_constraint|tenant_concentration,data_center_reit_demand_real_but_affo_capex_gate,needs_price_backfill,false,"AI demand can support a data-center REIT, but Green still needs AFFO per share, capex integrity, power/water, and dividend coverage."
blackstone_data_center_reit_ipo_case,DATA_CENTER_REIT_IPO_NO_ASSET,BLACKSTONE_DC_REIT,Blackstone Digital Infrastructure Trust IPO no asset,US,4b_watch,DATA_CENTER_REIT_IPO_NO_ASSET,WATCH_YELLOW_FIRST,2026-05-13,,,2026-05-13,,ai_data_center_reit_ipo|hyperscale_tenant_target|asset_pipeline|sponsor_premium_flag,no_acquired_assets|no_affo|tenant_lease_missing|power_water_unverified,data_center_reit_theme_without_assets_yet,needs_price_backfill,false,"Sponsor and AI infrastructure demand are not enough before assets, tenants, NOI/AFFO, and power/water are verified."
fermi_ai_data_center_no_revenue_ipo_case,AI_DATA_CENTER_NO_REVENUE_NO_TENANT,FRMI,Fermi AI data-center no-revenue IPO,US,4b_watch,AI_DATA_CENTER_NO_REVENUE_NO_TENANT,REDTEAM_FIRST,2025-10-01,,,2025-10-01,,ai_power_campus_flag|planned_power_gw|nuclear_power_plan_flag|asset_pipeline_value,no_revenue|no_tenant|non_binding_loi|funding_gap|single_site_concentration,ai_real_asset_no_revenue_high_risk_watch,needs_price_backfill,false,"Pre-revenue AI real-asset mega-project valuation is 4B-watch, not Green."
fermi_no_tenant_net_loss_case,AI_DATA_CENTER_NO_REVENUE_NO_TENANT,FRMI,Fermi no tenant and net loss case,US,4c_thesis_break,AI_DATA_CENTER_NO_REVENUE_NO_TENANT,REDTEAM_FIRST,2026-03-30,,,,2026-03-30,no_revenue_flag|non_binding_loi_flag|asset_pipeline_value,no_binding_tenant_lease|net_loss_flag|tenant_funding_agreement_terminated_flag|single_site_concentration_flag,ai_real_asset_no_revenue_high_risk,needs_price_backfill,false,"AI real-asset stories break when tenant lease, revenue, and funding remain unproven after valuation has moved."
perth_datacenter_withdrawal_case,DATA_CENTER_POWER_WATER_PERMITTING,PERTH_DC_PROJECT,Perth data-center withdrawal after opposition,AU,4c_thesis_break,DATA_CENTER_POWER_WATER_PERMITTING,REDTEAM_FIRST,2026-05-15,,,,2026-05-15,local_opposition_flag|noise_pollution_flag|project_withdrawal_flag,project_withdrawal|community_opposition|zoning_rejection,data_center_power_water_4c,needs_price_backfill,false,"Power, water, noise, and local approval can break AI data-center real asset projects."
utah_stratos_datacenter_backlash_case,DATA_CENTER_WATER_RIGHTS_REFERENDUM,UTAH_STRATOS_DC,Utah Stratos AI data-center backlash,US,4b_watch,DATA_CENTER_WATER_RIGHTS_REFERENDUM,REDTEAM_FIRST,2026-05-13,,,2026-05-13,,planned_power_gw|water_rights_flag|referendum_or_moratorium_flag|ratepayer_cost_risk_flag,water_rights_delay|grid_interconnection_delay|referendum_or_moratorium|ratepayer_cost_risk,data_center_power_water_referendum_gate,needs_price_backfill,false,A 9GW data-center plan can be a 4B-watch when power and water backlash are not resolved.
