case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
cj_cheiljedang_kfood_localization_stage23_case,K_FOOD_GLOBAL_LOCALIZATION,097950,CJ제일제당 / CJ푸드빌 K-food localization,KR,success_candidate,K_FOOD_GLOBAL_LOCALIZATION,WATCH_YELLOW_FIRST,bibigo_global_demand|schwans_distribution|japan_hungary_us_plant|local_production_footprint|mainstream_shelf_option,plant_utilization_unknown|capex_drag|opm_fcf_missing|fx_logistics_cost,stage2_to_stage3_if_utilization_asp_opm_fcf_and_price_path_align,needs_overseas_sales_utilization_opm_fcf_price_backfill,false,"CJ has Stage 2 localization evidence; Stage 3 waits for utilization, ASP, OPM, FCF, and repeat channel evidence."
orion_global_staple_brand_second_wave_case,K_FOOD_GLOBAL_STAPLE_BRAND_SECOND_WAVE,271560,오리온 global staple brand second wave,KR,success_candidate,K_FOOD_GLOBAL_STAPLE_BRAND_SECOND_WAVE,WATCH_YELLOW_FIRST,choco_pie_global_brand|russia_vietnam_china_india_footprint|local_production|repeat_snack_consumption,regional_maturity|china_russia_risk|input_cost_risk|regional_opm_missing,stage2_to_stage3_if_regional_growth_opm_cost_pass_through_and_revision_align,needs_regional_sales_opm_input_cost_price_backfill,false,"Orion is a quiet R5 Stage 2~3 candidate, but regional growth, OPM, input costs, and price path must be backfilled."
bingle_lottewellfood_single_sku_export_watch_case,K_FOOD_SINGLE_SKU_EXPORT_RISK,005180/280360,빙그레·롯데웰푸드 single-SKU export watch,KR,success_candidate,K_FOOD_SINGLE_SKU_EXPORT_RISK,REDTEAM_FIRST,single_sku_export_story|kfood_sku_growth|channel_addition,single_sku_dependency|viral_fad|inventory_unknown|raw_material_cost,stage1_2_watch_until_multi_sku_reorder_opm_and_inventory_clear,needs_sku_sales_inventory_opm_price_backfill,false,"Single SKU export can route Layer 1/Stage 2 watch, but Green waits for multi-SKU reorder, OPM, and inventory quality."
emart_shinsegae_alibaba_jv_stage2_case,ECOMMERCE_RESTRUCTURING_JV_KOREA,139480/004170,이마트·신세계 Alibaba JV Stage 2,KR,success_candidate,ECOMMERCE_RESTRUCTURING_JV_KOREA,WATCH_YELLOW_FIRST,gmarket_aliexpress_50_50_jv|emart_plus_5_5pct_event_return|cross_border_market_share_option|kftc_conditional_approval,data_sharing_restriction|coupang_naver_competition|gmv_recovery_missing|take_rate_missing,stage2_price_aligned_not_green_before_gmv_take_rate_profitability,needs_gmv_take_rate_cost_fcf_regulation_price_backfill,false,"E-Mart/Shinsegae JV has Stage 2 catalyst and price reaction, but data restriction and monetization proof gate Stage 3."
kbeauty_brand_second_wave_stage23_case,K_BEAUTY_BRAND_SECOND_WAVE,237880/214420/018290/114840,클리오·토니모리·VT·아이패밀리에스씨 K-beauty brand second wave,KR,success_candidate,K_BEAUTY_BRAND_SECOND_WAVE,WATCH_YELLOW_FIRST,us_kbeauty_import_growth|online_sales_growth|brand_portfolio|amazon_tiktok_signal|offline_entry_option,offline_sellthrough_missing|inventory_receivables_missing|tariff_risk|growth_plateau,stage2_to_stage3_if_offline_sellthrough_reorder_inventory_and_opm_align,needs_sellthrough_reorder_inventory_receivables_opm_price_backfill,false,"K-beauty brand second wave is a Stage 2~3 candidate basket only with sell-through, reorder, inventory, and OPM evidence."
convenience_store_pb_sssg_stage23_case,CONVENIENCE_STORE_PB_SSSG_KOREA,282330/007070,BGF리테일·GS리테일 PB / SSSG basket,KR,success_candidate,CONVENIENCE_STORE_PB_SSSG_KOREA,WATCH_YELLOW_FIRST,store_network|pb_food|ready_to_eat_meals|sssg|quick_commerce_option,wage_rent_electricity_cost|franchisee_margin_pressure|store_saturation|sssg_opm_missing,stage2_to_stage3_if_sssg_pb_mix_franchise_margin_opm_and_fcf_align,needs_sssg_pb_mix_franchise_margin_opm_price_backfill,false,"Convenience-store Stage 3 needs SSSG, PB mix, franchise margin, OPM, FCF, and price-path validation."
lotte_shopping_mall_redevelopment_stage12_case,DEPARTMENT_STORE_MALL_REDEVELOPMENT,023530,롯데쇼핑 mall redevelopment Stage 1~2,KR,success_candidate,DEPARTMENT_STORE_MALL_REDEVELOPMENT,WATCH_YELLOW_FIRST,7tn_krw_mall_investment_plan|mall_redevelopment|retailtainment|lease_income_option,capex_burden|capex_payback_unknown|traffic_recovery_missing|online_competition,stage1_2_option_not_green_before_capex_payback_traffic_and_fcf,needs_capex_payback_traffic_lease_income_fcf_price_backfill,false,"Mall redevelopment is a Stage 1~2 option, but CAPEX payback, traffic, lease income, OPM, and FCF gate Stage 3."
kbeauty_tariff_import_review_4c_watch_case,K_BEAUTY_TARIFF_IMPORT_REVIEW,K_BEAUTY_TARIFF_BASKET,K-beauty U.S. tariff import review,KR,4c_thesis_break,K_BEAUTY_TARIFF_IMPORT_REVIEW,REDTEAM_FIRST,us_kbeauty_import_1_7bn_usd|import_growth_54pct|tariff_25pct_review|stockpiling_purchase_delay,us_tariff_25pct_risk|margin_buffer_missing|purchase_delay|inventory_shock,tariff_margin_buffer_hard_review_blocks_import_growth_green,needs_tariff_margin_buffer_price_hike_inventory_price_backfill,false,"U.S. import growth is Stage 2 context, but tariff and margin-buffer uncertainty create 4C-watch until price pass-through is proven."
kbeauty_online_viral_not_sellthrough_4b_case,CHANNEL_STUFFING_INVENTORY_OVERLAY,K_BEAUTY_BRAND_BASKET,K-beauty online viral without physical sell-through,KR,4b_watch,CHANNEL_STUFFING_INVENTORY_OVERLAY,REDTEAM_FIRST,amazon_tiktok_viral|online_sales_growth|brand_entry_narrative,physical_sellthrough_missing|growth_plateau|inventory_receivables_spike|low_price_competition,viral_entry_rally_requires_4b_watch_until_physical_sellthrough_and_reorder,needs_physical_sellthrough_reorder_inventory_price_backfill,false,Online viral growth can become 4B-watch when physical sell-through and reorder are not verified.
emart_alibaba_data_regulation_4c_watch_case,RETAIL_PLATFORM_DATA_REGULATION_OVERLAY,139480/004170,E-Mart / Shinsegae Alibaba JV data-regulation cap,KR,4c_thesis_break,RETAIL_PLATFORM_DATA_REGULATION_OVERLAY,REDTEAM_FIRST,kftc_conditional_approval|50m_customer_database|data_sharing_restriction_3y|independent_operation_condition,data_sharing_restriction|monetization_delay|privacy_condition|competition_intense,data_regulation_hard_gate_before_platform_monetization,needs_data_rule_monetization_gmv_take_rate_price_backfill,false,"The JV can be Stage 2, but data-sharing restrictions can cap monetization and block Stage 3."
