target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
GRID_TRANSFORMER_SHORTAGE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,22,25,23,12,12,1,5,ai_data_center_power_demand|ev_grid_demand|transformer_shortage_news|lead_time_extended,supply_contract|backlog_growth|earnings_surprise|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|old_industrial_frame_rerating,valuation_band_expansion|sector_wide_ai_grid_consensus|capacity_addition_news,new_order_slowdown|low_margin_contract|capa_normalization|data_center_project_delay,contract_quality|lead_time_extended|pricing_power|op_eps_revision|backlog_growth,capa_normalization|low_margin_contract|project_delay,false,"Transformer shortage can be Green, but only when contract quality, lead time, pricing, backlog, and EPS revision are source-backed."
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,20,24,18,13,12,1,5,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_amount_to_sales|contract_duration|delivery_schedule|margin_visible|op_eps_revision,contract_quality_unclear|delivery_delay|margin_uncertainty,false,"Generic industrial backlog requires contract size, duration, delivery, margin, and EPS evidence together."
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,20,24,17,14,14,3,5,geopolitical_budget_growth|defense_export_news|government_customer,official_contract|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|capital_raise_after_runup|valuation_band_full,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,government_customer|multi_year_contract|delivery_schedule|backlog_growth|opm_improvement,delivery_delay|cost_overrun|export_permit_issue|dilution,false,"Defense backlog can be Green, but capital allocation and delivery risk are first-class guardrails."
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,WATCH_YELLOW_FIRST,20,22,15,15,14,2,5,autonomous_weapon_keyword|low_cost_munition_framework|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,framework_to_order_conversion|production_capacity|customer_budget|eps_conversion,procurement_delay|valuation_overheat|program_cancelled,false,Autonomous defense systems stay Watch until framework agreements convert into procurement and revenue.
DEFENSE_DRONE_COUNTER_UAS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,WATCH_YELLOW_FIRST,20,22,14,14,13,3,5,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,actual_order|delivery_schedule|production_capacity|repeat_procurement,mna_dilution|export_control|prototype_only,false,Drone/counter-UAS evidence must move beyond theme and into repeat procurement.
DEFENSE_AI_SOFTWARE_INTELLIGENCE,INDUSTRIAL_ORDERS_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,19,21,10,15,14,0,5,maven_like_program|military_ai_software|command_control_software,prototype_contract|government_customer|deployment_schedule,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|political_ethics_risk|budget_cycle_cut,government_customer|deployment_schedule|recurring_license|gross_margin_visible,prototype_stage|political_ethics_risk|budget_cycle,false,Military AI software can rerate only when prototype revenue becomes repeatable software revenue.
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,20,22,18,13,13,1,5,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|target_price_cluster,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,newbuilding_price_up|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,low_margin_backlog|steel_plate_cost|labor_cost|contract_cancellation,false,"Shipbuilding Green depends on backlog quality and margin recognition, not backlog quantity alone."
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,20,23,12,14,12,1,5,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|contract_cancelled,official_contract|contract_amount_to_sales|delivery_schedule|margin_visible,project_delay|margin_uncertainty|financing,false,"Rail can be a backlog candidate, but margin and financing must be verified."
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,18,22,10,14,12,2,5,nuclear_policy|ai_power_demand|ppa_or_preferred_bidder_news,ppa_or_signed_contract|permitting_visible|supplier_revenue_path,legal_risk_low|financing_visible|fy2_fy3_revenue_visibility,nuclear_theme_rally|policy_premium_crowded,legal_injunction|project_cancelled|cost_overrun|financing_failed|permitting_failed,ppa_or_signed_contract|permitting|financing|supplier_revenue_path,legal_delay|cost_overrun|financing_failed|policy_headline_only,false,"Nuclear/SMR needs PPA or signed contract plus legal, permit, cost, and financing clearance."
GEOPOLITICAL_RECONSTRUCTION,INDUSTRIAL_ORDERS_INFRA,THEME_VALUATION_OVERHEAT,WATCH_YELLOW_FIRST,10,8,8,10,7,0,4,reconstruction_policy|neom_or_ukraine_theme|mou_or_bid_news,binding_contract|revenue_schedule|financing_visible,actual_delivery_and_margin|eps_conversion,policy_event_crowded|event_premium_fades,no_contract|project_delay|financing_failure|policy_reversal,binding_contract|revenue_schedule|financing_visible|margin_visible,actual_contract_missing|policy_event_only|mou_only,false,Reconstruction and mega-project policy tags are event/watch until binding contract and revenue visibility exist.
