theme_tag,large_sector,primary_sub_archetype,canonical_archetype,posture,must_have_evidence,red_flag_evidence,green_policy,theme_is_score_input,production_scoring_changed,source_round
전력설비,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
전선-케이블,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
강관,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
피팅 밸브,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
건설기계,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
조선 기자재,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
LNG선 기자재,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,contract_or_order|backlog|op_eps_revision|margin_visibility,,"Green only with contract quality, backlog, margin path, and low cancellation risk.",false,false,round10
전력설비,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
전선,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
광섬유,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI tag alone is not evidence; orders and revision support are required.,false,false,round10
