case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
pinkfong_ipo_stage2_4b_watch_case,KIDS_IP_PLATFORM_KOREA,PINKFONG,The Pinkfong Company kids IP platform IPO,KR,4b_watch,KIDS_IP_PLATFORM_KOREA,WATCH_YELLOW_FIRST,,,,,,baby_shark_16bn_youtube_views|ipo_max_plus_62pct|ipo_close_plus_9pct|revenue_97_4bn_krw|operating_profit_18_8bn_krw|bebefinn_diversification_option,one_hit_dependency|ipo_premium|post_ipo_guidance_needed|baby_shark_concentration,stage2_strong_price_path_plus_4b_watch,needs_listing_date_price_path_multi_ip_revenue_backfill,false,"Pinkfong is a clear R12 Stage 2 price-path case, but one-hit and IPO-premium risks keep it 4B-watch until multi-IP revenue and OPM/FCF are proven."
samsung_publishing_baby_shark_event_4b_watch_case,KIDS_IP_PLATFORM_KOREA,068290,Samsung Publishing Baby Shark affiliate event premium,KR,event_premium,KIDS_IP_PLATFORM_KOREA,WATCH_YELLOW_FIRST,,,,,,baby_shark_chart_event|samsung_publishing_plus_76pct|affiliate_value_expectation,direct_earnings_link_missing|one_hit_dependency|ip_theme_premium,affiliate_ip_event_price_path_not_stage3,needs_event_date_price_and_earnings_link_backfill,false,"Samsung Publishing shows affiliate IP event price-path, but Stage 3 needs direct earnings linkage."
ktng_lil_heated_tobacco_distribution_case,HEATED_TOBACCO_GLOBAL_DISTRIBUTION,033780,KT&G lil heated tobacco global distribution,KR,success_candidate,HEATED_TOBACCO_GLOBAL_DISTRIBUTION,WATCH_YELLOW_FIRST,,,,,,pmi_ktng_lil_distribution|iqos_portfolio|repeat_consumption|global_smoke_free_channel_option|cash_flow_stability,public_health_risk|tax_regulatory_risk|youth_safety_controversy|ngp_sales_backfill_needed,regulated_repeat_consumption_stage2_3_candidate,needs_ngp_overseas_sales_opm_fcf_regulatory_price_backfill,false,"KT&G can be a rare R12 Stage 2/3 candidate, but public-health and regulatory scope must be checked."
ktng_public_health_regulation_4c_watch_case,CONSUMER_REGULATED_PRODUCT_KOREA,033780,KT&G regulated consumer public-health gate,KR,4c_thesis_break,CONSUMER_REGULATED_PRODUCT_KOREA,GREEN_POSSIBLE,2026-05-15,,,,2026-05-15,repeat_consumption|regulated_consumer_product|who_nicotine_youth_warning,public_health_warning|youth_addiction_risk|flavor_packaging_marketing_risk|tax_or_display_restriction,public_health_gate_can_override_repeat_consumption,needs_ktng_direct_exposure_regulatory_scope_price_backfill,false,Public-health regulation is a hard gate across regulated consumer products even when repeat consumption is strong.
daedong_tym_agri_machinery_export_stage2_candidate_case,AGRI_MACHINERY_EXPORT_CYCLE_KOREA,000490/002900,Daedong and TYM Korea agri machinery export cycle,KR,success_candidate,AGRI_MACHINERY_EXPORT_CYCLE_KOREA,WATCH_YELLOW_FIRST,,,,,,kioti_brand|branson_brand|north_america_compact_tractor|export_revenue|parts_service_option,dealer_inventory_unknown|farmer_capex_cycle|farm_income_financing_cost|opm_fcf_backfill_needed,agri_machinery_export_stage2_candidate,needs_krx_price_op_revision_dealer_inventory_backfill,false,"Daedong/TYM are Stage 2 candidates when exports and service revenue verify, but farm capex cycle can break the thesis."
daedong_autonomous_agri_robot_option_watch_case,AGRI_MACHINERY_AUTONOMOUS_ROBOT_OPTION,000490,Daedong autonomous tractor and agri robot option,KR,event_premium,AGRI_MACHINERY_AUTONOMOUS_ROBOT_OPTION,WATCH_YELLOW_FIRST,,,,,,autonomous_tractor_option|agricultural_robot_narrative|utv_skid_steer_expansion,commercial_sales_missing|farmer_roi_missing|service_attach_missing,autonomous_option_stage1_2_until_revenue,needs_commercial_sales_farmer_roi_price_backfill,false,Autonomous machinery is optionality until commercial sales and farmer ROI are proven.
megastudy_medical_quota_policy_event_case,EDUCATION_POLICY_EVENT_KOREA,215200/068930/096240,Megastudy Digital Daesung Creverse medical quota policy event,KR,event_premium,EDUCATION_POLICY_EVENT_KOREA,WATCH_YELLOW_FIRST,2025-03-07,,,2025-03-07,,medical_quota_policy|exam_prep_demand|policy_freeze_or_adjustment|private_education_narrative,policy_reversal_risk|low_birth_rate|ai_tutor_substitution|bookings_opm_missing,education_policy_stage1_2_not_green,needs_enrollment_paid_conversion_opm_price_backfill,false,"Medical-quota policy can create Stage 1/2 education events, but repeated enrollment and OPM are required for Stage 3."
qanda_ai_tutor_disruption_overlay_case,EDTECH_AI_DISRUPTION_KOREA,QANDA_PRIVATE/KR_EDUCATION_BASKET,QANDA AI tutor disruption overlay for Korea education stocks,KR,4c_thesis_break,EDTECH_AI_DISRUPTION_KOREA,REDTEAM_FIRST,,,,,,ai_math_solver|ai_tutor|90m_registered_users|8m_mau|50_country_usage,ai_substitutes_core_service|tuition_price_pressure|cac_rise|content_commoditization,ai_tutor_can_be_4c_for_legacy_education,needs_listed_company_exposure_and_price_backfill,false,AI education can be either monetization or disruption; for legacy education it is a 4C-watch until paid conversion helps rather than cannibalizes.
dongwon_starkist_settlement_legal_4c_watch_case,TUNA_FISHERY_GLOBAL_BRAND_LEGAL_RISK,006040,Dongwon Industries StarKist tuna brand and legal settlement,KR,4c_thesis_break,TUNA_FISHERY_GLOBAL_BRAND_LEGAL_RISK,WATCH_YELLOW_FIRST,2024-08-14,,,,2024-08-14,starkist_brand|us_retail_channel|food_staple_recurring|settlement_200m_usd|starkist_130m_usd_burden,price_fixing_settlement|legal_reserve|fuel_cost_risk|fishery_quota_risk,global_brand_stage2_plus_legal_4c_watch,needs_brand_opm_legal_reserve_fuel_fx_price_backfill,false,"Dongwon has global brand assets, but StarKist settlement is a legal RedTeam gate."
harim_manikar_livestock_disease_event_case,LIVESTOCK_DISEASE_PRICE_EVENT_KOREA,136480/027740/027710,Harim Maniker Pamstory livestock disease and broiler price event,KR,event_premium,LIVESTOCK_DISEASE_PRICE_EVENT_KOREA,REDTEAM_FIRST,,,,,,bird_flu|broiler_price|egg_price|culling|substitution_demand,disease_normalization|feed_cost_rise|price_normalization|consumer_or_antitrust_backlash,disease_event_price_path_not_structural_green,needs_event_date_livestock_price_feed_cost_backfill,false,"Livestock disease can drive event rallies, but it is not structural Green without recurring non-disease FCF."
