target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,contract_visibility,bottleneck_pricing,early_price_validation,capital_discipline,disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
GRID_TRANSFORMER_SHORTAGE_KOREA,INDUSTRIAL_ORDERS_INFRA,GRID_TRANSFORMER_SHORTAGE_KOREA,GREEN_POSSIBLE,24,20,18,12,8,8,10,ai_data_center_power_demand|us_grid_shortage|transformer_lead_time_four_years|transformer_price_increase,us_capa_expansion|ehv_transformer_export|backlog_visibility|op_eps_revision,op_eps_fcf_revision|backlog_quality_improvement|opm_maintained_or_improving|60d_mfe_20pct|detail_verified,k_transformer_consensus_crowded|120d_mfe_80pct|252d_mfe_150pct|peer_top_quartile_valuation,capa_normalization|customer_project_delay|raw_material_cost_spike|margin_miss,op_eps_fcf_revision|backlog_quality|margin_visible|price_path_aligned|valuation_room_remaining,capa_normalization|valuation_crowding|customer_project_delay|margin_unknown,capa_normalization|valuation_crowding|raw_material_cost|project_delay,false,false,"Korea transformer names can reach Stage 3, but strong winners may also need 4B-watch after crowded rerating."
GRID_US_LOCALIZATION_CAPA,INDUSTRIAL_ORDERS_INFRA,GRID_US_LOCALIZATION_CAPA,WATCH_YELLOW_FIRST,22,21,18,11,8,8,10,hyosung_hico|memphis_transformer_plant|buy_america_or_tariff|us_utility_customer,us_plant_expansion|hvdc_transformer|765kv_exposure|local_capa_visibility,hico_utilization|margin_visible|op_eps_revision|price_path_aligned,k_power_equipment_basket_crowded|local_capa_priced_before_utilization,local_capex_burden|utilization_miss|margin_unknown|disclosure_detail_missing,us_local_capa|hvdc_option|margin_visible|op_eps_revision,capex_burden|utilization_missing|margin_unknown|detail_missing,local_capa_capex|utilization|margin_unknown,false,false,"US localization and HVDC raise Stage 2.5 visibility, but Stage 3 waits for utilization, margin, and OP/EPS conversion."
POWER_EQUIPMENT_BACKLOG_TO_FCF_KOREA,INDUSTRIAL_ORDERS_INFRA,POWER_EQUIPMENT_BACKLOG_TO_FCF_KOREA,GREEN_POSSIBLE,24,21,17,12,8,8,10,power_equipment_backlog|opm_improvement|fcf_conversion|old_low_margin_frame,backlog_growth|low_margin_order_cleanup|cashflow_visible|op_eps_revision,backlog_to_fcf|margin_sustained|old_frame_rerating|price_path_aligned,backlog_to_fcf_consensus_crowded|price_faster_than_revision,low_margin_backlog_returns|opm_miss|fcf_miss|order_growth_slowdown,fcf_conversion|margin_sustained|backlog_quality|op_eps_revision,low_margin_contract|fcf_miss|order_peak|valuation_crowding,low_margin_backlog|fcf_miss|valuation_crowding,false,false,Backlog-to-FCF is the R1 quality test: orders matter only when cashflow and margin follow.
SHIPBUILDING_US_PLATFORM_RESTRUCTURING,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_US_PLATFORM_RESTRUCTURING,WATCH_YELLOW_FIRST,18,18,12,12,8,8,10,masga|us_shipbuilding_rebuild|arctic_icebreaker|naval_defense_demand,merger|share_exchange_ratio|us_shipbuilding_cooperation|record_high_price_reaction,actual_us_shipbuilding_or_mro_contract|yard_capa_utilization|margin_improvement|fcf_visible,merger_announcement_priced|record_high|event_day_10pct_rally,integration_risk|event_premium_only|actual_contract_missing|margin_unknown,actual_contract|margin_visible|yard_execution|op_eps_revision,actual_contract_missing|event_premium|integration_risk|share_exchange_dispute,mna_event_only|margin_unknown|contract_missing,false,false,"US shipbuilding restructuring can be Stage 2, but merger news alone is not Stage 3-Green."
SHIP_MRO_RECURRING_PLATFORM,INDUSTRIAL_ORDERS_INFRA,SHIP_MRO_RECURRING_PLATFORM,WATCH_YELLOW_FIRST,20,20,11,12,8,8,10,ship_mro|retrofit|green_conversion|parts_service_recurring,ipo|revenue_growth|service_platform_visibility|customer_base,post_listing_fcf|recurring_mro_revenue|opm_sustained|customer_diversification,ipo_first_day_premium|kkR_overhang|mro_platform_fully_priced,ipo_premium_unwinds|fcf_miss|customer_concentration|overhang,recurring_revenue|opm_sustained|fcf_visible|customer_diversified,ipo_premium|fcf_missing|overhang|valuation_crowding,ipo_premium|overhang|fcf_missing,false,false,"MRO is higher-quality than one-off ship orders, but IPO premium can make the first price path a 4B case."
NUCLEAR_EXPORT_PREFERRED_BIDDER,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_EXPORT_PREFERRED_BIDDER,WATCH_YELLOW_FIRST,18,20,10,12,8,8,10,team_korea_nuclear_export|czech_nuclear_project|reactor_equipment_theme,preferred_bidder|project_value|scope_expected|price_path_rally,final_contract_signed|supplier_scope_confirmed|op_eps_revision|margin_visible,preferred_bidder_rally_40pct|contract_before_scope_priced,legal_appeal|contract_signing_block|westinghouse_ip_issue|financing_failure|political_change,final_contract|scope_confirmed|op_eps_revision|margin_visible,preferred_bidder_only|legal_gate|scope_unknown|margin_unknown,preferred_bidder_only|legal_gate|scope_unknown,false,false,"Preferred bidder is Stage 2 evidence and can move price, but contract signing and company scope gate Stage 3."
DEFENSE_AIRCRAFT_EXPORT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_AIRCRAFT_EXPORT_BACKLOG,WATCH_YELLOW_FIRST,20,20,12,11,8,8,10,fighter_modernization|fa50_export_demand|government_customer,aircraft_contract|contract_amount|aircraft_count|delivery_by_2030,follow_on_contract|delivery_margin_visible|maintenance_or_training_revenue|op_eps_revision,defense_aircraft_story_crowded|contract_value_priced_before_margin,delivery_delay|warranty_cost|development_cost|margin_unknown,contract_amount|delivery_schedule|government_customer|margin_visible|op_eps_revision,margin_unknown|delivery_delay|warranty_cost|follow_on_contract_missing,margin_unknown|delivery_delay|warranty_cost,false,false,"Aircraft export contracts are Stage 2; Stage 3 waits for margin, follow-on orders, and OP/EPS conversion."
DEFENSE_INTERCEPTOR_COMBAT_VALIDATION,INDUSTRIAL_ORDERS_INFRA,DEFENSE_INTERCEPTOR_COMBAT_VALIDATION,WATCH_YELLOW_FIRST,18,17,15,12,8,8,10,combat_validation|missile_defense_demand|patriot_alternative|middle_east_or_europe_interest,price_path_47pct|demand_interest|unit_cost_advantage|production_scalability,actual_export_contract|contract_amount|delivery_schedule|op_eps_revision,contract_before_price_rally|stage2_120d_mfe_80pct|war_event_priced,war_event_fades|export_contract_delay|competitor_price_cut|production_bottleneck,actual_contract|contract_amount|delivery_schedule|op_eps_revision,actual_contract_missing|war_event_only|production_bottleneck|valuation_crowding,actual_contract_missing|war_event_only|valuation_crowding,false,false,"Combat validation can lift a defense name to Stage 2.5, but Stage 3-Green waits for signed export contracts and revisions."
GEOPOLITICAL_SHIPBUILDING_SANCTION_OVERLAY,INDUSTRIAL_ORDERS_INFRA,GEOPOLITICAL_SHIPBUILDING_SANCTION_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,us_shipbuilding_mro|philly_shipyard|section_301|us_china_maritime_tension,us_asset_acquisition|mro_contract|investment_pledge,not_green_until_sanction_scope_and_customer_impact_cleared,us_shipbuilding_option_priced_before_sanction_risk,china_sanctions|export_control|geopolitical_retaliation|share_price_drop|customer_or_supplier_restriction,,sanction|export_control|geopolitical_retaliation|customer_damage,sanction|export_control|geopolitical_retaliation,true,false,"US shipbuilding exposure can be attractive, but sanction retaliation is a hard RedTeam overlay."
MOU_LOI_NOT_CONTRACT,INDUSTRIAL_ORDERS_INFRA,MOU_LOI_NOT_CONTRACT,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,cap,mou|loi|contract_talk|order_report_without_final_contract,loi_or_negotiation_confirmed|details_undisclosed,not_green_until_final_contract_amount_customer_margin_delivery_visible,loi_priced_as_order|headline_order_rally,final_contract_missing|customer_unknown|margin_unknown|terms_undisclosed|loi_failed_to_convert,,loi_only|final_contract_missing|terms_undisclosed,loi_only|mou_only|detail_missing,true,false,"LOI/MOU/contract talk can route research, but it cannot support Stage 3."
