field,required_for_round188_backfill
ticker,true
company_name,true
canonical_archetype,true
case_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_20d_after_stage2,true
mae_20d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_chemical_basket,true
relative_strength_vs_refining_basket,true
relative_strength_vs_materials_basket,true
refining_margin,true
petrochemical_spread,true
rubber_spread,true
raw_material_cost_signal,true
inventory_gain_loss_signal,true
op_ex_inventory_effect,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
fcf_signal,true
opm,true
capacity_cut_amount,true
plant_shutdown_flag,true
shutdown_duration,true
merger_or_consolidation_flag,true
government_support_amount,true
tax_or_utility_support,true
asset_sale_amount,true
debt_reduction_use,true
new_capacity_addition,true
china_oversupply_flag,true
tariff_or_antidumping_flag,true
export_exposure,true
production_disruption_flag,true
factory_fire_flag,true
capex_burden_flag,true
media_report_only_flag,true
plan_detail_disclosed_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
