case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hanmi_hbm_bonder_stage3_4b_case,HBM_BONDER_EQUIPMENT_KOREA,042700,한미반도체,KR,structural_success,HBM_BONDER_EQUIPMENT_KOREA,GREEN_POSSIBLE,,,,,,hbm_packaging_equipment|sk_hynix_contract|contract_value_21_48bn_krw|recent_contract_sum_200bn_krw|micron_potential_customer|intraday_price_reaction_22pct,micron_report_not_finalized|unconfirmed_media_report|valuation_crowding|single_customer_concentration,stage3_candidate_plus_4b_watch_needs_exact_source_date_and_krx_backfill,needs_source_date_backfill,false,"HBM bonder equipment can be Stage 3-capable when confirmed customer contracts, OP/EPS revision, and price path align; unconfirmed Micron report caps Green."
isu_petasys_ai_server_pcb_487pct_4b_case,AI_SERVER_PCB_MLB_KOREA,007660,이수페타시스,KR,4b_watch,AI_SERVER_PCB_MLB_KOREA,GREEN_POSSIBLE,,,,,,ai_server_pcb|high_layer_mlb|accelerator_board|data_center_networking_board|stock_surge_487pct,valuation_saturation|customer_detail_missing|price_300_500pct|op_eps_revision_must_continue,ai_server_pcb_success_but_487pct_move_requires_4b_watch,needs_price_backfill,false,"AI server PCB can be a real rerating path, but after a 487% move the system must cool it to 4B unless revisions keep up."
leeno_ai_test_socket_stage25_case,SEMICONDUCTOR_TEST_SOCKET_KOREA,058470,리노공업,KR,success_candidate,SEMICONDUCTOR_TEST_SOCKET_KOREA,WATCH_YELLOW_FIRST,,,,,,test_socket|probe_pin|ai_chip_testing|high_margin_socket|ai_boom_price_up_70pct,customer_detail_missing|op_eps_revision_missing|valuation_crowding,quality_business_stage2_5_not_green_until_socket_revenue_revision,needs_price_backfill,false,"High-margin test socket quality can justify Stage 2.5, but Stage 3 needs customer detail, socket mix, and OP/EPS revision."
db_hitek_foundry_reram_stage2_case,SYSTEM_SEMI_FOUNDARY_OPTION_KOREA,000990,DB하이텍,KR,success_candidate,SYSTEM_SEMI_FOUNDARY_OPTION_KOREA,WATCH_YELLOW_FIRST,2025-12-10,2025-12-10,,,,government_12inch_40nm_foundry_plan|fabless_support|reram_license|compute_in_memory_project_option,customer_revenue_missing|op_eps_revision_missing|policy_delay|license_not_commercialized,policy_and_reram_option_stage2_not_green,needs_price_backfill,false,"Government foundry policy and ReRAM license are options. Stage 3 waits for wafer revenue, utilization, and OP/EPS revision."
rebellions_sapeon_related_stock_green_cap_case,AI_CHIP_FABRIC_PRIVATE_RELATED,017670/030200,SK텔레콤·KT 관련 AI칩 노출,KR,event_premium,AI_CHIP_FABRIC_PRIVATE_RELATED,REDTEAM_FIRST,2024-06-12,2026-03-26,,,,rebellions_sapeon_merger|atom_mass_production|government_investment_250bn_krw|private_ai_chip_ecosystem,listed_company_direct_revenue_missing|equity_method_income_missing|related_stock_only|private_valuation_only,private_ai_chip_ecosystem_event_not_listed_company_green,needs_price_backfill,false,"Private AI-chip ecosystem evidence can move related stocks, but listed-company Green requires direct revenue or equity-method income."
hanmi_micron_media_report_not_contract_case,MOU_OR_REPORT_NOT_CONTRACT,042700,한미반도체 Micron 보도,KR,event_premium,MOU_OR_REPORT_NOT_CONTRACT,REDTEAM_FIRST,,,,,,micron_possible_deal_report|if_finalized_language|price_reaction_22pct|sk_hynix_confirmed_order_as_separate_evidence,final_contract_missing|terms_undisclosed|customer_confirmation_missing|headline_rally,media_report_stage2_supporting_evidence_not_contract,needs_source_date_backfill,false,Possible Micron deal is strong Stage 2 attention but not a finalized customer contract before disclosure detail.
samsung_labor_disruption_overlay_case,HBM_SUPPLY_CHAIN_LABOR_DISRUPTION_OVERLAY,005930,삼성전자 파업·생산차질 overlay,KR,4c_thesis_break,HBM_SUPPLY_CHAIN_LABOR_DISRUPTION_OVERLAY,REDTEAM_FIRST,2026-05-15,,,,2026-05-15,strike_notice|memory_supply_chain_disruption_risk|45000_plus_workers|division_bonus_gap|foundry_logic_execution_risk,labor_strike|delivery_delay_risk|execution_risk|op_eps_revision_down_risk,hbm_supply_chain_operational_overlay,needs_price_backfill,false,"Samsung is not a central success case here, but labor and execution risk must remain a semiconductor supply-chain RedTeam overlay."
on_device_ai_revenue_missing_case,ON_DEVICE_AI_THEME,080220/094360/054450,온디바이스 AI 관련주,KR,event_premium,ON_DEVICE_AI_THEME,REDTEAM_FIRST,,,,,,on_device_ai_theme|npu_or_low_power_memory_theme|design_win_watch|price_only_theme_risk,direct_revenue_missing|adoption_missing|customer_detail_missing|op_eps_revision_missing,theme_routes_research_but_green_blocked_before_revenue,needs_case_backfill,false,"On-device AI can route research, but direct adoption revenue and OP/EPS revision are required before Stage 3."
hbm_test_equipment_stage2_case,HBM_TEST_EQUIPMENT_KOREA,089030/003160/232140,테크윙·디아이·와이씨 HBM 테스트 장비,KR,success_candidate,HBM_TEST_EQUIPMENT_KOREA,WATCH_YELLOW_FIRST,,,,,,hbm_test|cube_prober|memory_test_handler|wafer_level_test|actual_customer_order_needed,actual_customer_order_missing|shipment_schedule_missing|op_eps_revision_missing|customer_capex_cut,hbm_test_stage2_until_customer_order_shipment_revision,needs_case_backfill,false,"HBM test equipment is a watch path, but customer order, shipment schedule, and OP/EPS conversion are mandatory."
advanced_packaging_equipment_customer_order_case,ADVANCED_PACKAGING_EQUIPMENT_KOREA,053610/031980,프로텍·피에스케이홀딩스 후공정 장비,KR,success_candidate,ADVANCED_PACKAGING_EQUIPMENT_KOREA,WATCH_YELLOW_FIRST,,,,,,advanced_packaging_equipment|customer_order_needed|shipment_schedule_needed|equipment_revenue_conversion_needed,customer_order_missing|qualification_delay|shipment_delay|margin_unknown,advanced_packaging_stage2_before_customer_order_conversion,needs_case_backfill,false,"Advanced packaging equipment can become Stage 2/3, but only after customer order, shipment, and margin evidence."
ai_chip_private_related_direct_revenue_missing_case,AI_CHIP_LISTED_EARNINGS_LINK_GATE,017670/030200,국산 AI칩 private 관련주 earnings-link gate,KR,4c_thesis_break,AI_CHIP_LISTED_EARNINGS_LINK_GATE,REDTEAM_FIRST,2024-06-12,2026-03-26,,,,private_ai_chip_merger|government_investment|related_listed_company_claim,direct_earnings_link_missing|direct_revenue_missing|equity_method_income_missing|customer_contract_missing,private_valuation_and_listed_eps_must_be_separated,needs_price_backfill,false,This is the hard gate version of the private AI-chip related-stock rule.
