archetype,priority_tier,deep_dive_priority_tier,first_shadow_scoring_candidate,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation_rerating,green_gate_policy
CONTRACT_BACKLOG_INDUSTRIAL,1,1,true,20,24,22,12,12,Green allowed only with disclosure + financial actual + research/consensus-revision cross evidence.
DEFENSE_GOVERNMENT_BACKLOG,1,1,true,20,24,17,14,14,"Green allowed with government customer, delivery visibility, and margin/revision evidence."
SHIPBUILDING_OFFSHORE_BACKLOG,2,1,false,20,22,18,13,13,Green allowed selectively; low-margin backlog and cancellation risk must be cleared.
EXPORT_RECURRING_CONSUMER,1,1,true,22,23,12,16,13,Contract quality is not required; recurring export demand and EPS/OP revision are required.
K_BEAUTY_EXPORT_DISTRIBUTION,1,1,true,22,23,12,16,13,"Green allowed through export/channel/recurring-demand evidence, not contract quality."
MEMORY_HBM_CAPACITY,1,1,true,24,21,19,15,12,"Green allowed with memory-specific revision, pricing, supply discipline, and capacity evidence."
SEMI_EQUIPMENT_CAPEX,2,1,true,22,20,18,14,12,Green allowed with confirmed order-to-revenue conversion and customer capex durability.
MEDICAL_DEVICE_HEALTHCARE_EXPORT,2,1,false,20,22,13,14,12,Green allowed with export channel plus repeat consumable/service revenue.
FINANCIAL_SPREAD_BALANCE_SHEET,2,2,true,15,20,5,15,25,"Green allowed with ROE/PBR and durable capital return, not low PBR alone."
TURNAROUND_COST_RESTRUCTURING,2,2,false,22,18,8,15,12,Green allowed only when cost improvement is recurring and paired with growth/FCF.
COMMODITY_SPREAD,2,3,false,20,12,18,10,10,Green restricted by cycle cap unless structural cost-curve or supply discipline is explicit.
SHIPPING_FREIGHT_CYCLE,1,1,true,20,10,18,8,8,Green very restricted; normally cyclical success or Yellow/Red rather than structural Green.
BATTERY_MATERIALS_CAPEX_OVERHEAT,2,1,false,20,16,14,10,10,Green highly restricted; overheat and CAPA overbuild penalties dominate unless contract economics are clear.
AUTO_MOBILITY_COMPONENTS,2,2,false,20,18,10,15,17,Green allowed with durable mix/FCF/return evidence; component cost pass-through must be proven.
CONSTRUCTION_REAL_ESTATE_CREDIT,3,3,false,18,12,6,12,10,Green very restricted; credit and cash-flow evidence must dominate order headline.
UTILITIES_REGULATED_TARIFF,3,3,false,18,18,5,12,10,"Green restricted unless tariff pass-through regime changes, not just one-time relief."
BIOTECH_REGULATORY,3,2,false,8,15,5,10,5,Green blocked before real revenue/royalty and dilution control.
ROBOTICS_FACTORY_AUTOMATION,3,3,false,20,15,10,12,10,Green restricted until revenue conversion and repeatability are proven.
PLATFORM_SOFTWARE_INTERNET,3,2,false,20,22,8,16,14,"Green allowed only with monetization and margin leverage, not MAU alone."
GAME_CONTENT_IP,3,2,false,20,18,8,14,12,Green restricted unless IP repeatability and monetization are visible.
HOLDING_RESTRUCTURING_GOVERNANCE,3,2,false,12,18,5,20,25,Green allowed only if governance action is backed by FCF/NAV improvement.
ONE_OFF_EVENT_DEMAND,1,3,true,20,5,5,5,5,Green blocked by default; normally Stage 3-Red/Yellow guardrail.
THEME_VALUATION_OVERHEAT,1,3,true,10,5,5,5,5,Green blocked unless real EPS/FCF evidence overwhelms overheat risk.
RETAIL_DOMESTIC_CONSUMER,3,3,false,18,16,7,14,14,"Green restricted unless OP/FCF improvement is structural, not traffic-only."
GENERIC_UNCLASSIFIED,3,3,false,10,5,5,5,5,Green blocked until a real archetype and evidence family are assigned.
