field,required_for_round186_backfill
ticker,true
company_name,true
canonical_archetype,true
case_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_20d_after_stage2,true
mae_20d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_kosdaq,true
relative_strength_vs_semiconductor_basket,true
relative_strength_vs_ai_hardware_basket,true
relative_strength_vs_hbm_equipment_basket,true
contract_amount,true
contract_counterparty,true
contract_period,true
order_size,true
customer_name,true
design_win_flag,true
tapeout_flag,true
mass_production_flag,true
shipment_schedule,true
revenue_recognition_timing,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
opm,true
fcf_signal,true
inventory_signal,true
asp_signal,true
yield_signal,true
customer_qualification_status,true
customer_diversification_flag,true
capex_linked_customer,true
customer_capex_delay_flag,true
ip_leak_risk_flag,true
labor_disruption_flag,true
production_disruption_flag,true
media_report_only_flag,true
mou_loi_flag,true
non_binding_flag,true
cb_bw_or_dilution_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
