target_id,large_sector,canonical_archetype,posture,arr_bookings_ad_ip_cloud_revenue,recurrence_retention_workflow_lockin,opm_fcf_gross_margin_conversion,ai_cloud_platform_ip_bottleneck,early_price_path_validation,operational_trust_security_legal_governance,valuation_room_4b_runway,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
ENTERPRISE_AI_CLOUD_INFRA_KOREA,PLATFORM_CONTENT_SW_SECURITY,ENTERPRISE_AI_CLOUD_INFRA_KOREA,WATCH_YELLOW_FIRST,20,16,14,18,10,14,8,ai_cloud|physical_ai|enterprise_automation|sovereign_ai_option,strategic_investor|kkr_cb|ai_offering_expansion|cash_for_mna,ai_cloud_revenue|arr|long_term_cloud_contract|opm_fcf_improvement|mna_execution,strategic_investor_name_rerating|ai_option_priced_before_revenue,cb_dilution|ai_revenue_missing|mna_execution_failure|ai_investment_margin_pressure,ai_cloud_revenue|arr|long_term_cloud_contract|opm_fcf_improvement|mna_execution,cb_dilution|actual_ai_arr_missing|mna_execution_unknown|ai_cost_margin_pressure,cb_dilution|ai_arr_missing|mna_execution|margin,false,false,"Samsung SDS-style AI cloud is strong Stage 2; Green waits for actual AI/cloud revenue, ARR, contracts, and FCF."
B2B_SAAS_ERP_WORKFLOW_KOREA,PLATFORM_CONTENT_SW_SECURITY,B2B_SAAS_ERP_WORKFLOW_KOREA,GREEN_POSSIBLE,24,22,16,8,10,12,8,erp_cloud|sme_accounting_tax_compliance|workflow_software,strategic_pe_investment|recurring_software_model|workflow_lock_in|stake_sale,arr_growth|low_churn|opm_fcf_improvement|arpu_growth|renewal_rate,pe_premium_priced_before_arr|software_multiple_crowded,arr_churn_miss|opm_decline|regulatory_approval_delay|workflow_competition,arr_growth|low_churn|opm_fcf_improvement|arpu_growth|renewal_rate,arr_churn_missing|opm_unconfirmed|regulatory_approval_pending|pe_event_premium,arr_missing|churn|opm|pe_event_premium,false,false,"Douzone-style ERP workflow can be Green-capable only after ARR, churn, OPM, FCF, and workflow lock-in confirm."
PRIVATE_EQUITY_SOFTWARE_RERATING,PLATFORM_CONTENT_SW_SECURITY,PRIVATE_EQUITY_SOFTWARE_RERATING,WATCH_YELLOW_FIRST,18,18,16,8,10,14,8,pe_interest|software_takeout_premium|governance_improvement_expectation,strategic_stake|operation_improvement_plan|core_business_focus,opm_improvement|fcf_conversion|arr_growth|operational_kpi_improves,pe_name_premium_before_execution,deal_approval_delay|operation_improvement_failure|debt_or_governance_issue,opm_improvement|fcf_conversion|arr_growth|operational_kpi_improves,event_premium_only|opm_unconfirmed|deal_delay|governance_issue,event_premium|execution|governance,false,false,"Private-equity validation supports Stage 2, but not Green before operating KPIs improve."
AI_CLOUD_CAPITAL_ALLOCATION,PLATFORM_CONTENT_SW_SECURITY,AI_CLOUD_CAPITAL_ALLOCATION,REDTEAM_FIRST,16,12,14,18,10,20,8,cash_balance|ai_mna_option|stablecoin_option,capital_allocation_strategy|strategic_advice|cb_or_external_capital,disciplined_mna|ai_revenue_after_capex|fcf_after_investment,mna_option_overpriced,cb_dilution|bad_mna|capex_overrun|margin_pressure,disciplined_mna|ai_revenue_after_capex|fcf_after_investment,cb_dilution|mna_execution_unknown|ai_investment_cost|margin_pressure,dilution|mna|capex|margin,true,false,"AI-cloud capital allocation is a RedTeam overlay when CB, M&A, or capex risks outrun revenue evidence."
SOVEREIGN_KOREAN_AI_MODEL,PLATFORM_CONTENT_SW_SECURITY,SOVEREIGN_KOREAN_AI_MODEL,WATCH_YELLOW_FIRST,14,14,12,22,10,18,8,korean_llm|sovereign_ai|technical_report|benchmark,model_release|public_enterprise_adoption_expectation|cloud_usage_pipeline,b2b_paid_api|naver_cloud_revenue|ai_search_ad_arpu|inference_margin|enterprise_contract,sovereign_ai_keyword_overheated,inference_cost_pressure|b2b_monetization_missing|ai_search_arpu_missing|model_competition,b2b_paid_api|cloud_revenue|ai_search_ad_arpu|inference_margin|enterprise_contract,b2b_monetization_missing|inference_cost_unknown|ai_search_arpu_missing|technical_report_only,monetization|inference_cost|arpu|competition,false,false,"Naver HyperCLOVA X is Stage 1/2 before paid B2B API, cloud usage, and AI ad monetization."
WEBTOON_PLATFORM_IP_MONETIZATION,PLATFORM_CONTENT_SW_SECURITY,WEBTOON_PLATFORM_IP_MONETIZATION,WATCH_YELLOW_FIRST,20,18,14,14,10,16,8,webtoon_ip|creator_platform|k_content,nasdaq_ipo|paid_content|ad_revenue|ip_adaptation_pipeline,paid_content_growth|ad_arpu|ip_adaptation_revenue|opm_fcf|retention,ipo_premium|global_ip_platform_crowded,guidance_miss|ip_adaptation_revenue_decline|net_loss|platform_valuation_compression,paid_content_growth|ad_arpu|ip_adaptation_revenue|opm_fcf|retention,guidance_miss|ip_adaptation_revenue_decline|net_loss|monetization_gap,guidance|ip_adaptation|net_loss|monetization,false,false,"Webtoon platform needs paid content, ad revenue, IP adaptation revenue, and OPM/FCF; IPO alone is Stage 2."
PLATFORM_PRIVACY_SECURITY_OVERLAY,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_PRIVACY_SECURITY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,global_platform_asset|line_ly_corp|platform_data,buyback_or_asset_monetization|platform_asset_value,not_green_if_data_leak_or_regulatory_pressure,platform_asset_repricing_ignores_security,data_leak|privacy_security_incident|foreign_regulatory_pressure|capital_relationship_review,,data_leak|privacy_security_incident|regulatory_pressure|governance_uncertainty,privacy|security|regulatory|governance,true,false,"Platform overseas expansion must pass privacy, security, and governance gates."
GAME_CONTENT_IP_REPEAT_MONETIZATION,PLATFORM_CONTENT_SW_SECURITY,GAME_CONTENT_IP_REPEAT_MONETIZATION,GREEN_POSSIBLE,24,20,16,12,10,10,8,game_ip|new_title|global_console_expansion|live_service,new_ip_sales|live_service_cash_cow|bookings_visibility|india_platform_option,live_service_bookings|repeat_sales|dlc_or_ugc_monetization|opm_fcf|pipeline_stability,ipo_or_hit_title_premium|valuation_before_repeat_bookings,release_delay|developer_lawsuit|community_backlash|new_ip_sales_slowdown,live_service_bookings|repeat_sales|opm_fcf|pipeline_stability|bookings_growth,single_ip_concentration|release_delay|lawsuit|community_backlash|valuation_premium,single_ip|launch|legal|valuation,false,false,"Krafton/Shift Up-style games need repeat bookings and OPM/FCF, not only a hit-title headline."
GAME_SINGLE_IP_EVENT_PREMIUM,PLATFORM_CONTENT_SW_SECURITY,GAME_SINGLE_IP_EVENT_PREMIUM,WATCH_YELLOW_FIRST,18,12,12,18,10,14,8,new_title_hype|ipo_premium|single_ip_success,initial_sales|pc_port|preorder_actual|publisher_pipeline,repeat_bookings|retention|follow_on_sales|opm_fcf,single_ip_valuation_premium|ipo_premium_crowded,single_ip_fade|pipeline_gap|platform_fee_pressure|user_retention_miss,repeat_bookings|retention|follow_on_sales|opm_fcf,single_ip_concentration|ipo_valuation_premium|pipeline_uncertainty|retention_miss,single_ip|ipo|pipeline|retention,false,false,Single-IP game events stay Watch/Yellow before repeat bookings and retention evidence.
GAME_IP_LAUNCH_DELAY_LEGAL_RISK,PLATFORM_CONTENT_SW_SECURITY,GAME_IP_LAUNCH_DELAY_LEGAL_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,sequel_expectation|new_ip_pipeline,publisher_portfolio|release_schedule,not_green_if_delay_or_lawsuit,ip_hype_before_release,release_delay|earnout_dispute|developer_lawsuit|community_backlash,,release_delay|developer_lawsuit|community_backlash|earnout_dispute,release_delay|lawsuit|community|trust,true,false,"Game release delay, developer lawsuit, and community trust issues are 4C-watch gates."
