target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
COPPER_AI_GRID_KOREA,copper_price_up|ai_data_center|power_grid|ev_energy_transition|mine_disruption,copper_price_confirmed|grid_wire_order|backlog|copper_passthrough|op_eps_revision,individual_order_backlog_up|opm_defended|copper_passthrough_contract|fcf_improvement|60d_mfe_20pct,copper_price_only_rally|grid_wire_basket_crowded|eps_revision_lags_price,copper_price_reversal|inventory_loss|opm_drop|orders_missing,commodity_cycle|individual_order_missing|opm_missing,false,false
COPPER_PROCESSING_PLUS_DEFENSE,copper_processing|ammo_defense|mna_rumor|copper_price_up,hanwha_bid_report|estimated_1_5tn_won_sale_value|ammo_business_value|copper_margin,actual_sale_contract|defense_order_backlog|copper_processing_margin|op_eps_revision|fcf,mna_premium_priced|commodity_defense_hybrid_crowded,hanwha_review_dropped|poongsan_sale_denial|event_premium_unwind,mna_event|confirmation|processing_margin,false,false
DEFENSE_AMMO_EVENT_PREMIUM,ammo_mna_rumor|defense_unit_sale_report|buyer_name_reported,indicative_bid_reported|estimated_sale_value,not_green_without_final_sale_or_order_backlog,mna_rumor_rally|premium_before_contract,buyer_drops_review|seller_denies_sale|no_transaction,mna_rumor|final_terms_missing|unwind,true,false
POLYSILICON_NON_CHINA_SUPPLY_OPTION,non_china_polysilicon|ira_feoc|spacex_name|satellite_power|data_center_power,multi_year_supply_talks|malaysia_polysilicon|potential_customer|supply_chain_option,confirmed_supply_contract|contract_amount|supply_period|volume|asp_opm|revenue_recognition,spacex_name_rally|ai_data_center_solar_story_crowded,contract_not_confirmed|company_cannot_confirm|polysilicon_price_weakness|solar_oversupply,confirmation|contract_terms|polysilicon_cycle,false,false
POLYSILICON_REPORT_NOT_CONTRACT,media_report|talks_reported|potential_customer,detail_check_required,not_green_without_confirmed_contract,famous_customer_name_rally,contract_absent|company_cannot_confirm|report_fails_to_convert,report_only|confirmation|terms,true,false
STEEL_TARIFF_EVENT_KOREA,us_china_steel_tariff|eu_quota_cut|china_tariff|steel_event,tariff_target_china_only|korean_steel_relief|asp_up|export_volume_stable,asp_up_and_volume_stable|raw_material_labor_cost_control|opm_fcf_improvement|op_eps_revision,tariff_event_rally|steel_basket_broad_rally|opm_not_confirmed,tariff_hits_korean_exports|export_volume_down|price_pass_through_failure,tariff_scope|export_exposure|cost_control,false,false
STEEL_EXPORT_TARIFF_4C,steel_tariff_headline|export_market_tariff,risk_event_detected,not_green_while_direct_export_tariff_hits,tariff_relief_rally_without_terms,us_steel_tariff_50pct|korean_export_competitiveness_hit|seah_steel_8pct_drop,tariff_scope|export_exposure|local_production,true,false
SPECIALTY_STEEL_US_LOCALIZATION_OPTION,octg|steel_pipe|us_local_mill|offshore_wind_foundation|energy_infrastructure,local_us_production|customer_volume|tariff_exemption_or_localization|margin_detail,us_local_revenue|margin_expansion|export_tariff_offset|op_eps_revision|fcf,localization_story_crowded|tariff_relief_priced_before_margin,local_volume_missing|tariff_cost_hits|margin_missing,localization|margin|volume,false,false
LITHIUM_PRICE_EVENT_KOREA,lithium_mine_suspension|lithium_price_rebound|spodumene|brine|resource_security_story,actual_offtake|production_volume|government_investment|plant_operating,production_volume|op_eps_fcf|long_term_contract|price_floor|stage2_price_path,lithium_event_rally|two_or_three_limit_up_without_earnings|theme_basket_crowded,lithium_price_redeclines|cash_burn|stock_promotion_risk|cb_bw,event_rally|production|fcf|cash_burn,true,false
RARE_EARTH_THEME_KOREA,rare_earth_export_control|magnet|ferrite|stainless_specialty|export_license,actual_rare_earth_revenue|supply_contract|production_capacity|customer,rare_earth_revenue|offtake|op_eps_fcf|long_term_contract,rare_earth_theme_rally|price_only_limit_up|community_keyword_crowded,export_license_recovers|revenue_absent|cb_bw|commodity_price_reversal,theme_only|revenue|offtake|dilution,true,false
CHEMICAL_SPREAD_KOREA,chemical_spread_rebound|polysilicon_or_chemical_price|china_capacity_news,spread_margin_signal|inventory_loss_excluded|cost_pass_through|op_revision,durable_spread|volume_stable|opm_fcf_improvement|low_cost_position,spread_rebound_priced_before_volume|chemical_basket_crowded,china_supply_glut|spread_reworsens|inventory_loss|op_eps_revision_down,spread|inventory|volume|china_supply,false,false
EVENT_PREMIUM_GOVERNANCE_OVERLAY,mna_rumor|governance_event|tender_or_sale_report,indicative_offer|buyer_named|estimated_value_reported,not_green_without_final_terms_and_fcf_link,event_premium_rally|rumor_priced_before_terms,deal_dropped|seller_denial|terms_absent,event_premium|final_terms|unwind,true,false
DISCLOSURE_CONFIDENCE_CAP,headline_disclosure|opendart_list_only|media_report_only,detail_fetch_required|counterparty|amount|period|volume|price_floor,multi_source_confirmation|terms_verified|opm_fcf_visible,headline_theme_rally,customer_missing|amount_missing|period_missing|margin_unknown|company_denial,disclosure_detail|confirmation|terms,false,false
