field,required_for_round183_backfill
ticker,true
company_name,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_kosdaq,true
relative_strength_vs_agri_basket,true
relative_strength_vs_education_basket,true
relative_strength_vs_consumer_regulated_basket,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
recurring_revenue_ratio,true
subscription_or_repeat_revenue,true
order_backlog,true
contract_amount,true
contract_counterparty,true
contract_period,true
export_sales_ratio,true
dealer_inventory_signal,true
farm_income_signal,true
grain_price_signal,true
feed_cost_signal,true
livestock_price_signal,true
price_pass_through_signal,true
regulatory_approval_status,true
public_health_risk_flag,true
youth_safety_flag,true
legal_settlement_flag,true
antitrust_or_collusion_flag,true
policy_event_type,true
policy_reversal_risk,true
medical_quota_policy_status,true
student_count_trend,true
cac,true
churn,true
paid_conversion,true
ip_revenue,true
licensing_revenue,true
merchandise_revenue,true
one_hit_dependency,true
post_ipo_guidance,true
inventory_days,true
receivables_days,true
cash_runway_months,true
dilution_event_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
