raw_theme_tag,normalized_theme_tag,large_sector,primary_archetype,secondary_archetypes,green_policy,must_have_evidence,red_flag_evidence,score_weight_profile,default_stage_bias,query_seed_terms,notes,theme_is_score_input,production_scoring_changed
편의점,편의점,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,,watch_to_green,same_store_sales|opm_improvement|inventory_turnover,,RETAIL_CONVENIENCE_OFFLINE,stage2_candidate,편의점,,false,false
손해보험,손해보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,,green_allowed,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,INSURANCE_UNDERWRITING_CYCLE,stage3_possible,손해보험,,false,false
부동산 자산 보유,부동산자산보유,건설·부동산·건자재,HOLDING_RESTRUCTURING_GOVERNANCE,,watch_only,roe|shareholder_return_execution|capital_strength,,HOLDING_RESTRUCTURING_GOVERNANCE,stage1_radar,부동산 자산 보유,,false,false
카지노,카지노,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,,watch_only,visitor_mix|drop_or_sales|opm_leverage,,CASINO_DUTYFREE_TOURISM,stage1_radar,카지노,,false,false
종합상사,종합상사,금융·자본배분·디지털금융,HOLDING_RESTRUCTURING_GOVERNANCE,,watch_only,nav_discount|trading_margin|fcf_visibility|shareholder_return_execution,commodity_inventory_loss|governance_discount|one_off_event_premium,HOLDING_RESTRUCTURING_GOVERNANCE,stage1_radar,종합상사,Trading company / holding-like route; Green needs NAV/FCF and capital-allocation evidence.,false,false
라면,라면,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,green_allowed,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage3_possible,라면,,false,false
생명보험,생명보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,,watch_to_green,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,INSURANCE_UNDERWRITING_CYCLE,stage2_candidate,생명보험,,false,false
면세점,면세점,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,,watch_only,visitor_mix|drop_or_sales|opm_leverage,,CASINO_DUTYFREE_TOURISM,stage1_radar,면세점,,false,false
양돈주,양돈주,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,,red_watch,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,AGRI_LIVESTOCK_FOOD_COMMODITY,red_team_first,양돈주,,false,false
홈쇼핑,홈쇼핑,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,,watch_only,same_store_sales|opm_improvement|inventory_turnover,,RETAIL_CONVENIENCE_OFFLINE,stage1_radar,홈쇼핑,,false,false
