case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
lges_ess_pivot_tax_credit_stage2_case,EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,373220,LG에너지솔루션 ESS pivot / tax credit quality,KR,success_candidate,EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,WATCH_YELLOW_FIRST,ev_slowdown|ess_production_expansion|investment_delay|quarterly_profit_improvement|ira_ampc_dependency,profit_ex_subsidy_weak|demand_slowdown_warning|share_price_minus_2_3pct|utilization_recovery_needed,stage2_strong_but_green_blocked_before_ex_subsidy_opm_utilization_fcf,needs_profit_ex_subsidy_utilization_fcf_price_backfill,false,"LGES ESS pivot is Stage 2 evidence, but ex-subsidy OPM, utilization, FCF, and customer diversification gate Stage 3."
lg_chem_sinopec_sodium_ion_stage2_option_case,SODIUM_ION_NEXTGEN_MATERIALS,051910,LG화학 Sinopec sodium-ion materials option,KR,success_candidate,SODIUM_ION_NEXTGEN_MATERIALS,WATCH_YELLOW_FIRST,sodium_ion_materials|sinopec_joint_development|ess_low_speed_ev_target_market|china_market_growth_forecast,commercial_customer_missing|supply_contract_missing|mass_production_revenue_missing|cost_advantage_unproven,stage2_option_not_green_before_commercial_customer_revenue_opm,needs_customer_supply_contract_revenue_price_backfill,false,"Sodium-ion partnership is Stage 2 option evidence. Stage 3 waits for commercial customer, supply contract, revenue, OPM, and cost advantage."
doosan_fuelcell_ceres_sofc_stage23_candidate_case,HYDROGEN_FUEL_CELL_INFRA_KOREA,336260,두산퓨얼셀 / Ceres SOFC mass-production candidate,KR,success_candidate,HYDROGEN_FUEL_CELL_INFRA_KOREA,WATCH_YELLOW_FIRST,sofc_mass_production|factory_capacity_50mw|ai_data_center_power_target|sales_plan|recurring_service_option,customer_missing|revenue_recognition_missing|opm_fcf_missing|subsidy_dependence,stage2_to_stage3_candidate_if_sales_customer_opm_fcf_align,needs_sales_customer_opm_fcf_price_backfill,false,"Doosan fuel-cell path can move toward Stage 3 only if SOFC sales, customers, recurring service, OPM, FCF, and price path align."
hyundai_hydrogen_fuelcell_ulsan_stage2_macro_case,HYDROGEN_FUEL_CELL_INFRA_KOREA,005380/HYDROGEN_BASKET,현대차 울산 수소연료전지 공장 macro,KR,success_candidate,HYDROGEN_FUEL_CELL_INFRA_KOREA,WATCH_YELLOW_FIRST,hydrogen_fuelcell_capa|ulsan_930bn_krw_investment|2027_completion_target|fuel_cell_electrolyzer_plan,utilization_missing|customer_missing|revenue_missing|subsidy_dependence,stage2_macro_for_hydrogen_value_chain_not_green_before_utilization,needs_utilization_customer_revenue_price_backfill,false,"Hyundai hydrogen CAPA is macro Stage 2 evidence for the value chain; utilization, customers, revenue, and margins gate Stage 3."
qcells_us_localization_stage2_case,SOLAR_US_LOCALIZATION_SUPPLYCHAIN,009830,한화솔루션 / Qcells U.S. solar localization,KR,success_candidate,SOLAR_US_LOCALIZATION_SUPPLYCHAIN,WATCH_YELLOW_FIRST,us_solar_localization|georgia_factory_investment|cartersville_ramp|ira_solar_supply_chain,customs_uflpa_gate|normal_operation_needed|margin_fcf_missing|component_import_risk,stage2_localization_not_green_before_customs_normal_operation_margin_fcf,needs_customs_operation_margin_fcf_price_backfill,false,"Qcells localization is Stage 2 evidence, but customs/UFLPA clearance, normal operation, margin, and FCF gate Stage 3."
lges_ford_freudenberg_contract_cancellation_4c_case,BATTERY_CONTRACT_CANCELLATION_4C,373220,LG에너지솔루션 Ford / Freudenberg contract cancellations,KR,4c_thesis_break,BATTERY_CONTRACT_CANCELLATION_4C,REDTEAM_FIRST,ford_contract_cancelled|freudenberg_contract_cancelled|expected_revenue_loss_13_5tn_krw|share_price_minus_7_6pct,contract_cancelled|customer_ev_model_cancelled|expected_revenue_loss|utilization_ramp_delay,large_customer_cancellation_hard_4c,needs_contract_loss_mae_utilization_backfill,false,"Large battery supply cancellations are hard 4C until replacement demand, utilization, and revenue recovery are proven."
skiet_separator_sale_review_4c_case,SEPARATOR_EV_DEMAND_CYCLE,361610/096770,SK IE Technology separator sale review / SK On loss,KR,4c_thesis_break,SEPARATOR_EV_DEMAND_CYCLE,REDTEAM_FIRST,separator|sale_review|ev_demand_slowdown|sk_on_loss_expansion,sale_review|parent_loss|ev_demand_slowdown|utilization_risk,separator_demand_visibility_breaks_until_utilization_and_parent_restructuring_resolved,needs_sale_review_utilization_loss_price_backfill,false,"Separator exposure is capped when EV slowdown, parent losses, and sale review break utilization visibility."
qcells_customs_detention_furlough_4c_case,SOLAR_US_LOCALIZATION_SUPPLYCHAIN,009830,Qcells customs detention / furlough 4C watch,KR,4c_thesis_break,SOLAR_US_LOCALIZATION_SUPPLYCHAIN,WATCH_YELLOW_FIRST,customs_detention|uflpa_supply_chain_scrutiny|furlough_1000_workers|contractor_reduction,customs_detention|uflpa_risk|production_disruption|component_import_block,solar_localization_capped_by_customs_and_supply_chain_disruption,needs_customs_resolution_production_price_backfill,false,U.S. localization does not create Green if customs detention and component supply-chain disruption stop normal production.
cswind_wind_policy_permitting_4c_watch_case,WIND_POLICY_PERMITTING_RISK,112610/100090,씨에스윈드·SK오션플랜트 offshore wind policy risk,KR,4c_thesis_break,WIND_POLICY_PERMITTING_RISK,REDTEAM_FIRST,offshore_wind|permit_halt|lease_suspension|national_security_review|project_delay_or_cancel,permit_halt|lease_suspension|project_cancel|customer_project_delay,wind_equipment_backlog_capped_by_policy_permitting_hard_gate,needs_project_backlog_delivery_policy_price_backfill,false,"Wind supply-chain candidates need project permits, financing, delivery revenue, and margin; permit/lease halt is a hard policy overlay."
aricell_battery_safety_fire_hard_4c_case,BATTERY_SAFETY_INDUSTRIAL_ACCIDENT_OVERLAY,BATTERY_SAFETY_KR,Aricell battery factory fire safety overlay,KR,4c_thesis_break,BATTERY_SAFETY_INDUSTRIAL_ACCIDENT_OVERLAY,REDTEAM_FIRST,battery_fire|fatal_accident_23_deaths|quality_failure|safety_management_failure|ceo_sentence,fatal_accident|quality_failure|safety_management_failure|criminal_liability|consumer_trust_damage,fatal_battery_safety_issue_is_hard_4c_overlay,needs_safety_resolution_regulatory_price_backfill,false,"Fatal battery factory safety and quality failure is a hard 4C overlay for battery manufacturing, materials, and equipment candidates."
