target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
DOMESTIC_RESOURCE_DISCOVERY_EVENT,government_announcement|possible_reserve_headline|daily_limit_rally|resource_theme_basket,exploratory_drilling_started|budget_visible|knoc_project_structure|drill_result_partial,commercial_discovery|appraisal_drilling|development_plan|commercial_production_or_long_term_contract|op_eps_fcf_reflected,daily_limit_rally_before_drilling|resource_theme_crowding,exploration_failure|no_commerciality|budget_cut|result_delay,exploration_failure|no_commerciality|budget_cut|result_delay,drill_bit|commerciality|time_to_revenue|success_probability,false,false
RESOURCE_EXPLORATION_DRILL_BIT_GATE,prospect_estimate|consultant_report|government_announcement,knoc_drilling|drilling_budget|well_count_plan,commercial_reserve_confirmed|final_investment_decision|production_plan,prospect_headline_priced_before_drilling,80pct_failure_probability|exploration_failure|commerciality_absent|woodside_caveat,80pct_failure_probability|exploration_failure|commerciality_absent|woodside_caveat,failure_probability|commerciality|reserve_unconfirmed|fid_missing,true,false
ENERGY_SECURITY_POLICY_EVENT,energy_security_headline|gas_oil_import_security|domestic_resource_option,government_project_structure|supply_security_policy|import_substitution_path,company_revenue_path|contract_or_margin_impact|op_eps_fcf_conversion,energy_security_theme_basket_rally,oil_price_shock_cost_pressure|policy_reversal|exploration_failure,oil_price_shock_cost_pressure|policy_reversal|exploration_failure,import_cost|policy_reversal|exploration|margin,false,false
MARKET_STRUCTURE_SHORT_SELLING_POLICY,short_selling_ban_extension|illegal_short_selling_monitoring|retail_confidence_narrative,monitoring_system_adopted|rule_change_confirmed|violating_institutions_fined|resumption_schedule_confirmed,brokerage_revenue_or_roe_link|trading_value_sustained|company_eps_fcf_conversion,high_beta_short_squeeze|growth_basket_indiscriminate_rally,short_selling_resumption|valuation_compression|foreign_hedge_activity_returns|msci_accessibility_issue,short_selling_resumption|valuation_compression|foreign_hedge_activity_returns|msci_accessibility_issue,fundamental_link_missing|price_only_squeeze|resumption|foreign_access,false,false
SHORT_SELLING_RESUMPTION_RISK,short_selling_ban_beneficiary|high_short_interest_growth_basket,resumption_schedule|monitoring_system,not_green_if_eps_fcf_missing,price_only_short_squeeze|high_beta_rally,short_selling_resumption|valuation_compression|liquidity_reversal,short_selling_resumption|valuation_compression|liquidity_reversal,short_squeeze|valuation|resumption|liquidity,true,false
POLITICAL_SYSTEM_SHOCK_KOREA,martial_law|impeachment_risk|kospi_volatility|won_fx_shock,market_stabilization_fund|liquidity_support|political_resolution_path,not_company_eps_fcf_evidence,political_theme_rally_without_contract,market_wide_risk_premium_spike|foreign_outflow|currency_volatility|kospi_kosdaq_riskoff,market_wide_risk_premium_spike|foreign_outflow|currency_volatility|kospi_kosdaq_riskoff,political_risk|fx|foreign_flow|valuation_room,true,false
GEOPOLITICAL_ENERGY_IMPORT_SHOCK,middle_east_conflict|hormuz_risk|oil_price_shock|won_volatility,policy_response|energy_supply_stabilization|market_stabilization,not_company_structural_green_evidence,refinery_or_energy_theme_overreaction,market_circuit_breaker|exporter_riskoff|airline_petrochemical_cost_shock|won_weakness,market_circuit_breaker|exporter_riskoff|airline_petrochemical_cost_shock|won_weakness,oil_import_dependency|fx|market_mae|input_cost,true,false
EVENT_PRICE_RALLY_NOT_STAGE3,same_day_limit_up|event_headline|basket_rally,verified_event_path|budget_or_contract_possible,not_green_without_contract_budget_revenue,price_rally_before_cashflow|theme_keyword_crowding,price_only_rally_unwinds|no_revenue_conversion|disclosure_detail_absent,price_only_rally_unwinds|no_revenue_conversion|disclosure_detail_absent,price_only|crowding|no_revenue|detail_missing,true,false
POLICY_DIRECTIONALITY_ERROR,policy_or_political_theme|tariff_short_selling_energy_policy|political_event,affected_company_mapping|winner_loser_split|budget_or_contract_detail,company_revenue_or_margin_link|directionality_verified,policy_theme_basket_indiscriminate_rally,policy_reversal|wrong_beneficiary_mapping|political_direction_reversal|no_company_exposure,policy_reversal|wrong_beneficiary_mapping|political_direction_reversal|no_company_exposure,directionality|beneficiary_mapping|policy_reversal|no_exposure,true,false
DISCLOSURE_CONFIDENCE_CAP,event_headline|policy_headline|resource_or_shock_headline,budget_contract_order_detail_required|exploration_result_required|guidance_detail_required,multi_source_confirmation|detail_fields_verified|company_conversion_verified,headline_rerating,budget_detail_missing|contract_detail_missing|exploration_result_missing|guidance_missing|price_only_rally,budget_detail_missing|contract_detail_missing|exploration_result_missing|guidance_missing|price_only_rally,disclosure|detail|guidance|parser_confidence,false,false
