case_id,detected_stage,price_path_status,verdict,normalization_adjustment
sk_hynix_hbm_trillion_case,Stage 3 -> 4B-watch,Q4 reaction and multi-year rerating are cited in round note; full OHLCV backfill still required,score_to_stage_to_price_aligned_but_4b,"raise HBM EPS/FCF and bottleneck credit, but cut valuation room after large rerating"
samsung_hbm4_shipping_case,Stage 2,"HBM4 shipment price reaction aligned with Stage 2, not Stage 3",stage2_detection_aligned,"raise catch-up visibility but require qualification, yield, volume shipment, and EPS conversion"
applied_materials_ai_packaging_growth_case,Stage 2 -> Stage 3 candidate,Guidance beats and price reactions support equipment Stage 2/3 calibration,stage_detection_price_aligned,raise equipment EPS/visibility while preserving order-pushout and export-control overlays
broadcom_custom_ai_asic_100b_case,Stage 2 -> Stage 3 candidate,AI revenue guide and supply bottleneck evidence aligned with price reaction,custom_asic_independent_archetype_confirmed,"promote custom ASIC as its own axis; keep margin, customer, startup-credit, and capacity risks"
cisco_ai_networking_orders_case,Stage 2 -> Stage 3 candidate,AI infrastructure and switching orders aligned with price reaction,networking_stage_detection_aligned,"raise AI networking visibility, but require margin, FCF, and repeat order conversion"
tower_photonics_ai_datacenter_deal_case,Stage 2,Photonic AI data-center deal amount supported Stage 2 price reaction,photonics_stage2_aligned,"raise photonics deal visibility, but require delivery, revenue recognition, and margin before Green"
foxconn_ai_server_rack_growth_case,Stage 2,"AI server revenue/profit evidence works, but ODM margin power remains capped",revenue_aligned_margin_capped,keep server ODM revenue credit while lowering bottleneck/pricing score
kioxia_ai_nand_profit_case,Stage 3 -> 4B-watch,"Profit guidance validates AI storage NAND, but 20x stock move is 4B-heavy",structure_aligned_valuation_crowded,raise NAND EPS evidence and sharply reduce valuation/mispricing after large price path
supermicro_ey_resignation_case,Stage 4C,Auditor resignation matched severe negative price reaction in round note,redteam_hard_gate_aligned,strengthen accounting trust hard gate across AI server and adjacent names
coreweave_nvidia_circular_financing_case,Stage 2 visibility + 4B/4C-watch,Contract visibility is not clean demand when supplier/customer/investor loops exist,green_block_correct,"lower capital/FCF score and require clean FCF, leverage, utilization, and customer diversification"
cerebras_ai_accelerator_ipo_case,IPO event premium / 4B-watch,First-day surge and next-day decline fit event-premium rather than structural Green,valuation_watch_aligned,"cap pure-play accelerator valuation until repeat orders, margin, ecosystem, and FCF appear"
ecolab_coolit_liquid_cooling_case,Stage 2 M&A + valuation watch,AI cooling deal still had negative price reaction due to M&A multiple/accretion delay,mna_redteam_aligned,"penalize M&A overpay, debt financing, and delayed EPS accretion"
