target_id,large_sector,canonical_archetype,posture,eps_fcf_opm_conversion,contract_volume_operating_visibility,unit_fleet_economics,safety_regulation_labor_quality_risk,early_price_path_validation,recurrence_demand_durability,valuation_room_4b_runway,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
AUTO_HYBRID_LOCALIZATION_KOREA,MOBILITY_TRANSPORT_LEISURE,AUTO_HYBRID_LOCALIZATION_KOREA,WATCH_YELLOW_FIRST,20,22,14,14,10,12,8,hybrid_demand|ev_slowdown_response|us_tariff_hedge,georgia_hybrid_production|kia_40pct_allocation|us_capacity_1_2m|localization_plan,hybrid_sales_growth|opm_defense|tariff_cost_absorbed|fcf_and_return_stable|sdv_capex_control,hybrid_localization_narrative_crowded|auto_basket_rally_before_margin,sdv_delay|ev_target_cut|capex_hike|europe_price_war|opm_cut,hybrid_sales_growth|opm_defense|tariff_cost_absorbed|fcf_and_return_stable|sdv_capex_control,sdv_delay|ev_target_cut|capex_hike|europe_price_war|opm_cut,sdv_delay|ev_target_cut|capex|price_war|tariff,false,false,Kia-style hybrid localization is Stage 2 evidence; Green waits for OPM/FCF and tariff absorption.
AUTO_SDV_DELAY_CAPEX_OVERLAY,MOBILITY_TRANSPORT_LEISURE,AUTO_SDV_DELAY_CAPEX_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,sdv_ai_car_narrative|software_defined_vehicle_plan,sdv_roadmap|ai_partner|nvidia_or_deepmind_partner,not_green_if_launch_delay_or_capex_hike,sdv_narrative_priced_before_execution,sdv_delay|ev_target_cut|capex_hike|share_price_negative_reaction,,sdv_delay|ev_target_cut|capex_hike|share_price_negative_reaction,delay|capex|ev_target_cut|execution,true,false,"SDV delay and capex hike are RedTeam gates, not software rerating evidence."
AUTO_PRICE_WAR_EUROPE_OVERLAY,MOBILITY_TRANSPORT_LEISURE,AUTO_PRICE_WAR_EUROPE_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,europe_sales_defense|china_ev_competition,price_gap_reduction|volume_defense,not_green_if_margin_cut_needed,volume_story_ignores_margin_cap,price_cut_signal|gross_margin_pressure|opm_cap|china_ev_price_competition,,price_cut_signal|gross_margin_pressure|opm_cap|china_ev_price_competition,price_cut|opm|competition|europe,true,false,European price competition can defend revenue while capping margin.
AUTO_COMPONENT_RESTRUCTURING_KOREA,MOBILITY_TRANSPORT_LEISURE,AUTO_COMPONENT_RESTRUCTURING_KOREA,WATCH_YELLOW_FIRST,20,20,14,16,10,12,8,auto_parts_restructuring|lighting_business|adas_or_ev_component,lighting_business_scale|opmobility_deal|portfolio_restructuring|customer_diversification,deal_finalized|opm_improvement|fcf_or_return_improvement|quality_cost_low,restructuring_premium_priced_before_deal,iccu_quality_issue|ev_recall|warranty_cost|customer_trust_damage,deal_finalized|opm_improvement|fcf_or_return_improvement|quality_cost_low,iccu_quality_issue|ev_recall|warranty_cost|customer_trust_damage,quality|recall|warranty|deal_not_final,false,false,"Hyundai Mobis-style restructuring is Stage 2; Green waits for deal finality, OPM, FCF, and clean quality cost."
AUTO_COMPONENT_QUALITY_RECALL_OVERLAY,MOBILITY_TRANSPORT_LEISURE,AUTO_COMPONENT_QUALITY_RECALL_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ev_component_exposure|electronics_component,component_program_visibility,not_green_if_quality_cost_active,component_rerating_ignores_recall,iccu_defect|recall|warranty_cost|reputation_risk,,iccu_defect|recall|warranty_cost|reputation_risk,recall|warranty|quality|trust,true,false,Auto-component quality or recall evidence is a Green-blocking overlay.
ECOMMERCE_LOGISTICS_REPEAT_CONTRACT,MOBILITY_TRANSPORT_LEISURE,ECOMMERCE_LOGISTICS_REPEAT_CONTRACT,GREEN_POSSIBLE,22,22,18,12,10,10,6,ecommerce_logistics_competition|fast_delivery|customer_trust_shock,three_year_logistics_alliance|incremental_revenue_potential|one_day_volume_growth|customer_diversification,parcel_unit_price_defended|opm_fcf_improvement|automation_efficiency|repeat_customer_contracts|labor_cost_controlled,fast_delivery_basket_rally|volume_story_priced_before_margin,unit_price_down|labor_regulation_cost|volume_up_opm_down|delivery_pause_or_operation_disruption,parcel_unit_price_defended|opm_fcf_improvement|automation_efficiency|repeat_customer_contracts|labor_cost_controlled,unit_price_down|labor_regulation_cost|volume_up_opm_down|delivery_pause_or_operation_disruption,unit_price|labor|opm|operation,false,false,"CJ Logistics-style repeat contract can become Green-capable only after unit price, OPM/FCF, automation, and labor costs confirm."
LOGISTICS_LABOR_REGULATION_OVERLAY,MOBILITY_TRANSPORT_LEISURE,LOGISTICS_LABOR_REGULATION_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,parcel_volume_growth|delivery_competition,labor_policy_change|delivery_operation_pause,not_green_if_labor_cost_spikes,volume_growth_ignores_labor_cost,labor_regulation_cost|delivery_pause|courier_regulation|unit_cost_spike,,labor_regulation_cost|delivery_pause|courier_regulation|unit_cost_spike,labor|regulation|unit_cost|operation,true,false,Logistics volume is capped when labor/regulation cost can erase OPM.
CASINO_DUTYFREE_TOURISM_POLICY_KOREA,MOBILITY_TRANSPORT_LEISURE,CASINO_DUTYFREE_TOURISM_POLICY_KOREA,WATCH_YELLOW_FIRST,14,18,18,14,12,14,10,china_group_visa_free|casino_dutyfree_hotel_basket_rally|tourism_policy,visa_free_execution|payment_options|cruise_or_group_tour_preparation|visitor_arrivals,average_spend|dutyfree_sales|casino_drop_amount|hold_rate|revpar|opm_fcf,policy_news_basket_rally|tourism_policy_priced_before_spend,return_visitor_weak|low_spend_tourist_mix|policy_end|tourist_safety_concern|casino_drop_weak,average_spend|dutyfree_sales|casino_drop_amount|hold_rate|revpar|opm_fcf,return_visitor_weak|low_spend_tourist_mix|policy_end|tourist_safety_concern|casino_drop_weak,spend_missing|drop_missing|return_visitor|policy_event,false,false,"Tourism policy can move prices, but Green waits for spend, drop, RevPAR, and OPM/FCF."
CASINO_RETURN_VISITOR_UNIT_ECONOMICS,MOBILITY_TRANSPORT_LEISURE,CASINO_RETURN_VISITOR_UNIT_ECONOMICS,GREEN_POSSIBLE,20,18,22,12,10,12,6,foreigner_only_casino|jeju_casino|tourist_recovery,visitor_arrivals|casino_revenue|hotel_occupancy|payment_option,casino_drop_amount|hold_rate|return_visitor_rate|average_spend|revpar|opm_fcf,casino_policy_rally_before_drop,return_visitor_weak|drop_amount_weak|hold_rate_weak|debt_or_capex_burden|low_spend_mix,casino_drop_amount|hold_rate|return_visitor_rate|average_spend|revpar|opm_fcf,return_visitor_weak|drop_amount_weak|hold_rate_weak|debt_or_capex_burden|low_spend_mix,drop|hold|return_visitor|debt,false,false,Casino evidence can be Green-capable only when return visitors and unit economics confirm.
AIRLINE_SAFETY_REGULATORY_OVERLAY,MOBILITY_TRANSPORT_LEISURE,AIRLINE_SAFETY_REGULATORY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,lcc_recovery|international_route_recovery,load_factor_recovery|cost_normalization,not_green_if_safety_accident_or_inspection,travel_recovery_ignores_safety,fatal_accident|safety_inspection|travel_cancellation|consumer_trust_damage|operating_restriction,,fatal_accident|safety_inspection|travel_cancellation|consumer_trust_damage|operating_restriction,safety|inspection|trust|cancellation,true,false,Airline safety accidents and inspections are hard 4C gates.
