case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
lg_energy_solution_ess_shift_case,BATTERY_RECYCLING_ESS_SHIFT,373220,LG에너지솔루션 ESS 전환,KR,success_candidate,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,2025-07-25,,,,ess_shift|lfp_ess_capacity_expansion|q2_op_profit|ev_slowdown_offset_candidate,ev_demand_slowdown|tariff_policy_risk|event_day_price_decline,evidence_good_but_price_failed_or_delayed,needs_price_backfill,false,"ESS shift is positive, but the market initially focused on EV demand and policy risk."
gm_lg_ultium_ohio_ev_slowdown_case,BATTERY_MATERIALS_CAPEX_OVERHEAT,GM_LG_ULTIUM_REF,GM-LG Ultium Ohio EV slowdown,US,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,,,,2026-05-12,ev_battery_capa|plant_restart_uncertain|ess_shift_candidate,ev_demand_slowdown|plant_idle|layoff|capacity_underutilization,ev_demand_4c_plus_ess_watch,needs_price_backfill,false,EV CAPA expansion thesis breaks when plant restart and utilization become uncertain.
hyundai_hydrogen_fuel_cell_plant_case,HYDROGEN_FUEL_CELL_INFRA,005380,현대차 수소연료전지 울산 공장,KR,success_candidate,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,2025-10-30,,,,hydrogen_fuel_cell_factory|capex_amount|production_capacity|electrolyzer_plan,customer_absent|subsidy_dependency|low_utilization,stage1_to_stage2_success_candidate,needs_price_backfill,false,"Actual CAPEX is stronger than policy talk, but customer, utilization, and OP conversion are still required."
eqt_kj_environment_waste_platform_case,WASTE_RECYCLING_ENVIRONMENT,KJ_ENV_REF,EQT-KJ Environment 폐기물 플랫폼,KR,structural_success,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,2024-08-16,,,,waste_treatment_platform|permit_asset|recycling_operation|waste_to_energy|mna_value_support,utilization_drop|capex_burden,structural_success_reference,missing_public_price_data,false,"Waste treatment can be infrastructure-like when permits, treatment assets, and recurring FCF are visible."
eu_ets_cbam_policy_case,CARBON_CREDIT_CBAM_COMPLIANCE,EU_ETS_CBAM_REF,EU ETS / CBAM compliance watch,EU,event_premium,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,2026-05-12,,,,eu_ets_policy|cbam_compliance|carbon_accounting_demand,policy_delay|carbon_price_volatility|greenwashing_risk,policy_structural_watch,missing_direct_symbol_mapping,false,"Policy matters, but Green needs recurring compliance revenue or low-carbon product premium."
qcells_customs_detention_case,SOLAR_TARIFF_SUPPLYCHAIN,QCELLS_REF,Qcells 통관 억류,US,4c_thesis_break,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,,,,2025-11-08,solar_us_factory|subsidy_policy,customs_detention|uflpa_detention|worker_furlough|production_disruption,solar_supply_chain_4c,missing_public_price_data,false,"Solar policy benefit can break through customs detention, forced-labor compliance, and production disruption."
qcells_china_linked_solar_policy_case,SOLAR_TARIFF_SUPPLYCHAIN,QCELLS_POLICY_REF,중국계 태양광 규제 리스크,US,4c_thesis_break,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,,,,2026-05-08,solar_factory|us_solar_manufacturing_policy,china_linked_policy_risk|financing_stall|customer_counterparty_risk,solar_policy_supply_chain_risk,missing_public_price_data,false,Solar policy support and ownership/supply-chain regulation can move in opposite directions.
orsted_sunrise_wind_impairment_case,RENEWABLE_ENERGY_POLICY,ORSTED.CO,Ørsted Sunrise Wind impairment,EU,4c_thesis_break,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,,,,2025-01-20,offshore_wind_project|renewable_policy,impairment|project_delay|cost_overrun|financing_cost,wind_project_4c,needs_price_backfill,false,"Renewable projects can break when rates, foundations, cost inflation, and schedule delays overwhelm policy support."
lithium_price_86pct_crash_case,BATTERY_MATERIALS_CAPEX_OVERHEAT,LITHIUM_CYCLE_REF,리튬 가격 86% 급락,GLOBAL,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,,,,2025-01-13,lithium_price_cycle|mine_shutdown,lithium_price_crash|raw_material_price_drop|mine_restart_cap|revenue_drop,lithium_cycle_4c,missing_price_data,false,"Lithium price rebounds are not structural unless cost curve, offtake, FCF, and CAPEX discipline are proven."
albemarle_cost_cut_low_lithium_case,BATTERY_MATERIALS_CAPEX_OVERHEAT,ALB,Albemarle 저리튬 가격 비용절감,US,cyclical_success,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,2025-02-12,,,,cost_cut|quarterly_profit|capex_cut|low_lithium_price_survival,lithium_price_drop|revenue_drop|capex_cut,cost_cut_survival_not_structural_green,needs_price_backfill,false,"Cost cuts can stabilize results, but low lithium price survival is cyclical until durable FCF is proven."
