target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,contract_customer_utilization_visibility,capa_line_conversion,policy_subsidy_quality,early_price_validation,safety_regulatory_quality_disclosure,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,BATTERY_EV_GREEN,EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,WATCH_YELLOW_FIRST,24,22,14,10,10,12,8,ev_slowdown|ess_battery|data_center_power|ira_ampc,ess_production_expansion|investment_delay|line_redeployment|quarterly_profit_improvement,ess_revenue_growth|profit_ex_subsidy_improves|utilization_recovery|fcf_improvement|customer_diversification,ess_keyword_rally_before_ex_subsidy_profit|policy_credit_priced_as_core_profit,ev_slowdown_persists|subsidy_dependency|contract_cancellation|plant_ramp_delay,profit_ex_subsidy_improves|utilization_recovery|fcf_improvement|customer_diversification,profit_ex_subsidy_weak|utilization_missing|ev_slowdown|contract_cancellation,subsidy_quality|utilization|ess_pivot_to_fcf,false,false,"ESS pivot is Stage 2 evidence, not Green before ex-subsidy OPM, utilization, FCF, and customer diversification."
BATTERY_CONTRACT_CANCELLATION_4C,BATTERY_EV_GREEN,BATTERY_CONTRACT_CANCELLATION_4C,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,battery_supply_contract|ev_customer_demand|long_term_contract,contract_cancellation_identified|customer_strategy_shift,not_green_until_customer_strategy_and_utilization_recovered,battery_contract_value_priced_without_customer_strategy_risk,contract_cancelled|expected_revenue_loss|customer_ev_model_cancelled|utilization_ramp_delay,customer_strategy_stable|replacement_customer|utilization_recovered,contract_cancelled|customer_strategy_risk|revenue_loss|expected_revenue_loss,contract_cancellation|customer_strategy_reversal|utilization_risk,true,false,"Large battery contract cancellations are hard 4C until replacement demand, utilization, and revenue recovery are proven."
BATTERY_TAX_CREDIT_QUALITY_OVERLAY,BATTERY_EV_GREEN,BATTERY_TAX_CREDIT_QUALITY_OVERLAY,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,ira_ampc|tax_credit_profit|reported_op_improvement,profit_ex_subsidy_disclosed|subsidy_dependence_measured,not_green_until_profit_ex_subsidy_or_fcf_improves,tax_credit_drives_price_before_core_margin,profit_ex_subsidy_weak|subsidy_policy_change|core_opm_missing,profit_ex_subsidy_improves|fcf_improvement|policy_risk_low,profit_ex_subsidy_weak|policy_dependency|core_margin_missing,subsidy_quality|core_margin,false,false,Reported profit quality is capped when ex-subsidy profit and FCF are weak.
SEPARATOR_EV_DEMAND_CYCLE,BATTERY_EV_GREEN,SEPARATOR_EV_DEMAND_CYCLE,REDTEAM_FIRST,18,14,10,8,8,12,8,separator|ev_battery_material|sk_on_volume,customer_shipment|capa|utilization_signal,utilization_recovery|opm_improvement|customer_diversification|fcf_signal,separator_keyword_rally_ignores_ev_slowdown,sale_review|ev_demand_slowdown|parent_loss|utilization_risk,utilization_recovery|opm_improvement|customer_diversification,sale_review|ev_slowdown|parent_loss|utilization_missing,ev_demand_cycle|utilization|parent_restructuring,false,false,"Separator strategic value is capped when EV demand slowdown, parent losses, or sale review break utilization visibility."
COPPER_FOIL_EV_DEMAND_CYCLE,BATTERY_EV_GREEN,COPPER_FOIL_EV_DEMAND_CYCLE,REDTEAM_FIRST,18,15,10,8,8,10,8,copper_foil|ev_battery_material|customer_capa,customer_contract|utilization_signal|spread_or_asp_signal,utilization_recovery|opm_improvement|customer_diversification|fcf_signal,copper_foil_theme_rally_without_utilization,ev_slowdown|utilization_missing|asp_pressure|customer_concentration,customer_contract|utilization_recovery|opm_improvement,ev_slowdown|utilization_missing|opm_missing,ev_demand_cycle|utilization_gate,false,false,"Copper foil remains Watch/Red until customers, utilization, ASP/spread, and OPM improve."
ELECTROLYTE_CAPA_SUPPLYCHAIN,BATTERY_EV_GREEN,ELECTROLYTE_CAPA_SUPPLYCHAIN,WATCH_YELLOW_FIRST,20,17,12,8,8,10,8,electrolyte|battery_chemicals|capa_expansion,customer_contract|production_start|capa_visibility,opm_improvement|utilization_recovery|customer_diversification|fcf_signal,electrolyte_capa_keyword_rally,customer_missing|opm_missing|utilization_missing|raw_material_cost,customer_contract|opm_improvement|utilization_recovery,customer_missing|opm_missing|capa_before_demand,capa_to_margin|customer_contract,false,false,"Electrolyte CAPA is Stage 1/2 evidence until customer, utilization, OPM, and FCF are visible."
BATTERY_EQUIPMENT_CAPEX_CYCLE,BATTERY_EV_GREEN,BATTERY_EQUIPMENT_CAPEX_CYCLE,WATCH_YELLOW_FIRST,21,19,12,8,10,10,8,battery_equipment|cell_equipment|customer_capex,equipment_order|customer_name|shipment_schedule|capex_plan,shipment_revenue|op_eps_revision|repeat_order|margin_visible,equipment_order_priced_before_delivery,customer_capex_delay|order_pushout|ev_demand_slowdown|op_eps_missing,equipment_order|shipment_revenue|op_eps_revision|repeat_order,capex_delay|order_pushout|shipment_missing,customer_capex_cycle|order_to_revenue,false,false,"Battery equipment can be Stage 2~3 only when customer CAPEX becomes orders, shipment revenue, OP/EPS, and repeat demand."
BATTERY_RECYCLING_UNIT_ECONOMICS,BATTERY_EV_GREEN,BATTERY_RECYCLING_UNIT_ECONOMICS,WATCH_YELLOW_FIRST,19,16,10,8,8,10,8,battery_recycling|black_mass|metal_recovery|closed_loop,collection_volume|customer_contract|metal_price_context,unit_economics_positive|recovery_volume|opm_improvement|fcf_signal,recycling_theme_rally_without_unit_economics,metal_price_decline|collection_volume_missing|margin_missing|policy_only,unit_economics_positive|volume_visible|opm_improvement,unit_economics_missing|metal_price_risk|volume_missing,unit_economics|recovery_volume,false,false,"Battery recycling needs recovery volume, metal-price sensitivity, margin, and FCF before Stage 3."
SODIUM_ION_NEXTGEN_MATERIALS,BATTERY_EV_GREEN,SODIUM_ION_NEXTGEN_MATERIALS,WATCH_YELLOW_FIRST,18,16,10,10,8,10,8,sodium_ion|nextgen_battery|low_cost_ess|low_speed_ev,strategic_development_partner|target_market_defined|commercialization_timeline,commercial_customer|material_supply_contract|mass_production_revenue|opm_fcf_visible,sodium_ion_keyword_rally_without_revenue,commercial_customer_missing|revenue_missing|cost_advantage_unproven|technology_substitution_risk,commercial_customer|supply_contract|mass_production_revenue|cost_advantage,commercial_customer_missing|revenue_missing|cost_advantage_unproven,commercialization_gate|nextgen_material,false,false,"Sodium-ion is Stage 2 option evidence before commercial customers, supply contracts, revenue, OPM, and FCF."
HYDROGEN_FUEL_CELL_INFRA_KOREA,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA_KOREA,WATCH_YELLOW_FIRST,21,18,12,10,10,10,8,hydrogen_fuel_cell|sofc|ai_data_center_power|electrolyzer,mass_production|factory_capacity_mw|sales_plan|hydrogen_capa_investment,revenue_recognition|repeat_service|opm_fcf_improvement|data_center_customer,hydrogen_ai_power_keyword_rally,customer_missing|profitability_missing|subsidy_dependence|infrastructure_gap,revenue_recognition|repeat_service|opm_fcf_improvement|customer_visible,customer_missing|opm_missing|subsidy_dependence,fuel_cell_sales_to_margin|ai_data_center_power,false,false,"Hydrogen/fuel-cell Stage 2 evidence becomes Stage 3 only with sales, customers, recurring service, OPM, and FCF."
