field,required_for_round165_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
contract_value,true
contract_duration,true
contract_duration_months,true
customer_name,true
facility_location,true
us_manufacturing_site_flag,true
tariff_hedge_flag,true
technology_transfer_flag,true
capacity_liters,true
capacity_utilization,true
adc_capability_flag,true
cell_gene_capability_flag,true
us_operating_cost,true
capex_amount,true
backlog_growth,true
customer_concentration,true
op_margin_change,true
fcf_margin,true
prescription_volume,true
weekly_scripts,true
prescriber_count,true
new_prescriber_ratio,true
insurance_coverage,true
pbm_listing_flag,true
pbm_coverage_flag,true
zero_copay_flag,true
formulary_preferred_flag,true
biosimilar_discount_pct,true
biosimilar_approval_flag,true
interchangeable_flag,true
biosimilar_prescription_volume,true
price_discount_pct,true
margin_compression_flag,true
prescription_conversion_rate,true
drug_price_change,true
price_war_flag,true
monthly_price,true
gross_to_net_discount,true
gross_to_net_visible_flag,true
refill_rate,true
script_growth_rate,true
generic_competition_flag,true
telehealth_channel_flag,true
coverage_gap_flag,true
pbm_exclusion_flag,true
patent_litigation_flag,true
launch_delay_flag,true
compounded_alternative_flag,true
oral_glp1_flag,true
maintenance_therapy_flag,true
injection_to_pill_switch_flag,true
self_pay_price,true
boxed_warning_flag,true
real_world_adherence_signal,true
compounded_drug_flag,true
fda_crackdown_flag,true
doj_referral_flag,true
unapproved_copycat_flag,true
branded_drug_attach_rate,true
legal_settlement_flag,true
legal_cost,true
restructuring_cost,true
revenue_recognition_issue_flag,true
launch_date,true
commercial_revenue,true
clinical_trial_phase,true
approval_status,true
milestone_payment,true
big_pharma_partner,true
pipeline_count,true
ai_platform_flag,true
approved_drug_count,true
patient_uptake,true
reimbursement_status,true
cash_runway_months,true
cash_runway_years,true
going_concern_flag,true
dilution_or_take_private_flag,true
dilution_flag,true
take_private_flag,true
discounted_take_private_flag,true
hospital_adoption_count,true
reimbursement_code_flag,true
paid_workflow_flag,true
recurring_revenue_ratio,true
ai_model_auc,true
external_validation_flag,true
workflow_integration_flag,true
subgroup_performance_risk,true
dataset_bias_flag,true
dense_tissue_underperformance_flag,true
calcification_underperformance_flag,true
liability_risk_flag,true
device_export_country_count,true
installed_base,true
surgical_robot_installed_base,true
system_placement_count,true
system_placements,true
procedure_volume,true
procedure_growth,true
procedure_growth_rate,true
instruments_accessories_revenue,true
consumable_revenue_ratio,true
hospital_capex_cycle_flag,true
hospital_capex_risk,true
procedure_mix_risk,true
procedure_mix_risk_flag,true
procedure_mix_shift_flag,true
bariatric_slowdown_flag,true
glp1_bariatric_slowdown_flag,true
vbp_price_control_flag,true
asp_change,true
asp_drop_flag,true
fda_warning_flag,true
licensed_channel_flag,true
counterfeit_safety_flag,true
unapproved_product_flag,true
fda_ftc_scrutiny_flag,true
compounded_quality_issue_flag,true
doj_referral_risk_flag,true
advertising_cost_change,true
cac,true
churn,true
privacy_incident_flag,true
impairment_charge,true
forecast_withdrawal_flag,true
opendart_rcept_no,true
opendart_detail_fetched_flag,true
disclosure_confidence_score,true
detail_parser_confidence,true
disclosure_signal_class,true
routine_disclosure_flag,true
risk_disclosure_flag,true
high_signal_disclosure_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
