field,required_for_round53_backfill
case_id,true
symbol,true
company_name,true
market,true
primary_sector_round,true
primary_archetype,true
secondary_archetypes,true
case_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_evidence_type,true
stage2_evidence_type,true
stage3_evidence_type,true
stage4b_evidence_type,true
stage4c_evidence_type,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
mfe_5d,true
mfe_20d,true
mfe_30d,true
mfe_60d,true
mfe_90d,true
mfe_180d,true
mfe_1y,true
mfe_2y,true
mae_5d,true
mae_20d,true
mae_30d,true
mae_60d,true
mae_90d,true
mae_180d,true
mae_1y,true
drawdown_after_peak,true
below_stage1_price_flag,true
below_stage2_price_flag,true
below_stage3_price_flag,true
revenue_revision_1q,true
op_revision_1q,true
eps_revision_1q,true
fcf_revision_1q,true
revenue_revision_1y,true
op_revision_1y,true
eps_revision_1y,true
fcf_revision_1y,true
gross_margin_change,true
op_margin_change,true
per_before,true
per_after,true
pbr_before,true
pbr_after,true
ev_ebitda_before,true
ev_ebitda_after,true
contract_value,true
contract_duration,true
contract_amount_to_sales,true
backlog_to_sales,true
capacity_utilization,true
customer_concentration,true
debt_to_ebitda,true
net_debt,true
interest_expense,true
cash_runway,true
refinancing_need,true
dividend_cut,true
buyback_cancelled,true
auditor_resignation_flag,true
filing_delay_flag,true
internal_control_issue_flag,true
regulatory_probe_flag,true
related_party_flag,true
security_outage_flag,true
privacy_breach_flag,true
customer_lawsuit_flag,true
operational_trust_break_flag,true
depeg_event_flag,true
reserve_failure_flag,true
convertibility_failure_flag,true
event_premium_flag,true
cycle_success_flag,true
price_only_flag,true
crowded_4b_flag,true
hard_4c_flag,true
score_before_redteam,true
score_after_redteam,true
stage_before_redteam,true
stage_after_redteam,true
score_price_alignment,true
price_validation_status,true
review_notes,true
