case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
bavarian_nordic_us_stockpile_contract_case,GOVERNMENT_STOCKPILE_REVENUE_GUIDANCE,BAVA.CO,Bavarian Nordic U.S. stockpile contract,EU,success_candidate,GOVERNMENT_STOCKPILE_REVENUE_GUIDANCE,WATCH_YELLOW_FIRST,2026-05-11,2026-05-11,,,,government_order_flag|stockpile_contract_flag|contract_value|guidance_raised_flag|ebitda_margin_guidance_change|vaccine_stockpile_flag,one_off_outbreak|government_purchase_end|demand_normalization,government_stockpile_contract_guidance_aligned_candidate,needs_price_backfill,false,A stockpile option and guidance raise can support Stage 2; recurrence and non-event revenue still decide higher stages.
moderna_cepi_bird_flu_funding_case,PUBLIC_HEALTH_PROCUREMENT_REVERSAL,MRNA,Moderna CEPI bird-flu vaccine funding,US,success_candidate,PUBLIC_HEALTH_PROCUREMENT_REVERSAL,REDTEAM_FIRST,2025-12-18,2025-12-18,,,,public_procurement_agency|funding_amount|late_stage_trial_funding_flag|vaccine_stockpile_flag|public_health_procurement_flag,procurement_uncertainty|government_funding_cancelled_flag|clinical_development_delay_flag,public_health_procurement_funding_stage2,needs_price_backfill,false,"CEPI funding can support a Stage 2 research route, but it is not durable revenue until procurement and commercialization are proven."
moderna_barda_contract_cancel_case,PUBLIC_HEALTH_PROCUREMENT_REVERSAL,MRNA,Moderna BARDA bird-flu contract cancellation,US,4c_thesis_break,PUBLIC_HEALTH_PROCUREMENT_REVERSAL,REDTEAM_FIRST,2025-05-29,,,,2025-05-29,government_funding_cancelled_flag|funding_withdrawal_amount|public_procurement_agency|procurement_reversal_flag,government_contract_cancelled|funding_withdrawal|late_stage_trial_funding_gap|policy_reversal,procurement_reversal_4c,needs_price_backfill,false,A government contract cancellation is the counterexample to assuming public-health funding persists just because disease risk exists.
bavarian_nordic_2024_mpox_order_case,EVENT_DISEASE_PEST_DEMAND,BAVA.CO,Bavarian Nordic 2024 mpox vaccine order,EU,event_premium,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,2024-08-15,,,2024-08-16,,who_emergency|vaccine_order_doses|outbreak_alert|vaccine_theme_rally,one_off_outbreak|purchase_unverified|demand_normalization,event_premium_with_contract_validation_needed,needs_price_backfill,false,"A vaccine order can validate part of the event, but the case remains event premium until recurring demand is clear."
ukraine_telecom_ebrd_ifc_case,REAL_RECONSTRUCTION_FINANCING,UKRAINE_TELECOM_RECOVERY,Ukraine telecom EBRD IFC financing,GLOBAL,success_candidate,REAL_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,2024-10-10,2024-10-10,,,,ebrd_ifc_financing|project_financing|financing_amount|guarantee_structure|operating_company|infrastructure_asset,war_escalation|financing_delay|insurance_delay,funded_geopolitical_infra_candidate,needs_price_backfill,false,Financing is better than a reconstruction slogan; company-level revenue and margin evidence still need validation.
ukraine_ebrd_power_port_concession_case,CRITICAL_INFRA_RECONSTRUCTION_FINANCING,UKRAINE_CRITICAL_INFRA_RECOVERY,Ukraine EBRD power and port concession financing,GLOBAL,success_candidate,CRITICAL_INFRA_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,2026-05-15,2026-05-15,,,,critical_infra_flag|project_financing|financing_amount|port_concession_flag|transformer_shelter_flag|renewable_capacity_mw|guarantee_structure,war_escalation|insurance_absent|guarantee_failure|project_delay,critical_infra_financing_aligned_candidate,needs_price_backfill,false,"Critical-infrastructure financing is stronger than a reconstruction slogan, but listed-company revenue and margin proof remain required."
china_rare_earth_export_delay_case,STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,RARE_EARTH_EXPORT_CONTROL_BASKET,China rare-earth export approval delay,GLOBAL,success_candidate,STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,WATCH_YELLOW_FIRST,2026-05-15,2026-05-15,,2026-05-15,,export_control_flag|export_license_delay_flag|rare_earth_export_control_flag|yttrium_delay_flag|supply_chain_export_control_event_flag,export_control_relief_flag|truce_extension_flag|no_domestic_capacity|no_offtake_contract,supply_chain_export_control_stage1_2_reference,needs_price_backfill,false,"Rare-earth export controls can validate a macro bottleneck, but individual companies still need capacity, offtake, price-floor, revenue, and FCF proof."
china_rare_earth_partial_easing_4c_watch_case,STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,RARE_EARTH_EXPORT_CONTROL_BASKET,China rare-earth partial easing and approval recovery watch,GLOBAL,4b_watch,STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,WATCH_YELLOW_FIRST,2026-05-15,,,2026-05-15,2026-05-15,export_control_relief_flag|rare_earth_export_recovery_flag|export_approval_recovery_flag|truce_extension_flag|license_delay_still_present_flag,export_approval_recovery|truce_extension|price_spike_normalization|macro_bottleneck_unwind,export_control_easing_4c_watch,needs_price_backfill,false,Rare-earth export-control baskets need a 4C-watch overlay when approvals recover or diplomatic truce extensions can normalize the bottleneck.
heatwave_ac_grid_stress_case,CLIMATE_EVENT_TO_GRID_INFRA,HEATWAVE_GRID_BASKET,Heatwave air-conditioning grid stress,GLOBAL,success_candidate,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,2025-07-18,2025-07-18,,,,heatwave_event|cooling_demand|grid_stress|peak_load_increase_estimate|event_to_infra_crossover,seasonality|weather_normalization|no_sales_conversion,climate_event_to_grid_infra_watch,needs_price_backfill,false,"Heatwaves can route research to grid, cooling, ESS, HVAC, and transformers, but the weather event alone is not Green."
nyc_ac_battery_vpp_case,CLIMATE_EVENT_TO_GRID_INFRA,NYC_VPP_BATTERY_PROGRAM,NYC AC battery VPP demand-response program,US,success_candidate,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,2026-05-01,2026-05-01,,,,vpp_program|plug_in_battery_program|battery_program_capacity|battery_program_households|demand_response_program|grid_stress,policy_budget_delay|seasonal_demand_normalization|no_follow_on_contract,event_to_infra_crossover_candidate,needs_price_backfill,false,A VPP/battery program is stronger than a heatwave headline because it points to energy-system investment.
