case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hyundai_hybrid_valueup_case,AUTO_MOBILITY_COMPLETED_VEHICLE,005380,Hyundai Motor hybrid value-up,KR,success_candidate,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,2024-08-28,2024-08-28,,,,hybrid_sales_growth|op_margin_target|buyback_amount|dividend_policy_change|shareholder_return_ratio,tariff_event_flag|peak_margin|recall_flag,auto_valueup_aligned_candidate,needs_price_backfill,false,"Hyundai is a candidate because hybrid mix, OPM target, FCF, and shareholder return are linked."
hyundai_tariff_margin_cut_case,AUTO_MOBILITY_COMPLETED_VEHICLE,005380,Hyundai tariff margin cut and US localization,KR,4b_watch,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,,2025-09-18,,2025-09-18,,local_production_ratio|hybrid_ev_us_capacity|tariff_response,op_margin_cut_flag|tariff_cost_amount|local_production_capex|us_ramp_up_risk,auto_tariff_margin_watch,needs_price_backfill,false,"US localization may help long term, but tariff-driven OPM target cuts cap valuation rerating."
toyota_hybrid_parts_bottleneck_case,AUTO_MOBILITY_COMPONENTS,7203.T,Toyota hybrid parts bottleneck reference,JP,success_candidate,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,,2025-03-31,,2025-03-31,,hybrid_sales_growth|inverter_supply_constraint_flag|magnet_supply_constraint_flag|motor_supply_constraint_flag,customer_concentration|raw_material_cost_change|bottleneck_normalization,hybrid_component_bottleneck_reference,needs_price_backfill,false,"Hybrid parts can be Watch-to-Green only after real delivery, margin, and cost pass-through are confirmed."
korean_air_asiana_integration_case,AIRLINE_TRAVEL_CYCLE,003490,Korean Air Asiana integration,KR,cyclical_success,AIRLINE_TRAVEL_CYCLE,WATCH_YELLOW_FIRST,2024-12-12,2025-02-07,,2025-02-07,,asiana_integration_flag|record_revenue|operating_profit_growth|cargo_revenue_growth,jet_fuel_price|fx_rate_exposure|integration_cost|cargo_cycle|tariff_trade_uncertainty,airline_integration_cycle_watch,needs_price_backfill,false,"Airline integration can be Stage 1/2, but fuel, FX, cargo cycle, and integration cost keep Green restricted."
china_group_visa_tourism_case,CASINO_DUTYFREE_TOURISM,KR_TOURISM_POLICY,Korea China group visa tourism policy basket,KR,event_premium,CASINO_DUTYFREE_TOURISM,WATCH_YELLOW_FIRST,2025-09-29,,,2025-09-29,,visa_free_policy_flag|china_tourist_arrivals|tourism_policy_event,average_spend_unverified|casino_drop_amount_unverified|duty_free_asp_unverified|policy_event_only,tourism_policy_event_stage1,needs_price_backfill,false,"Visa-free tourism is Stage 1 until spend, drop amount, duty-free ASP, RevPAR, and OPM are visible."
ses_airline_connectivity_case,SATELLITE_CONNECTIVITY_INFRA,SESG.PA,SES airline connectivity backlog,EU,success_candidate,SATELLITE_CONNECTIVITY_INFRA,GREEN_POSSIBLE,,2026-05-12,,2026-05-12,,connectivity_revenue_growth|airline_contract_count|new_contracts_value|gross_backlog,capex_debt_ratio|launch_delay_flag|competitor_constellation|government_budget_delay,satellite_connectivity_aligned_candidate,needs_price_backfill,false,"SES is different from a space theme because revenue, airline contracts, and backlog are visible."
maersk_overcapacity_rate_collapse_case,SHIPPING_FREIGHT_CYCLE,MAERSK-B.CO,Maersk overcapacity freight-rate collapse,DK,4c_thesis_break,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,2024-03-14,,,2025-10-03,2025-10-03,freight_rate_index|container_rate|red_sea_disruption_flag,spot_rate_below_breakeven_flag|overcapacity_flag|fleet_capacity_growth|freight_rate_collapse,shipping_cyclical_success_or_4c,needs_price_backfill,false,Shipping freight spikes are cyclical unless contract rates and supply discipline persist.
maersk_suez_route_normalization_case,SHIPPING_FREIGHT_CYCLE,MAERSK-B.CO,Maersk Suez route normalization,DK,4b_watch,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,,,,2026-01-15,,red_sea_disruption_flag|suez_route_normalization_flag,red_sea_premium_normalization|freight_rate_premium_loss|route_normalization,red_sea_premium_normalization_4c_watch,needs_price_backfill,false,Red Sea route normalization can remove event-driven freight premium.
hertz_ev_rental_failure_case,RENTAL_USED_CAR_MOBILITY,HTZ,Hertz EV rental residual-value failure,US,4c_thesis_break,RENTAL_USED_CAR_MOBILITY,WATCH_YELLOW_FIRST,2024-01-11,,,,2024-01-11,ev_fleet_ratio|fleet_strategy,repair_cost_per_vehicle|used_car_residual_value|fleet_write_down|low_customer_demand,rental_ev_unit_economics_4c,needs_price_backfill,false,"EV fleet transition breaks if residual value, repair cost, insurance, and utilization do not work."
hertz_additional_ev_charge_case,RENTAL_USED_CAR_MOBILITY,HTZ,Hertz additional EV charge and stock drop,US,4c_thesis_break,RENTAL_USED_CAR_MOBILITY,WATCH_YELLOW_FIRST,2024-04-25,,,,2024-04-25,ev_fleet_ratio,vehicle_depreciation_charge|repair_cost_per_vehicle|residual_value_drop|fleet_write_down,rental_ev_additional_unit_economics_4c,needs_price_backfill,false,"Repeated EV fleet charges confirm that the issue is unit economics, not just headline EV demand."
