target_id,stage1,stage2,stage3,stage4b,stage4c,loop3_penalty_axes,gate_only,production_scoring_changed
BATTERY_MATERIALS_CAPEX_OVERHEAT,ev_growth_narrative|long_term_supply_contract|capa_expansion_news,real_contract|price_margin_improvement|op_eps_revision|line_utilization,long_term_contract|price_pass_through|fcf_after_capex|demand_visibility,per_pbr_overheat|capa_race|target_price_crowding,ev_demand_slowdown|raw_material_price_drop|capa_overbuild|customer_contract_cancelled|plant_idle,ev_demand_slowdown|capa_overbuild|contract_cancellation|mineral_price,false,false
BATTERY_EQUIPMENT_PARTS,battery_equipment_order|cell_customer_capex|delivery_schedule_keyword,customer_order|delivery_schedule|margin_visibility|revenue_conversion,order_to_revenue_conversion|customer_diversification|op_eps_revision,equipment_capex_cycle_crowded|cell_capex_peak,customer_capex_cut|delivery_delay|margin_miss|single_customer|ev_line_idle,customer_capex_cut|delivery_delay|ev_line_idle,false,false
BATTERY_RECYCLING_ESS_SHIFT,battery_recycling|second_life_battery|black_mass|recycling_policy,recycling_volume|metal_recovery_revenue|customer_contract|ess_use_case,recurring_recycling_fcf|second_life_revenue|soh_validation|customer_diversification,recycling_premium_overheat|critical_minerals_narrative_crowded,recycling_volume_shortfall|soh_validation_failure|metal_price_drop|second_life_margin_miss,recycling_volume|soh_validation|metal_price|contract_value_missing,false,false
ESS_LFP_GRID_STORAGE,ess_shift|lfp_ess_production|north_america_ess_demand|grid_storage,ess_customer_contract|ess_contract_value|ess_contract_duration|ess_contract_volume_gwh|production_factory,ess_revenue_growth|ess_opm|fcf_conversion|customer_diversification,ess_narrative_crowded|lfp_ess_related_rally,ess_margin_miss|lfp_competition|customer_demand_slowdown|subsidy_or_tariff_damage,ess_margin|lfp_competition|customer_concentration|subsidy,false,false
EV_INFRASTRUCTURE,charging_station|fast_charging|ev_infrastructure_policy,utilization|recurring_revenue|subsidy_visibility,profitable_utilization|repeat_revenue|subsidy_independent_margin,ev_charging_theme_crowded,low_utilization|subsidy_cut|fire_regulation|maintenance_cost,utilization|fire_regulation|subsidy_dependency,false,false
HYDROGEN_FUEL_CELL_INFRA,hydrogen_factory_groundbreaking|hydrogen_policy|electrolyzer_or_fuel_cell_capex,customer_or_demand_source|production_capacity|delivery_contract|plant_completion_date,utilization|op_eps_conversion|subsidy_independent_economics,hydrogen_theme_overheat,subsidy_cut|customer_absent|low_utilization|project_delay,customer_absent|utilization|subsidy_dependency|infrastructure_gap,false,false
SOLAR_TARIFF_SUPPLYCHAIN,solar_factory|us_factory|subsidy_policy,utilization|customer_contract|supply_chain_stable|op_turnaround,subsidy_independent_fcf|supply_chain_clean|margin_visible,solar_us_manufacturing_narrative_crowded|subsidy_premium,tariff_risk|customs_detention|uflpa_detention|feoc_risk|worker_furlough|component_delay,customs|tariff|uflpa|feoc|supply_chain_disruption,false,false
RENEWABLE_ENERGY_POLICY,wind_project|renewable_policy|ppa_or_project_news,permitted_project|funding_visible|cost_schedule_visible|construction_start,project_economics|op_eps_conversion|cost_controlled|repeat_project_backlog,renewable_policy_crowded|project_premium,impairment|project_delay|financing_cost_increase|foundation_cost|cost_overrun,rates|cost_overrun|permitting|impairment,false,false
WASTE_RECYCLING_ENVIRONMENT,waste_treatment_platform|permit_value|plastic_recycling|waste_to_energy,treatment_volume|long_term_contract|utilization|fcf_visible,permit_asset|recurring_fcf|valuation_frame_change|mna_value_support,waste_mna_premium_crowded|permit_value_fully_priced,utilization_drop|capex_burden|metal_price_drop|regulatory_cost,utilization|capex|metal_price|regulatory_cost,false,false
CARBON_CREDIT_CBAM_COMPLIANCE,eu_ets_or_cbam_policy|carbon_accounting|compliance_monitoring,carbon_accounting_revenue|verification_revenue|low_carbon_product_premium,recurring_compliance_revenue|cost_pass_through|industrial_customer_base,carbon_price_theme_crowded,carbon_price_drop|free_allowance_expansion|greenwashing_risk|policy_delay,policy_reform|carbon_price|greenwashing,false,false
DATA_CENTER_WATER_REUSE_INFRA,ai_datacenter_water_use|water_reuse|closed_loop_cooling|water_treatment,data_center_customer|reuse_project|contracted_revenue,repeat_water_reuse_revenue|margin_visible|local_permit_support,water_reuse_theme_crowded,customer_absent|local_opposition|unit_economics_weak|permitting_delay,customer_absent|local_opposition|economics,false,false
EV_FIRE_RISK_OVERLAY,ev_fire|battery_recall|insurance_cost|battery_certification,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,battery_fire|certification_requirement|battery_supplier_disclosure|recall|insurance_cost|parking_charging_regulation,fire|certification|recall|insurance,true,false
BATTERY_HEALTH_TRANSPARENCY_OVERLAY,soh_unreliable|battery_passport|second_life_validation|residual_capacity_uncertainty,transparency_risk_detected,not_applicable_gate_only,not_applicable_gate_only,soh_unreliable|residual_capacity_uncertainty|second_life_grading_cost|warranty_enforcement_risk,soh|second_life_validation|battery_passport|grading_cost,true,false
LITHIUM_CYCLE_OVERLAY,lithium_price_rebound|mine_shutdown|ess_lithium_demand,ess_demand_outlook_improves|cost_curve_support|inventory_absorption,low_cost_structure|long_term_offtake|fcf_defense|capex_discipline,lithium_rebound_crowded|mine_restart_ignored|sodium_ion_ignored,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|capex_cut,price_crash|mine_restart|sodium_ion|ev_demand_slowdown,false,false
