field,required_for_round54_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
contract_value,true
contract_value_to_sales,true
contract_duration_months,true
contract_start_date,true
contract_end_date,true
counterparty,true
delivery_schedule,true
backlog_growth,true
backlog_to_revenue,true
new_order_growth,true
book_to_bill,true
gross_margin_change,true
op_margin_change,true
eps_revision_1q,true
eps_revision_1y,true
op_revision_1q,true
op_revision_1y,true
capex_amount,true
dilution_flag,true
share_issuance_amount,true
use_of_proceeds_clarity,true
regulator_revision_request_flag,true
project_delay_flag,true
data_center_delay_flag,true
local_opposition_flag,true
grid_interconnection_delay_flag,true
financing_secured_flag,true
ship_newbuilding_price_index,true
low_margin_backlog_flag,true
steel_plate_cost_change,true
labor_cost_change,true
naval_mro_contract_flag,true
block_sale_overhang_flag,true
nuclear_ppa_flag,true
smr_flag,true
cost_overrun_flag,true
licensing_risk_flag,true
customer_subscription_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
