target_id,large_sector,canonical_archetype,posture,roe_eps_fcf_durability,capital_return_execution,capital_ratio_credit_cost_stability,digital_finance_revenue_model_visibility,early_price_validation,security_privacy_policy_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
INSURANCE_NAV_VALUEUP_SAMSUNG_ELECTRONICS_STAKE,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_NAV_VALUEUP_SAMSUNG_ELECTRONICS_STAKE,WATCH_YELLOW_FIRST,18,14,22,0,10,18,18,samsung_electronics_stake|insurance_nav_discount|valueup_tailwind|book_value_discount,major_equity_stake_value|nav_discount|k_ics_or_csm_check|shareholder_return_policy,roe_or_net_profit_improves_yoy|k_ics_csm_stable|nav_discount_closes_with_return_execution|pbr_band_rises_from_history,samsung_electronics_stake_priced_before_insurance_execution,k_ics_deteriorates|csm_weakens|return_execution_missing|samsung_electronics_price_only_linkage,k_ics_csm_stable|return_execution|roe_profit_improvement|nav_discount_narrows,k_ics_csm_missing|return_execution_missing|nav_is_price_only,insurance_nav|capital_ratio|return_execution,false,false,"Insurance NAV optionality is Stage 2 evidence; Stage 3 waits for K-ICS/CSM, ROE/profit, and actual return execution."
SHAREHOLDER_RETURN_COMPOUNDING_FINANCIAL_HOLDCO,FINANCIAL_CAPITAL_DIGITAL,SHAREHOLDER_RETURN_COMPOUNDING_FINANCIAL_HOLDCO,GREEN_POSSIBLE,24,24,18,0,10,10,14,financial_holdco_valueup|buyback_cancel_policy|roe_improvement|total_shareholder_return,repeat_buyback_cancel|dividend_expansion|capital_ratio_stable|credit_cost_stable,roe_compounds|actual_return_execution_repeats|eps_accretion_from_buyback|pbr_band_rerates_with_profit,return_story_crowded_before_roe,credit_cost_spike|capital_ratio_pressure|return_cut|securities_cycle_loss,repeat_buyback_cancel|roe_profit_improvement|capital_ratio_stable|credit_cost_stable,credit_cost_unconfirmed|capital_ratio_unconfirmed|return_detail_missing,capital_return|roe|credit_cost,false,false,Meritz-style financial holdco compounding can be Green-eligible only with repeated return execution and capital/credit stability.
DIGITAL_ASSET_BANK_EQUITY_OPTION,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_BANK_EQUITY_OPTION,WATCH_YELLOW_FIRST,16,8,14,24,10,20,8,bank_digital_asset_stake|dunamu_or_upbit_keyword|blockchain_remittance|digital_asset_policy,stake_value_disclosed|equity_method_income_check|regulatory_approval|exchange_volume_or_fee_revenue,equity_method_income_confirmed|regulated_revenue_model|capital_ratio_stable|security_trust_intact,dunamu_keyword_doubles_price_before_income,exchange_security_incident|regulatory_sanction|equity_method_income_missing|crypto_volume_reversal,equity_method_income|regulated_revenue_model|security_trust_intact,regulatory_approval_pending|exchange_security_risk|equity_method_income_missing,digital_asset_stake|equity_method_income|security,false,false,"A bank's digital-asset stake is Stage 2 optionality before equity-method income, regulation, and security evidence are verified."
KRW_STABLECOIN_POLICY_THEME,FINANCIAL_CAPITAL_DIGITAL,KRW_STABLECOIN_POLICY_THEME,REDTEAM_FIRST,8,4,10,24,12,30,12,won_stablecoin_policy|stablecoin_related_stock_rally|bok_pilot|issuer_keyword,regulatory_framework_draft|issuer_candidate|payment_or_reserve_model_check,not_green_until_issuance_volume_reserve_income_take_rate_and_regulation_are_verified,stablecoin_theme_doubles_price_before_revenue|policy_framework_unclear|issuer_economics_missing,stablecoin_regulation_damages_margin|reserve_rule_blocks_income|issuer_capital_requirement|price_only_rally,stablecoin_issuance_volume|reserve_income|take_rate|regulatory_clarity,issuer_economics_missing|regulatory_framework_unclear|price_only_rally,stablecoin_policy|issuer_economics|4b_watch,false,false,"Won stablecoin policy can route research, but it is a 4B-watch theme until issuance, reserve income, take-rate, and regulation are real."
PAYMENT_BIOMETRIC_INFRASTRUCTURE,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_BIOMETRIC_INFRASTRUCTURE,WATCH_YELLOW_FIRST,14,8,12,26,10,24,6,facepay_headline|biometric_payment|merchant_count|user_count,approved_service|user_merchant_scale|take_rate_check|listed_stock_link_check,take_rate_confirmed|transaction_volume|issuer_economics_visible|privacy_controls_verified,facepay_headline_priced_before_revenue,biometric_privacy_issue|take_rate_missing|issuer_economics_missing|listed_stock_direct_link_missing,take_rate|transaction_volume|privacy_control|listed_stock_revenue_link,take_rate_missing|biometric_privacy_risk|direct_revenue_link_missing,biometric_payment|take_rate|privacy,false,false,"FacePay scale is Stage 2 infrastructure evidence; Stage 3 waits for take-rate, transaction volume, privacy control, and listed-stock revenue linkage."
PAYMENT_PRIVACY_REGULATORY_4C,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_PRIVACY_REGULATORY_4C,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,payment_platform_scale|cross_border_data_transfer|privacy_fine|consent_issue,regulatory_response|governance_fix|platform_trust_check,not_green_until_privacy_issue_is_resolved_and_user_trust_is_intact,payment_platform_priced_before_privacy_resolution,customer_data_transfer_without_consent|privacy_fine|platform_trust_damage|regulatory_sanction,privacy_governance_resolved|regulator_cleared|trust_metrics_stable,privacy_fine|consent_issue|platform_trust_damage,privacy|regulation|trust,true,false,Payment privacy and consent issues are hard RedTeam gates for digital-finance rerating.
CREDIT_INFORMATION_RECURRING_DATA,FINANCIAL_CAPITAL_DIGITAL,CREDIT_INFORMATION_RECURRING_DATA,WATCH_YELLOW_FIRST,20,8,12,24,8,20,8,credit_information_service|rating_data|authentication|financial_customer_base,recurring_data_revenue|subscription_or_usage_fee|financial_it_budget|regulatory_data_protection,data_subscription_growth|opm_or_eps_improves|customer_retention|security_trust_intact,credit_data_story_priced_before_growth,data_protection_tightens|security_incident|financial_it_budget_cut|growth_rate_missing,recurring_data_revenue|opm_eps_improvement|customer_retention|security_trust_intact,security_incident_risk|growth_rate_missing|regulatory_data_protection,credit_data|recurring_revenue|security,false,false,Credit-information data can be Stage 2~3 when recurring revenue and OPM/EPS conversion are explicit.
SECURITIES_BROKERAGE_MARKET_BETA,FINANCIAL_CAPITAL_DIGITAL,SECURITIES_BROKERAGE_MARKET_BETA,WATCH_YELLOW_FIRST,18,8,12,8,12,30,12,kospi_rally|trading_value_spike|brokerage_fee_growth|brokerage_beta,trading_value_sustained|ib_pipeline_check|pf_loss_check|capital_ratio_check,not_green_until_brokerage_fee_ib_pipeline_credit_cost_and_capital_are_visible,market_beta_priced_before_earnings|financial_basket_crowded,trading_value_reverses|pf_ib_loss|tax_policy_shock|market_drawdown,sustained_fee_income|ib_pipeline_quality|capital_ratio_stable,market_beta_only|trading_value_cycle|pf_ib_loss_risk|tax_policy_risk,brokerage_beta|cyclical_cap,false,false,"Brokerage rallies can be cyclical successes, but market beta alone should not become structural Green."
BUYBACK_EXECUTION_PRICE_FAILED,FINANCIAL_CAPITAL_DIGITAL,BUYBACK_EXECUTION_PRICE_FAILED,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,buyback_cancel_headline|treasury_share_cancel|shareholder_return_policy,buyback_amount|cancelled_share_amount|eps_accretion_check|same_day_price_reaction,not_green_until_buyback_execution_aligns_with_roe_eps_fcf_and_price_validation,buyback_headline_priced_before_operating_improvement,same_day_price_drop|operating_concern_dominates|eps_roe_not_confirmed|market_expectation_priced,eps_accretion|roe_profit_improvement|positive_price_validation,price_failed|operating_concern_dominates|eps_roe_missing,buyback_execution|price_failure|operating_context,true,false,"Actual cancellation is useful evidence, but price failure and operating concern can cap the rerating."
POLICY_TAX_REVERSAL_MARKET_SHOCK,FINANCIAL_CAPITAL_DIGITAL,POLICY_TAX_REVERSAL_MARKET_SHOCK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,valueup_policy|tax_policy_change|financial_basket_rally|kospi_market_shock,tax_reversal_detected|basket_drawdown|policy_risk_repriced,not_green_until_policy_risk_clears_and_company_specific_roe_return_execution_remains_intact,valueup_basket_crowded_before_policy_detail,capital_gains_tax_threshold_lowered|dividend_tax_hike|transaction_tax_hike|kospi_market_shock,policy_risk_cleared|company_specific_execution_intact,tax_policy_shock|valueup_basket_crowding|policy_reversal,policy_tax|market_shock|valueup,true,false,Policy tax reversal can break financial value-up baskets even when company-level narratives look intact.
