field,required_for_round43_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage3_price_flag,true
ev_demand_indicator,true
ess_contract_value,true
capacity_utilization,true
capex_amount,true
capex_to_revenue,true
fcf_margin,true
op_margin_change,true
eps_revision_1q,true
eps_revision_1y,true
lithium_price_change,true
nickel_price_change,true
raw_material_price_change,true
solar_tariff_event,true
customs_detention_flag,true
subsidy_change_flag,true
plant_idle_flag,true
furlough_layoff_flag,true
project_impairment_flag,true
recycling_volume,true
metal_recovery_revenue,true
waste_treatment_volume,true
carbon_credit_price,true
cbam_exposure,true
score_price_alignment,true
price_validation_status,true
