target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
PLATFORM_SOFTWARE_INTERNET,portal_or_messenger_growth|commerce_platform_growth|ad_platform_recovery,arpu_growth|recurring_revenue|opm_improvement|governance_clean,platform_monetization|fcf_conversion|regulatory_risk_low,platform_multiple_crowded|user_count_story_overpriced,privacy_lawsuit|founder_legal_case|regulatory_investigation|trust_damage,false
CLOUD_AI_SOFTWARE_INFRA,cloud_erp_transition|b2b_saas_growth|ai_workflow_feature,arr_growth|recurring_revenue_ratio|customer_retention|opm_improvement,customer_lock_in|fcf_conversion|net_retention_rate|valuation_frame_shift,ai_saas_narrative_crowded|valuation_saturation,churn_spike|ai_compute_cost_surge|opm_decline|si_revenue_reversion,false
AI_SOFTWARE_APPLICATION,ai_application_launch|enterprise_ai_adoption|api_usage_growth,paid_customer_growth|api_revenue|workflow_integration|gross_margin_visibility,repeat_paid_usage|fcf_conversion|compute_cost_controlled,ai_app_narrative_crowded|valuation_before_margin_proof,compute_cost_spike|model_dependency|copyright_lawsuit|data_privacy_lawsuit,false
GENERATIVE_AI_IP_RISK,generative_ai_training_data|content_license|open_source_dependency,licensed_dataset|rights_cleared_revenue|enterprise_contract,rights_cleared_repeat_revenue|liability_risk_low,genai_ip_story_overheated,copyright_lawsuit|license_gap|privacy_lawsuit|opensource_supply_chain_risk,false
CONTACT_CENTER_AI_AUTOMATION,ccaas_ai_agent_assist|contact_center_automation|seat_expansion,enterprise_contract|seat_expansion|retention_rate|opm_improvement,workflow_embedded|low_churn|enterprise_retention|fcf_conversion,contact_center_ai_crowded,churn_spike|it_budget_cut|privacy_event|automation_roi_failure,false
SERVICE_KIOSK_SELF_CHECKOUT,kiosk_installation|self_checkout_rollout|unmanned_store_theme,maintenance_revenue|payment_fee_revenue|store_roi,recurring_maintenance|low_theft|customer_acceptance|fcf_visibility,kiosk_theme_crowded,theft_rate_up|customer_complaint|hardware_one_off|regulatory_restriction,false
GAME_CONTENT_IP,new_title_announcement|ip_expansion|user_growth|platform_growth,bookings_growth|sell_through|live_service_monetization|op_eps_revision,repeat_ip_portfolio|global_monetization|single_ip_risk_low,single_ip_valuation_crowded|launch_expectations_saturated,game_delay|bookings_cut|child_safety_regulation|user_growth_slowdown,false
MEDIA_AD_CONTENT_CYCLE,ad_market_recovery|ctv_growth|digital_ad_rebound,ad_revenue_growth|ad_arpu|opm_improvement,repeat_platform_ad_revenue|budget_resilience|hybrid_ad_subscription_model,adtech_valuation_crowded|growth_expectations_saturated,client_budget_cut|revenue_miss|privacy_lawsuit|scam_ad_regulation|ai_disintermediation,false
STREAMING_AD_PLATFORM,ad_tier_user_growth|streaming_ad_inventory|ctv_ad_platform,ad_tier_users|ad_revenue_growth|ad_arpu|own_ad_tech,subscription_ad_hybrid|arpu_expansion|privacy_risk_low|fcf_support,streaming_ad_multiple_crowded|ad_tier_growth_fully_priced,privacy_lawsuit|ad_arpu_saturation|ad_load_pressure|subscriber_churn,false
SECURITY_IDENTITY_DEEPFAKE,cybersecurity_demand|identity_threat|deepfake_regulation,arr_growth|customer_diversification|low_churn|opm_improvement,security_platform_lock_in|renewal_strength|operational_trust_intact,security_valuation_crowded|incident_risk_ignored,global_outage|customer_lawsuit|renewal_risk|trust_damage,false
METAVERSE_NFT_THEME,nft_metaverse_headline|virtual_asset_content|token_price_rally,platform_fee_revenue|repeat_transaction_volume|legal_revenue,repeat_platform_revenue|liquidity_stable|regulatory_risk_low,token_price_only_rally|nft_theme_crowded,no_recurring_revenue|liquidity_collapse|regulatory_risk|token_price_collapse,false
PLATFORM_GOVERNANCE_LEGAL_RISK,founder_legal_case|ma_governance_dispute|regulatory_probe,legal_overhang_resolved|governance_improvement|minority_shareholder_protection,trust_recovered|governance_risk_low|valuation_recovery_with_earnings,legal_resolution_event_premium,founder_arrest|stock_manipulation_case|regulatory_investigation|platform_trust_damage,false
