case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hd_hyundai_electric_transformer_stage3_4b_case,GRID_TRANSFORMER_SHORTAGE_KOREA,267260,HD현대일렉트릭,KR,structural_success,GRID_TRANSFORMER_SHORTAGE_KOREA,GREEN_POSSIBLE,2025-01-01,2026-03-01,2026-05-11,2026-05-11,,us_transformer_shortage|lead_time_four_years|transformer_price_up_80pct|alabama_second_factory|ehv_transformer_export|op_eps_fcf_revision_needed,valuation_crowding|capa_normalization|raw_material_cost|customer_project_delay,stage3_candidate_plus_4b_watch_needs_krx_backfill,needs_price_backfill,false,"K-transformer flagship case: the system must catch Stage 3 before crowded rerating, then apply 4B-watch when valuation room shrinks."
hyosung_hico_hvdc_stage25_case,GRID_US_LOCALIZATION_CAPA,298040,효성중공업,KR,success_candidate,GRID_US_LOCALIZATION_CAPA,WATCH_YELLOW_FIRST,2025-12-02,2025-12-02,,,,hyosung_hico_memphis|transformer_plant_expansion_157m_usd|hvdc_transformer|765kv_ehv_exposure|us_local_capa,margin_unknown|utilization_missing|local_capex_burden|disclosure_confidence_capped,stage2_5_us_localization_hvdc_needs_margin_revision,needs_price_backfill,false,"US localization and HVDC raise visibility, but Stage 3 waits for HICO utilization, margin, OP/EPS, and KRX price path."
doosan_czech_nuclear_preferred_bidder_case,NUCLEAR_EXPORT_PREFERRED_BIDDER,034020,두산에너빌리티,KR,success_candidate,NUCLEAR_EXPORT_PREFERRED_BIDDER,WATCH_YELLOW_FIRST,2024-07-17,2024-07-17,,2024-10-30,,khpn_czech_preferred_bidder|project_value_18_2b_usd|reactor_equipment_scope_expected|three_month_price_rally_48pct,preferred_bidder_only|scope_unknown|margin_unknown|legal_appeal,preferred_bidder_stage2_price_rally_not_green,needs_price_backfill,false,"Preferred bidder can move price, but Stage 3 waits for final contract, supplier scope, margin, and OP/EPS revision."
kepco_engineering_czech_nuclear_preferred_bidder_case,NUCLEAR_EXPORT_PREFERRED_BIDDER,052690,한전기술,KR,success_candidate,NUCLEAR_EXPORT_PREFERRED_BIDDER,WATCH_YELLOW_FIRST,2024-07-17,2024-07-17,,,,khpn_czech_preferred_bidder|engineering_scope_expected|three_month_price_rally_41pct,preferred_bidder_only|engineering_scope_unconfirmed|margin_unknown|legal_appeal,engineering_scope_stage2_not_green,needs_price_backfill,false,Engineering scope must be confirmed before preferred-bidder price action becomes Stage 3 evidence.
kepco_kps_czech_nuclear_preferred_bidder_case,NUCLEAR_EXPORT_PREFERRED_BIDDER,051600,한전KPS,KR,success_candidate,NUCLEAR_EXPORT_PREFERRED_BIDDER,WATCH_YELLOW_FIRST,2024-07-17,2024-07-17,,,,khpn_czech_preferred_bidder|maintenance_scope_expected|three_month_price_rally_14pct,preferred_bidder_only|maintenance_scope_unconfirmed|margin_unknown|legal_appeal,maintenance_scope_stage2_not_green,needs_price_backfill,false,Maintenance/service scope must be confirmed before Stage 3; preferred bidder alone is Stage 2.
hd_hyundai_heavy_mipo_merger_stage2_4b_case,SHIPBUILDING_US_PLATFORM_RESTRUCTURING,329180/010620,HD현대중공업·HD현대미포,KR,success_candidate,SHIPBUILDING_US_PLATFORM_RESTRUCTURING,WATCH_YELLOW_FIRST,2025-08-27,2025-08-27,,2025-08-27,,masga_us_shipbuilding_rebuild|affiliate_merger|share_exchange|hd_heavy_price_up_11_3pct|hd_mipo_price_up_14_6pct|record_high,event_premium|actual_us_contract_missing|integration_risk|margin_unknown,event_to_structural_stage2_plus_4b_watch,needs_price_backfill,false,"Merger and US shipbuilding narrative are Stage 2 watch evidence; Stage 3 waits for real contracts, margin, and FCF."
hd_hyundai_marine_solution_ipo_mro_case,SHIP_MRO_RECURRING_PLATFORM,443060,HD현대마린솔루션,KR,4b_watch,SHIP_MRO_RECURRING_PLATFORM,WATCH_YELLOW_FIRST,2024-05-08,2024-05-08,,2024-05-08,,ship_mro_platform|retrofit_service|parts_service_recurring|ipo_540m_usd|first_day_return_97pct|revenue_growth,ipo_premium|valuation_crowding|kkR_overhang|post_listing_fcf_unverified,good_recurring_platform_but_ipo_4b_watch,needs_price_backfill,false,MRO platform quality is separated from IPO first-day valuation premium.
kai_fa50_philippines_stage2_case,DEFENSE_AIRCRAFT_EXPORT_BACKLOG,047810,한국항공우주,KR,success_candidate,DEFENSE_AIRCRAFT_EXPORT_BACKLOG,WATCH_YELLOW_FIRST,2025-06-04,2025-06-04,,,,philippines_fa50_contract|contract_975_3bn_krw|aircraft_count_12|delivery_by_2030|government_customer,margin_unknown|warranty_cost|long_delivery_schedule|follow_on_contract_missing,aircraft_export_stage2_not_green_until_margin_revision,needs_price_backfill,false,"Customer, amount, aircraft count, and delivery are Stage 2; margin and OP/EPS decide Stage 3."
lig_nex1_cheongung_combat_validation_stage25_case,DEFENSE_INTERCEPTOR_COMBAT_VALIDATION,079550,LIG넥스원,KR,success_candidate,DEFENSE_INTERCEPTOR_COMBAT_VALIDATION,WATCH_YELLOW_FIRST,2025-06-13,2025-06-13,,2025-06-13,,cheongung_ii_combat_validation|patriot_alternative|middle_east_europe_interest|unit_cost_advantage|price_up_47pct,actual_export_contract_missing|war_event_only|production_bottleneck|valuation_crowding,combat_validation_stage2_5_plus_4b_watch_not_green,needs_price_backfill,false,"Combat validation and price path raise attention, but Green waits for signed export contract and OP/EPS revision."
hanwha_ocean_china_sanction_4c_case,GEOPOLITICAL_SHIPBUILDING_SANCTION_OVERLAY,042660,한화오션,KR,4c_thesis_break,GEOPOLITICAL_SHIPBUILDING_SANCTION_OVERLAY,REDTEAM_FIRST,,,,,,philly_shipyard_acquisition|us_navy_mro|us_shipbuilding_investment_pledge|us_shipbuilding_rebuild_option,china_sanctions|geopolitical_retaliation|section_301|share_price_drop|us_china_maritime_tension,us_shipbuilding_option_broken_by_geopolitical_sanction,needs_source_date_backfill,false,"US shipbuilding/MRO option remains visible, but China sanction retaliation is a hard RedTeam overlay."
