target_id,stage1,stage2,stage3,stage4b,stage4c,loop5_penalty_axes,hard_gate,production_scoring_changed
GRID_TRANSFORMER_SHORTAGE,data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended|transformer_price_increase,supply_contract|contract_value_to_sales|delivery_schedule|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|margin_improvement|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news|new_order_growth_slowdown,data_center_project_delay|capa_normalization|low_margin_contract|margin_miss,capa_normalization|data_center_delay|low_margin_long_term_contract|project_delay,false,false
GRID_SUPPLY_SLOT_PREBUY,lead_time_extended|factory_slot_prebuy|production_slot_shortage|transformer_price_increase,slot_based_long_term_agreement|prepayment|customer_project_schedule|capacity_allocation,slot_to_revenue_conversion|multi_year_visibility|margin_improvement|op_eps_revision,slot_prebuy_story_crowded|slot_premium_priced,slot_cancelled|customer_project_delay|capa_normalization|slot_premium_fades,slot_cancelled|project_delay|capa_normalization|slot_premium_fades,false,false
GRID_MEDIUM_VOLTAGE_EXPANSION,medium_voltage_demand|switchgear_keyword|substation_automation|utility_demand|electrification_demand,medium_voltage_order|capacity_expansion|utility_customer|grid_operator_customer|op_eps_revision,product_mix_improvement|order_to_revenue_conversion|opm_improvement|fy1_fy2_revision,medium_voltage_ai_grid_consensus_crowded|capacity_expansion_priced,capa_normalization|lead_time_normalization|price_normalization|mix_margin_miss,capa_normalization|product_mix_unclear|price_normalization,false,false
AI_DATA_CENTER_POWER_EQUIPMENT,ups_pdu_switchgear_keyword|modular_power|electrification_equipment|hyperscaler_power_demand,data_center_orders|bookings_growth|backlog_growth|revenue_guidance_up,orders_to_revenue_conversion|op_margin_improvement|fcf_conversion|valuation_frame_change,data_center_power_consensus_crowded|ytd_return_extreme|valuation_crowding,project_delay|bookings_slowdown|data_center_capex_delay|low_margin_project,project_delay|valuation_crowding|orders_slowdown|grid_interconnection_delay,false,false
GAS_TURBINE_POWER_BACKLOG,ai_power_demand|gas_turbine_slot_shortage|power_backlog|turbine_reservation,gas_turbine_backlog|turbine_slot_reservation|power_revenue_guidance_up|storage_equipment_order,turbine_backlog_to_revenue|electrification_profit_growth|margin_visible|fcf_conversion,gas_turbine_ai_power_story_crowded|turbine_slot_priced,tariff_cost|wind_segment_loss|turbine_delivery_delay|project_cancellation,tariff_cost|wind_segment_loss|delivery_delay|project_cancelled,false,false
CONTRACT_BACKLOG_INDUSTRIAL,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|counterparty|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_quality_unclear|delivery_delay|margin_uncertainty,false,false
DEFENSE_GOVERNMENT_BACKLOG,nato_rearmament|defense_export_news|government_customer,official_contract|contract_value|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|target_price_cluster|local_production_capex_ignored,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false,false
DEFENSE_LOCAL_PRODUCTION_PLATFORM,local_production_preference|customer_country_manufacturing|local_content_requirement,local_factory_plan|delivery_batch|multi_year_customer_country_demand|backlog_growth,regional_platform_visibility|repeat_orders|opm_improvement|capex_and_margin_risk_controlled,local_production_platform_story_crowded|capex_ignored_by_rally,local_factory_capex_burden|margin_dilution|political_risk|delivery_delay|dilution_shock,local_factory_capex|margin_dilution|political_risk|dilution,false,false
DEFENSE_CAPITAL_ALLOCATION_SHOCK,share_issuance_plan|overseas_factory_capex|unclear_capex_plan,large_equity_issuance|use_of_proceeds_unclear|regulator_revision_request|shareholder_value_shock,not_applicable_until_funding_quality_restored,dilution_ignored_by_defense_backlog_story,large_equity_issuance|dilution|regulator_revision_request|fcf_burden,capital_allocation_shock|dilution|use_of_proceeds_unclear|regulator_revision_request,true,false
DEFENSE_UNMANNED_NAVAL_SYSTEMS,autonomous_underwater_drone|unmanned_naval_system|pentagon_partner|naval_prototype,pentagon_contract|production_contract|delivery_schedule|military_customer,mass_production_contract|repeat_procurement|margin_visible|revenue_conversion,unmanned_naval_theme_crowded|prototype_priced_as_backlog,prototype_only|production_contract_absent|technical_validation_risk|regulatory_or_operational_risk,prototype_only|production_contract_absent|technical_validation_risk,false,false
SHIPBUILDING_OFFSHORE_BACKLOG,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|ship_engine_or_fitting_valve,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,false,false
