case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
sk_hynix_asml_euv_capex_success_signal,SEMI_EQUIPMENT_CAPEX,000660_EUV,SK하이닉스 ASML EUV CAPEX,KR,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,customer_capex_confirmed|hbm_capex,customer_capex|order_delay,needs_price_backfill,false,Customer CAPEX confirms upper-chain demand but is not enough for every supplier.
hbm_equipment_order_backlog_candidate,SEMI_EQUIPMENT_CAPEX,HBM_EQUIP,HBM 장비 수주잔고 후보,KR,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,order_backlog_growth|hbm_or_advanced_packaging_direct_exposure,customer_concentration|inventory,needs_price_backfill,false,Equipment backlog can score after delivery and customer-diversification checks.
cxl_glass_substrate_no_revenue_counterexample,SEMI_EQUIPMENT_CAPEX,CXL_GLASS_NOREV,CXL유리기판무매출 반례,KR,failed_rerating,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,cxl_keyword|glass_substrate_keyword,adoption_delay|no_revenue,needs_price_backfill,false,CXL/glass substrate keywords stay Watch without revenue.
customer_capex_cut_equipment_4c,SEMI_EQUIPMENT_CAPEX,EQUIP_CAPEX_4C,장비고객CAPEX축소4C,KR,4c_thesis_break,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,equipment_order,customer_capex_cut|order_delay,needs_price_backfill,false,Customer CAPEX cut is a hard equipment 4C risk.
hyundai_hybrid_shareholder_return_candidate,AUTO_COMPLETED_VEHICLE,005380,현대차 하이브리드 환원 후보,KR,success_candidate,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,hybrid_strategy|shareholder_return|op_fcf_stability,tariff|peak_margin,needs_price_backfill,false,"Completed-vehicle candidate needs hybrid/mix, FCF, and return execution."
kia_mix_shareholder_return_candidate,AUTO_COMPLETED_VEHICLE,000270,기아 믹스 환원 후보,KR,success_candidate,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,high_margin_mix|shareholder_return|roe_pbr_rerating,demand_slowdown|recall,needs_price_backfill,false,Kia-style mix and return candidate remains source-validation material.
auto_parts_customer_concentration_counterexample,AUTO_COMPONENTS_TIRE,AUTO_PARTS_CONC,자동차부품 고객집중 반례,KR,failed_rerating,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,auto_parts_order,customer_concentration|oem_pressure,needs_price_backfill,false,Auto parts need customer diversification and cost pass-through.
tire_raw_material_margin_4c,AUTO_COMPONENTS_TIRE,TIRE_RAW_4C,타이어원재료마진4C,KR,4c_thesis_break,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,tire_spread,raw_material_margin_squeeze|quality_recall,needs_price_backfill,false,Raw-material squeeze can break tire margin visibility.
korean_air_asiana_integration_candidate,AIRLINE_TRAVEL_CYCLE,003490,대한항공 아시아나 통합 후보,KR,success_candidate,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,airline_integration|integration_synergy,integration_cost|tariff,needs_price_backfill,false,Airline integration can reach Watch/Stage 2 after cost and synergy evidence.
korean_air_record_revenue_cycle_candidate,AIRLINE_TRAVEL_CYCLE,003490_REV,대한항공 매출회복 사이클,KR,cyclical_success,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,passenger_recovery|op_recovery,oil_price|fx,needs_price_backfill,false,"Record revenue can be cyclical success, not automatic structural Green."
airline_oil_fx_4c,AIRLINE_TRAVEL_CYCLE,AIR_OILFX_4C,항공유가환율4C,KR,4c_thesis_break,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,passenger_recovery,oil_price_spike|fx_hit,needs_price_backfill,false,Oil and FX can break airline OP leverage.
cargo_passenger_mix_slowdown_counterexample,AIRLINE_TRAVEL_CYCLE,AIR_MIX_SLOW,항공화물여객믹스둔화,KR,failed_rerating,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,cargo_mix,demand_slowdown|cargo_yield_normalization,needs_price_backfill,false,Cargo/passenger mix slowdown keeps travel cycle Watch.
korea_china_group_visa_free_tourism_stage1,CASINO_DUTYFREE_TOURISM,TOUR_VISA,중국단체무비자관광 Stage1,KR,event_premium,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,tourism_policy|china_group_tourism,china_dependency|tourism_policy,needs_price_backfill,false,"Visa-free policy is Stage 1 until drop amount, ticket, and OP prove through."
hotel_shilla_paradise_tourism_candidate,CASINO_DUTYFREE_TOURISM,008770_034230,호텔신라 파라다이스 관광 후보,KR,success_candidate,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,visitor_growth_converts_to_op|drop_amount_growth,china_dependency|capex,needs_price_backfill,false,Tourism candidate needs visitor mix and OP leverage.
inspire_resort_underperformance_4c,CASINO_DUTYFREE_TOURISM,INSPIRE_4C,인스파이어 리조트 부진4C,KR,4c_thesis_break,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,casino_drop,capex_covenant_failure|op_leverage_failure,needs_price_backfill,false,Large casino CAPEX can fail when demand and operation underperform.
dutyfree_china_dependency_counterexample,CASINO_DUTYFREE_TOURISM,DUTYFREE_CHINA,면세중국의존반례,KR,failed_rerating,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,dutyfree_sales,china_dependency|weak_demand,needs_price_backfill,false,Duty-free recovery needs diversified tourist mix.
cu_overseas_store_efficiency_candidate,RETAIL_CONVENIENCE_OFFLINE,CU_STORE,CU 해외점포 효율 후보,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,overseas_store|store_productivity,rent|competition,needs_price_backfill,false,Store count matters only when productivity and profit appear.
gs25_pb_store_efficiency_candidate,RETAIL_CONVENIENCE_OFFLINE,GS25_PB,GS25 PB 점포효율 후보,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,pb_high_margin_mix|same_store_sales_growth,wage|overcrowding,needs_price_backfill,false,PB mix and same-store sales are stronger than store count.
convenience_store_wage_rent_pressure_counterexample,RETAIL_CONVENIENCE_OFFLINE,CVS_WAGE_RENT,편의점임대료인건비압박,KR,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,store_network,rent_wage_pressure|opm_pressure,needs_price_backfill,false,Rent/wage pressure can offset defensive growth.
convenience_overcrowding_same_store_slowdown_4c,RETAIL_CONVENIENCE_OFFLINE,CVS_SSSG_4C,편의점과밀SSSG둔화4C,KR,4c_thesis_break,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,store_network,same_store_sales_slowdown|overcrowding,needs_price_backfill,false,Overcrowding and SSSG slowdown can break retail visibility.
smart_farm_export_order_candidate,AGRI_LIVESTOCK_FOOD_COMMODITY,SMART_FARM,스마트팜 수출수주 후보,KR,success_candidate,COMMODITY_SPREAD,REDTEAM_FIRST,smart_farm_order|export_order,weather|project_delay,needs_price_backfill,false,Smart-farm export orders need delivery and margin validation.
tuna_price_fx_candidate,AGRI_LIVESTOCK_FOOD_COMMODITY,TUNA_FX,참치가격환율 후보,KR,cyclical_success,COMMODITY_SPREAD,REDTEAM_FIRST,tuna_price|cost_pass_through,price_reversal|fx_hit,needs_price_backfill,false,"Tuna price/FX can be cyclical success, not structural Green by default."
feed_cost_pressure_counterexample,AGRI_LIVESTOCK_FOOD_COMMODITY,FEED_COST,사료원가압박반례,KR,failed_rerating,COMMODITY_SPREAD,REDTEAM_FIRST,feed_cost,feed_cost_spike|margin_pressure,needs_price_backfill,false,Feed cost can destroy livestock/food margin.
livestock_disease_event_oneoff,AGRI_LIVESTOCK_FOOD_COMMODITY,LIVESTOCK_DISEASE,축산질병이벤트,KR,one_off,COMMODITY_SPREAD,REDTEAM_FIRST,livestock_price,disease_event_reversal|price_event_only,needs_price_backfill,false,Disease event is one-off and should not become Green.
