target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop4_penalty_axes,gate_only,production_scoring_changed
AUTO_MOBILITY_COMPLETED_VEHICLE,hybrid_demand|ev_slowdown_response|shareholder_return_policy|local_production_plan,sales_target|op_margin_target|buyback_or_dividend|fcf_margin|roe_pbr_rerating,durable_fcf|high_margin_mix|shareholder_return_execution|old_auto_discount_removed,valueup_narrative_crowded|hybrid_story_fully_priced|peak_margin_ignored,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,tariff|op_margin_cut|recall|peak_margin|local_production_capex,tariff|opm_cut|recall|peak_margin,false,false
AUTO_HYBRID_VALUEUP,ev_slowdown_response|hybrid_lineup_expansion|erev_strategy|shareholder_return_policy,sales_target|op_margin_target|buyback_or_dividend|dividend_policy_change|fcf_margin,roe_fcf_persistent|shareholder_return_execution|hybrid_mix_margin|pbr_per_frame_improves,auto_valueup_narrative_crowded|hybrid_margin_fully_priced,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,tariff|hybrid_capa|quality_cost|return_execution,tariff|hybrid_capa|quality_cost|return_execution,false,false
AUTO_TARIFF_LOCALIZATION,us_tariff|local_production_plan|georgia_plant_capacity|us_output_ramp,local_production_ratio|local_production_capacity|tariff_cost_mitigation|plant_ramp_up,op_margin_recovery|tariff_cost_absorbed|fcf_stability|localization_execution,localization_narrative_crowded,op_margin_cut|tariff_cost_amount|local_production_capex|ramp_up_delay|capex_burden,op_margin_cut|tariff_cost|local_production_capex|ramp_up_delay,tariff|opm_cut|capex|ramp_up,false,false
AUTO_MOBILITY_COMPONENTS,hybrid_component_demand|electronics_component|lighting_or_adas_demand,customer_delivery|customer_diversification|opm_improvement|cost_pass_through,high_value_mix|repeat_program_visibility|fcf_improvement|quality_cost_low,component_group_multiple_expansion,customer_concentration|raw_material_cost_spike|quality_cost|program_delay,customer_concentration|raw_material|quality_cost|bottleneck_normalization,customer_concentration|raw_material|bottleneck_normalization,false,false
HYBRID_COMPONENT_BOTTLENECK,hybrid_wait_time|motor_bottleneck|inverter_bottleneck|magnet_bottleneck,customer_delivery|hybrid_component_order|capa_shortage|opm_improvement,high_value_hybrid_mix|fcf_improvement|cost_pass_through|customer_delivery_visible,hybrid_component_bottleneck_crowded,capacity_normalization|single_customer|raw_material_cost_spike|quality_cost,capacity_normalization|single_customer|raw_material|quality_cost,capacity_normalization|single_customer|raw_material,false,false
AUTO_COMPONENTS_EV_ADAS,adas_adoption|sensor_or_camera_order|ev_component_demand,actual_adoption|customer_diversification|development_cost_control,content_per_vehicle_growth|multi_customer_program|op_eps_revision,adas_theme_crowded,actual_adoption_missing|customer_concentration|development_cost|program_delay,actual_adoption_missing|customer_concentration|development_cost,actual_adoption|development_cost|single_customer,false,false
AUTONOMOUS_ROBOTAXI_DEPLOYMENT,robotaxi_partnership|pilot_launch|service_area_expansion|autonomous_platform,robotaxi_service_area|robotaxi_fleet_size|paid_ride_volume|platform_integration,unit_economics|safety_record_clean|insurance_liability_cost_stable|vehicle_utilization,robotaxi_scale_narrative_crowded,safety_recall|weather_handling_failure|nhtsa_scrutiny|service_suspension|insurance_liability_cost,safety_recall|nhtsa_scrutiny|weather_handling|unit_economics,safety|nhtsa|weather|unit_economics,false,false
ROBOTAXI_OPERATIONAL_REALITY_CHECK,robotaxi_rollout|service_area_claim|driverless_launch|limited_odd,wait_time_measured|ride_completion_rate|fleet_size_confirmed|service_reliability,not_applicable_gate_only,robotaxi_scale_narrative_overpriced,long_wait_time|limited_service_area|misrouting|dropoff_distance_issue|remote_or_safety_monitor_dependency|poor_completion_rate,wait_time|limited_odd|misrouting|safety_monitor|poor_completion_rate,wait_time|limited_odd|misrouting|safety_monitor,true,false
ROBOTAXI_SAFETY_REGULATORY_OVERLAY,robotaxi_safety_event|autonomous_vehicle_recall|nhtsa_probe,incident_quantified|regulatory_response|software_fix_confirmed,not_applicable_gate_only,safety_risk_underpriced,safety_recall|nhtsa_scrutiny|weather_handling_failure|accident_liability|service_suspension,safety_recall|nhtsa_scrutiny|weather_handling|accident_liability,safety|nhtsa|weather|liability,true,false
TIRE_AUTO_COMPONENT_SPREAD,tire_demand_recovery|raw_material_spread|replacement_market,oe_re_mix|north_america_demand_stable|op_eps_revision|fcf_margin,spread_fcf_persistent|replacement_demand_resilient|china_competition_controlled,spread_peak_ignored,north_america_demand_slowdown|replacement_market_weakness|raw_material_spike|tariff_hit|fcf_guidance_cut,north_america_demand|raw_material|tariff|fcf_guidance_cut,north_america_demand|raw_material|tariff|fcf,false,false
