target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
NORTH_KOREA_POLICY_EVENT,summit_or_dialogue|tourism_reopening_headline|sanctions_discussion|inter_korea_infra_theme,government_approval|business_restart|sanctions_relief|cash_flow_project,very_rare_cash_flow_project|multi_year_contract|low_sanctions_risk,summit_expectation_rally|policy_theme_basket_crowding|tourism_reopen_price_spike,military_tension|facility_dismantle|road_rail_destroyed|sanctions_intact|hostile_state_rhetoric,false
GEOPOLITICAL_RECONSTRUCTION,reconstruction_conference|mou_or_policy_declaration|post_war_infra_theme,actual_project|project_financing|participating_company|company_contract|construction_started,multi_year_revenue|supplier_margin|funded_backlog|delivery_schedule,reconstruction_basket_rally_before_contract|headline_project_priced|financing_expectation_crowding,war_escalation|financing_failure|insurance_delay|project_start_delay,false
REAL_RECONSTRUCTION_FINANCING,reconstruction_need|international_financing_intent|mou_or_support_declaration,ebrd_ifc_financing|guarantee_structure|operating_company|infrastructure_asset|project_financing,company_contract|revenue_recognition|margin_visibility|multi_year_cashflow,single_financing_case_generalized_to_theme|reconstruction_theme_crowded,financing_delay|war_reescalation|guarantee_absent|project_cancellation|no_company_contract,false
CRITICAL_INFRA_RECONSTRUCTION_FINANCING,critical_infra_rebuild|grid_reconstruction|port_concession|telecom_resilience|transformer_shelter,concession_signed|project_financing|guarantee_structure|operating_asset|critical_infra_asset,company_contract|revenue_recognition|margin_visibility|multi_year_infra_cashflow,critical_infra_theme_priced_before_company_contract|single_financing_case_extrapolated,war_reescalation|insurance_absent|guarantee_failure|project_delay|concession_cancelled,false
STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,export_control|export_license_delay|rare_earth_supply_shock|strategic_material_price_spike,export_license_delay_flag|rare_earth_export_control_flag|price_spike_multiple|customer_supply_chain_disruption,domestic_capacity|alternative_supply_contract|offtake_contract|price_floor|fcf_conversion,export_control_theme_rally|rare_earth_basket_crowding|macro_bottleneck_extrapolated_to_no_capacity_names,export_control_relief|truce_extension|license_approval_recovery|price_spike_normalization|no_domestic_capacity,false
EXPORT_CONTROL_TO_OFFTAKE_ESCALATION,export_control|strategic_material_supply_shock|customer_shortage|government_supply_chain_support,alternative_supply_contract|offtake_contract|price_floor|domestic_capacity|government_support,multi_year_offtake|price_floor_visible|volume_and_margin_visibility|fcf_conversion,offtake_hope_priced_before_contract|scarcity_theme_crowding,offtake_absent|price_floor_absent|capacity_delay|export_control_relief|customer_contract_missing,false
DISASTER_REBUILD_EVENT,earthquake_rebuild|wildfire_rebuild|flood_or_typhoon_rebuild|rebuild_material_theme,rebuild_order|insurance_or_budget_approved|sell_through|margin_visibility,repeat_rebuild_demand|fcf_after_event|multi_period_orders,disaster_theme_rally|material_basket_crowding|insurance_expectation_rally,one_off_rebuild_fade|insurance_delay|budget_delay|inventory_build,false
CLIMATE_DISASTER_EVENT,heatwave|cooling_demand|grid_stress|air_quality_event|wildfire_or_flood_event,grid_investment|cooling_order|demand_response_program|vpp_program|repeat_weather_demand,structural_grid_capex|recurring_cooling_demand|energy_system_investment|op_eps_conversion,seasonal_weather_theme_rally|cooling_theme_crowded|grid_theme_price_spike,weather_normalization|inventory_build|demand_fade|margin_reversal|policy_budget_delay,false
CLIMATE_EVENT_TO_GRID_INFRA,heatwave|cooling_demand|peak_load_increase|grid_stress,grid_stress|peak_load_increase_estimate|vpp_program|plug_in_battery_program|ess_or_grid_response_contract|cooling_infrastructure_order,recurring_grid_service_revenue|energy_system_investment|repeat_program_expansion|op_eps_conversion,heatwave_grid_theme_crowded|pilot_program_extrapolated,pilot_program_ends|budget_delay|no_follow_on_contract|weather_normalization,false
EVENT_DISEASE_PEST_DEMAND,outbreak_alert|who_emergency|pest_demand_spike|stockpile_headline,government_order|stockpile_contract|guide_up|dose_or_amount_disclosed,recurring_procurement|non_event_demand|ebitda_margin_visible,outbreak_news_rally|vaccine_or_pest_basket_crowding|demand_extrapolated,outbreak_normalization|government_purchase_end|inventory_build|demand_cliff,false
