case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samyang_buldak_export_rerating_case,EXPORT_RECURRING_CONSUMER,003230,Samyang Foods Buldak export rerating,KR,success_candidate,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,,2024-06-14,,,,buldak_export_growth|us_europe_shipments|asp_increase|capa_expansion|op_estimate_revision|target_price_revision,single_product_dependency|recall|overseas_inventory|channel_stuffing,aligned_candidate,needs_price_backfill,false,"K-food reference where export, ASP, CAPA, OP estimate revision, target revision, and price reaction moved together."
samyang_buldak_recall_risk_case,EXPORT_RECURRING_CONSUMER,003230_RECALL_REF,Samyang Buldak food-safety recall risk,KR,4c_thesis_break,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,,,,,2024-06-12,buldak_global_product,recall|food_safety_ban|country_specific_regulation|single_product_dependency,food_safety_4c_watch,needs_price_backfill,false,"Successful K-food candidates still need recall, food-safety, and country-regulation guardrails."
kbeauty_us_offline_channel_case,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_US_CHANNEL_REF,K-beauty US offline channel expansion,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,2025-06-05,,,,us_cosmetics_export_growth|sephora_ulta_target_costco_channel|offline_channel_entry|sell_through_to_verify,tariff|china_channel_slowdown|inventory_build|receivables_growth,structural_success_candidate,missing_direct_symbol_mapping,false,K-beauty moves beyond viral only when offline channel sell-through and repeat orders are verified.
apr_medicube_device_export_case,K_BEAUTY_EXPORT_DISTRIBUTION,278470,APR Medicube device and export rerating,KR,4b_watch,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,,,,,overseas_sales_ratio|skincare_device_success|social_commerce|brand_rerating,valuation_saturation|celebrity_tiktok_demand|competition|tariff|regulation,aligned_success_candidate_plus_4b_watch,needs_source_date_and_price_backfill,false,"APR is a success candidate but the round document only gives a broad 2025 early-to-Q2 window, so stage dates remain unfilled."
cu_gs25_store_efficiency_case,RETAIL_CONVENIENCE_OFFLINE,CONV_STORE_REF,CU / GS25 store efficiency reference,KR,success_candidate,RETAIL_CONVENIENCE_OFFLINE,WATCH_YELLOW_FIRST,,,,,,store_count|same_store_sales_to_verify|pb_mix_to_verify|store_profitability_to_verify,store_count_only|labor_cost|rent_pressure|store_density_competition,watch_to_green_reference,needs_source_date_and_price_backfill,false,"Store count is routing context only; store efficiency, PB mix, and OPM must be verified before higher stages."
coupang_supplier_regulation_case,RETAIL_ECOMMERCE_LOGISTICS,CPNG,Coupang supplier pressure and payment delay regulation,US,4c_thesis_break,RETAIL_ECOMMERCE_LOGISTICS,WATCH_YELLOW_FIRST,,,,,2026-02-26,ecommerce_scale,supplier_pressure|payment_delay|retail_law_violation|margin_sustainability_doubt,regulatory_4c_watch,needs_price_backfill,false,E-commerce margin improvement must be separated from supplier pressure and regulatory risk.
coupang_data_breach_case,RETAIL_ECOMMERCE_LOGISTICS,CPNG,Coupang data breach,US,4c_thesis_break,RETAIL_ECOMMERCE_LOGISTICS,WATCH_YELLOW_FIRST,,,,,,ecommerce_customer_base,data_breach|regulatory_investigation|customer_trust_damage|governance_risk,data_security_4c,needs_source_date_and_price_backfill,false,"The document provides a 2025-12 month but no day, so the 4C date is intentionally left null."
coway_rental_recurring_case,HOME_LIVING_APPLIANCE_RENTAL,021240,Coway rental and service recurring model,KR,success_candidate,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,,,,,,rental_accounts|filter_service_recurring_revenue|overseas_subsidiaries|churn_to_verify,hardware_cycle|replacement_demand_slowdown|consumer_sentiment,recurring_revenue_watch_candidate,needs_source_date_and_price_backfill,false,"Coway is a Watch-to-Green reference only if rental accounts, churn, service revenue, OPM, and FCF are verified."
whirlpool_hardware_cycle_4c_case,HOME_LIVING_APPLIANCE_RENTAL,WHR,Whirlpool hardware replacement-cycle failure,US,4c_thesis_break,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,,,,,2026-05-07,home_appliance_hardware_cycle,replacement_demand_collapse|housing_turnover_slowdown|dividend_suspension|debt_reduction_pressure,hardware_cycle_4c,needs_price_backfill,false,Hardware replacement demand is not recurring rental economics; dividend suspension and demand collapse are hard RedTeam evidence.
shein_temu_ip_regulatory_case,APPAREL_FAST_FASHION_BRAND_OEM,SHEIN_TEMU_REF,Shein / Temu IP and regulatory risk,GLOBAL,4c_thesis_break,APPAREL_FAST_FASHION_BRAND_OEM,WATCH_YELLOW_FIRST,,,,,2026-05-11,fast_fashion_growth,copyright_litigation|supplier_exclusivity_dispute|unsafe_product_regulation|eu_enforcement,legal_regulatory_4c_watch,missing_direct_symbol_mapping,false,Fast-fashion growth needs inventory and legal/regulatory guardrails before any high-conviction label.
