case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samsung_life_insurance_nav_valueup_stage23_case,INSURANCE_NAV_VALUEUP_SAMSUNG_ELECTRONICS_STAKE,032830,삼성생명 insurance NAV value-up,KR,success_candidate,INSURANCE_NAV_VALUEUP_SAMSUNG_ELECTRONICS_STAKE,WATCH_YELLOW_FIRST,samsung_electronics_10pct_stake|book_value_discount_50pct|insurance_nav_discount|valueup_tailwind|hedge_fund_interest,k_ics_csm_missing|return_execution_missing|samsung_electronics_price_only_linkage|insurance_roe_missing,nav_stage2_to_stage3_if_kics_csm_return_and_pbr_band_align,needs_nav_kics_csm_return_execution_price_backfill,false,"Samsung Life is a NAV/value-up Stage 2~3 candidate, but Green waits for K-ICS, CSM, ROE/profit, return execution, and price path."
meritz_financial_shareholder_return_stage23_case,SHAREHOLDER_RETURN_COMPOUNDING_FINANCIAL_HOLDCO,138040,메리츠금융지주 shareholder return compounding,KR,success_candidate,SHAREHOLDER_RETURN_COMPOUNDING_FINANCIAL_HOLDCO,GREEN_POSSIBLE,meritz_fire_securities_holdco|shareholder_return_candidate|buyback_cancel_detail_required|roe_improvement_candidate,dart_detail_missing|credit_cost_unconfirmed|securities_cycle_exposure|capital_ratio_unconfirmed,stage2_to_stage3_if_repeat_return_roe_capital_and_credit_cost_align,needs_buyback_cancel_dividend_roe_capital_credit_price_backfill,false,"Meritz-style return compounding is Green-eligible only after repeated return execution, ROE, capital ratio, credit cost, and price path are confirmed."
hana_financial_dunamu_equity_option_stage2_case,DIGITAL_ASSET_BANK_EQUITY_OPTION,086790,하나금융 Dunamu equity option,KR,success_candidate,DIGITAL_ASSET_BANK_EQUITY_OPTION,WATCH_YELLOW_FIRST,dunamu_6_55pct_stake|deal_value_1_003tn_krw|fourth_largest_shareholder|blockchain_remittance_validation,regulatory_approval_pending|exchange_security_risk|equity_method_income_missing|crypto_volume_risk,stage2_option_not_green_before_equity_method_regulation_and_security,needs_equity_method_income_regulation_security_volume_price_backfill,false,"A Dunamu stake can create Stage 2 optionality, but equity-method income, regulatory approval, security, and fee durability gate Stage 3."
toss_facepay_payment_biometric_stage2_case,PAYMENT_BIOMETRIC_INFRASTRUCTURE,TOSS_RELATED_BASKET,Toss FacePay biometric payment infrastructure,KR,success_candidate,PAYMENT_BIOMETRIC_INFRASTRUCTURE,WATCH_YELLOW_FIRST,facepay_4_8m_users|330k_retail_locations|10m_user_target|1m_merchant_target|government_approval,take_rate_missing|listed_stock_direct_link_missing|biometric_privacy_risk|issuer_economics_missing,stage2_infrastructure_option_until_take_rate_transaction_volume_and_privacy_clear,needs_take_rate_transaction_volume_privacy_direct_link_price_backfill,false,"FacePay has infrastructure scale, but listed-stock linkage and transaction economics must be proven before high-conviction scoring."
nice_credit_information_recurring_data_stage23_case,CREDIT_INFORMATION_RECURRING_DATA,034310/030190,NICE credit information recurring data,KR,success_candidate,CREDIT_INFORMATION_RECURRING_DATA,WATCH_YELLOW_FIRST,credit_information_service|data_subscription|authentication_revenue|financial_customer_base|recurring_data_revenue_option,data_protection_regulation|security_incident_risk|financial_it_budget_cut|growth_rate_missing,stage2_to_stage3_if_recurring_data_revenue_opm_eps_and_security_align,needs_recurring_data_revenue_opm_eps_security_price_backfill,false,"Credit-information recurring data can become Stage 2~3 when recurring revenue, OPM/EPS, retention, and security evidence align."
krw_stablecoin_policy_theme_4b_watch_case,KRW_STABLECOIN_POLICY_THEME,KRW_STABLECOIN_BASKET,KRW stablecoin policy theme 4B-watch,KR,4b_watch,KRW_STABLECOIN_POLICY_THEME,REDTEAM_FIRST,kakaopay_monthly_double|lg_cns_plus_70pct|aton_plus_80pct|me2on_tripled|won_stablecoin_policy_promise,issuer_economics_missing|regulatory_framework_unclear|bok_concern|price_only_rally,stablecoin_theme_requires_4b_watch_until_issuer_economics_and_regulation_exist,needs_issuance_reserve_income_take_rate_regulation_price_backfill,false,"Stablecoin policy headlines can double related stocks before revenue evidence; that is 4B-watch, not proof of structural Green."
kakaopay_privacy_regulatory_4c_watch_case,PAYMENT_PRIVACY_REGULATORY_4C,377300,KakaoPay privacy regulatory 4C-watch,KR,4c_thesis_break,PAYMENT_PRIVACY_REGULATORY_4C,REDTEAM_FIRST,payment_network|digital_finance_policy_exposure|privacy_governance_issue,alipay_singapore_data_transfer|fss_15bn_krw_fine|consent_issue|platform_trust_damage,privacy_consent_issue_is_hard_gate_before_payment_platform_rerating,needs_regulatory_resolution_trust_metrics_price_backfill,false,Privacy and consent problems are hard gates for payment-platform rerating until resolved.
samsung_electronics_buyback_execution_price_failed_case,BUYBACK_EXECUTION_PRICE_FAILED,005930,Samsung Electronics buyback execution price-fail,KR,failed_rerating,BUYBACK_EXECUTION_PRICE_FAILED,REDTEAM_FIRST,14_6tn_krw_treasury_cancel|buyback_cancel_executed,same_day_minus_5_2pct|operating_concern_dominates|market_expectation_priced|eps_roe_not_confirmed,actual_cancellation_is_not_enough_when_price_and_operating_context_fail,needs_eps_roe_fcf_operating_context_price_backfill,false,"Buyback cancellation is real evidence, but if operating concern dominates and price fails, rerating should be capped."
policy_tax_reversal_market_shock_4c_watch_case,POLICY_TAX_REVERSAL_MARKET_SHOCK,KR_VALUEUP_BASKET,Korea value-up tax reversal market shock,KR,4c_thesis_break,POLICY_TAX_REVERSAL_MARKET_SHOCK,REDTEAM_FIRST,governance_reform_expectation|valueup_basket_rally|tax_policy_change,capital_gains_tax_threshold_lowered|corporate_dividend_tax_hike|securities_transaction_tax_hike|kospi_minus_3_9pct,policy_tax_shock_can_break_valueup_basket_before_company_specific_execution,needs_policy_resolution_company_specific_execution_price_backfill,false,A policy tax shock can invalidate value-up basket momentum even when company-level narratives remain popular.
securities_brokerage_market_beta_cycle_case,SECURITIES_BROKERAGE_MARKET_BETA,003540/006800/039490/005940,Korea securities brokerage market beta cycle,KR,cyclical_success,SECURITIES_BROKERAGE_MARKET_BETA,WATCH_YELLOW_FIRST,kospi_7000_rally|broader_financial_shares_rally|trading_value_beta|brokerage_fee_growth_option,market_beta_only|trading_value_cycle|pf_ib_loss_risk|tax_policy_risk,cyclical_success_not_structural_green_without_fee_ib_capital_and_credit_quality,needs_trading_value_fee_ib_capital_credit_price_backfill,false,"Brokerage can work cyclically when trading value rises, but structural Green needs fee durability, IB quality, capital, and credit evidence."
