target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,spread_product_margin_durability,restructuring_supply_cut_visibility,early_price_validation,cycle_commodity_risk,operational_tariff_disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
REFINING_SPREAD_TURNAROUND_KOREA,MATERIALS_SPREAD_STRATEGIC,REFINING_SPREAD_TURNAROUND_KOREA,WATCH_YELLOW_FIRST,22,20,6,10,12,8,8,refining_margin_rebound|diesel_jet_fuel_shortage|middle_east_disruption|refinery_outage,quarterly_op_beat|refining_margin_recovery|inventory_effect_disclosed|op_revision,op_ex_inventory_effect_improves|fcf_improvement|petrochem_battery_drag_reduces|spread_improves_two_quarters|60d_mfe_20pct_after_stage2,refining_margin_news_rally|war_supply_disruption_priced|cycle_peak_near,refining_margin_drop|inventory_loss|battery_loss_expands|petrochemical_spread_weak|logistics_normalization_delay,op_ex_inventory_effect_improves|fcf_improvement|drag_reduction|spread_durable,inventory_loss|temporary_supply_disruption|battery_drag|petrochem_drag,refining_spread|inventory_effect|drag_reduction|cycle_peak,false,false,"Refining OP beat can be Stage 2~3 candidate evidence, but cycle peak and battery/petrochemical drag cap Green."
REFINING_PETCHEM_MIX_DRAG,MATERIALS_SPREAD_STRATEGIC,REFINING_PETCHEM_MIX_DRAG,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,refining_profit|battery_loss|petrochemical_loss|mixed_business_drag,segment_profit_bridge|battery_loss_disclosed|petrochem_spread_disclosed,not_green_until_non_refining_drag_reduces_and_fcf_improves,refining_profit_priced_while_drag_persists,battery_loss_expands|petrochemical_spread_weak|refining_profit_consumed_by_drag,battery_loss_reduces|petrochem_spread_recovers|fcf_improvement,battery_loss_expands|petrochem_drag|segment_bridge_missing,mix_drag|segment_profit_bridge,false,false,Refining strength is capped when battery or petrochemical losses consume OP/FCF.
PETROCHEMICAL_RESTRUCTURING_KOREA,MATERIALS_SPREAD_STRATEGIC,PETROCHEMICAL_RESTRUCTURING_KOREA,WATCH_YELLOW_FIRST,19,14,20,8,14,12,8,petrochemical_oversupply|china_capacity|ncc_restructuring_need|government_pressure,restructuring_plan_submitted|government_support|capacity_cut_direction|asset_sale_or_merger,plant_shutdown_executed|spread_recovery|op_eps_revision|fcf_improvement|utilization_improves,restructuring_news_rally_before_spread|government_aid_priced_before_fcf,plan_detail_missing|china_oversupply_persists|spread_weak|capital_injection_burden|impairment_risk,plant_shutdown_executed|spread_recovery|fcf_improvement|op_eps_revision,plan_detail_missing|spread_weak|china_oversupply|cashflow_unknown,restructuring_detail|spread_to_fcf|oversupply,false,false,"Petrochemical restructuring is Stage 2 evidence; Stage 3 waits for concrete closures, spread recovery, OP/EPS, and FCF."
NCC_CAPACITY_CUT_STAGE2,MATERIALS_SPREAD_STRATEGIC,NCC_CAPACITY_CUT_STAGE2,WATCH_YELLOW_FIRST,18,14,22,8,12,10,8,ncc_capacity_cut|daesan_ncc|government_restructuring|plant_shutdown,capacity_cut_amount|shutdown_duration|merger_or_consolidation|government_support_amount|capital_injection,ethylene_propylene_spread_recovery|ncc_utilization_improves|operating_loss_to_profit|fcf_improvement,capacity_cut_news_rally_before_spread,shutdown_delayed|spread_recovery_missing|china_oversupply|new_capacity_offsets_cut|capital_injection_burden,capacity_cut_executed|spread_recovery|utilization_improves|fcf_improvement,spread_recovery_missing|china_oversupply|shutdown_delayed,capacity_cut|utilization|spread_recovery,false,false,"NCC capacity cuts are Stage 2 strong but not Green before product spread, utilization, OP, and FCF recover."
NCC_OVERLOAD_SHAHEEN_RISK,MATERIALS_SPREAD_STRATEGIC,NCC_OVERLOAD_SHAHEEN_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,shaheen_project|aramco_investment|ethylene_capacity_addition,new_capacity_addition|completion_timeline|capex_burden,not_green_until_new_capacity_absorbed_by_demand_and_spread_recovers,strategic_asset_priced_before_spread_recovery,new_capacity_worsens_oversupply|q2_operating_loss|spread_dilution|capex_burden|capacity_cut_effect_limited,demand_absorbs_new_capacity|spread_recovers|capex_burden_low,new_capacity_worsens_oversupply|spread_dilution|capex_burden,oversupply_new_capacity|capex_burden,true,false,"Shaheen can be a strategic asset, but in an oversupply cycle it is a hard RedTeam capacity-addition overlay."
SPECIALTY_CHEM_GOVERNANCE_RESTRUCTURING,MATERIALS_SPREAD_STRATEGIC,SPECIALTY_CHEM_GOVERNANCE_RESTRUCTURING,WATCH_YELLOW_FIRST,17,12,14,8,10,10,18,nav_discount|activism|petrochemical_drag|battery_stake_value,board_refresh_or_buyback_demand|stake_sale|asset_sale_amount|debt_reduction_use,buyback_or_cancel_executed|net_debt_reduction|fcf_recovery|petrochemical_restructuring|nav_discount_closes,activism_news_rally_before_execution|nav_discount_story_crowded,actual_buyback_missing|petrochemical_drag|cashflow_effect_unknown|capital_allocation_not_executed,capital_return_executed|debt_reduction|fcf_recovery|petrochemical_drag_reduces,buyback_missing|petrochemical_drag|cashflow_unknown,nav_discount|capital_allocation|petrochemical_drag,false,false,"Specialty-chem governance can be Stage 2, but Stage 3 needs real capital return, debt reduction, FCF, and petrochemical drag relief."
SYNTHETIC_RUBBER_TARIFF_RISK,MATERIALS_SPREAD_STRATEGIC,SYNTHETIC_RUBBER_TARIFF_RISK,REDTEAM_FIRST,17,14,6,8,14,18,8,synthetic_rubber_spread|epdm|sbr_br_ssbr|tire_auto_construction_demand,product_mix|rubber_spread|customer_demand|china_antidumping_duty,spread_improves|china_exposure_reduces|opm_fcf_improves|auto_tire_demand_recovers,tariff_headline_rally|rubber_cycle_rally_without_opm,china_antidumping_duty|auto_construction_demand_slowdown|butadiene_cost_rise|export_exposure_hit,spread_improves|china_exposure_reduces|opm_fcf_improves,china_antidumping_duty|demand_cycle|butadiene_cost,tariff|rubber_spread|auto_construction_cycle,false,false,"Synthetic rubber remains Watch/Red until tariff, China demand, raw-material cost, OPM, and FCF are cleared."
TIRE_RUBBER_PRODUCTION_DISRUPTION,MATERIALS_SPREAD_STRATEGIC,TIRE_RUBBER_PRODUCTION_DISRUPTION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,tire_demand|rubber_material_chain|factory_capacity|global_auto_customer,production_disruption_identified|capacity_loss_percent|customer_supply_risk,not_green_until_factory_normalized_and_revenue_guidance_recovered,tire_demand_story_ignores_production_disruption,factory_fire|production_halt|capacity_loss_20pct|revenue_target_cut_risk|customer_supply_disruption,factory_normalized|customer_supply_restored|revenue_guidance_recovered,factory_fire|production_halt|capacity_loss_20pct,production_disruption|customer_supply|revenue_guidance,true,false,A major tire/rubber production disruption is a hard operational 4C overlay even if spreads or demand look favorable.
COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,commodity_price_rally|spread_rebound|tariff_headline|raw_material_price_move,spread_rebound_measured|op_revision_observed|cycle_driver_identified,not_green_until_spread_op_fcf_and_supply_cut_are_durable,cycle_rally_priced_as_structural,spread_reversal|china_oversupply|event_supply_disruption_reversal|inventory_loss,durable_spread|supply_cut|fcf_improvement,cycle_only|price_only_rally|inventory_noise,cycle_cap|spread_durability,false,false,"R4 commodity spread moves are capped unless durable spread, supply discipline, OP/EPS, FCF, and price path confirm."
DISCLOSURE_CONFIDENCE_CAP,MATERIALS_SPREAD_STRATEGIC,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,opendart_list_only|media_report|policy_headline|restructuring_plan|factory_announcement,detail_fetch_required|product_spread_required|utilization_opm_fcf_required,not_green_until_product_spread_opm_fcf_and_plan_detail_are_verified,headline_priced_before_detail,plan_detail_missing|media_report_only|spread_missing|opm_unknown|capacity_cut_amount_missing,plan_detail_disclosed|product_spread|opm_fcf_visible|capacity_cut_executed,list_only|media_only|plan_detail_missing|spread_missing,detail_missing|spread_missing|opm_unknown,false,false,"Round 188 caps list-only, media-only, policy-only, restructuring-plan-only, and missing spread/OPM/FCF evidence before Green."
