target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
SMART_FARM_AGRI_TECH,EDUCATION_LIFE_AGRI_MISC,SMART_FARM_AGRI_TECH,WATCH_YELLOW_FIRST,17,13,12,9,8,0,5,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|shutdown|energy_cost_failure|premium_pricing_failure|capex_burden,actual_order|operation_contract|unit_economics_positive|fcf_conversion,energy_cost|capex_burden|unit_economics_failure|subsidy_dependency,false,false,"Smart-farm labels need orders, utilization, energy-cost proof, and FCF before Green."
VERTICAL_FARMING_UNIT_ECONOMICS,EDUCATION_LIFE_AGRI_MISC,VERTICAL_FARMING_UNIT_ECONOMICS,REDTEAM_FIRST,8,6,5,7,5,0,4,vertical_farming|indoor_farm|hydroponics|leafy_greens|ai_farming_narrative,capacity_utilization|customer_contract|yield_stability|premium_pricing_success|energy_cost_control,unit_economics_positive|repeat_customer_demand|fcf_conversion|low_energy_cost_burden,vertical_farming_unicorn_narrative|premium_pricing_assumed|capex_risk_ignored,shutdown|chapter11|energy_cost_failure|premium_pricing_failure|yield_loss|capex_burden,unit_economics_positive|customer_contract|energy_cost_control|fcf_conversion,energy_cost_failure|capex_burden|premium_pricing_failure|shutdown|chapter11,false,false,Vertical farming is separated from smart-farm automation because unit economics can break the whole thesis.
AGRI_MACHINERY_PRECISION_CYCLE,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_PRECISION_CYCLE,WATCH_YELLOW_FIRST,16,13,10,10,9,1,5,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|right_to_repair_lawsuit,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,farm_income|financing_cost|replacement_cycle|right_to_repair|dealer_inventory,false,false,"Autonomous farm equipment still needs farm-income, financing, adoption, and software attachment checks."
AGRI_MACHINERY_SOFTWARE_LOCKIN,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_SOFTWARE_LOCKIN,WATCH_YELLOW_FIRST,16,14,9,11,9,1,5,software_enabled_equipment|precision_agriculture_platform|dealer_network_lockin|repair_software,software_attach_rate|service_revenue|farmer_roi|authorized_service_revenue,recurring_software_or_service|low_regulatory_risk|customer_retention|fcf_conversion,software_lockin_multiple_expansion|right_to_repair_risk_ignored,right_to_repair_lawsuit|repair_monopoly_allegation|settlement_cost|ftc_lawsuit|customer_backlash,software_attach_rate|service_revenue|customer_retention|fcf_conversion,right_to_repair|repair_monopoly|ftc_lawsuit|customer_backlash,false,false,Farm-equipment software lock-in earns credit only after right-to-repair and dealer-monopoly risks are checked.
AGRI_LIVESTOCK_FOOD_COMMODITY,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,REDTEAM_FIRST,18,8,14,8,7,0,5,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|price_fixing_investigation|disease_normalization,price_pass_through|cost_stabilization|multi_period_margin_stability,disease_event|feed_cost|weather|price_normalization|government_inquiry,false,false,"Livestock and food commodities are usually cyclical success or RedTeam cases, not structural Green."
ANIMAL_HEALTH_BIOSECURITY,EDUCATION_LIFE_AGRI_MISC,ANIMAL_HEALTH_BIOSECURITY,WATCH_YELLOW_FIRST,18,16,8,11,9,0,5,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused|trade_restriction,government_purchase_contract|repeat_vaccination|recurring_revenue|fcf_conversion,emergency_license|one_off_stockpile|government_policy_uncertain|outbreak_normalization,false,false,"Animal-health can improve after approval and stockpile demand, but one-off outbreak risk remains."
EDUCATION_SPECIALTY_SERVICES,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,17,16,5,12,10,2,5,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|paid_conversion|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion|ai_disruption_defense,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|bookings_miss|subscriber_decline|cac_spike|bankruptcy,enterprise_contract|completion_rate|student_roi|opm_improvement|fcf_conversion,ai_disruption|cac|completion_rate|student_roi|debt|bookings_miss,false,false,"Education needs monetization, outcomes, retention, and margin; user growth alone is weak."
EDTECH_AI_DISRUPTION,EDUCATION_LIFE_AGRI_MISC,EDTECH_AI_DISRUPTION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_tutor|ai_answer_engine|homework_help_ai|traffic_risk,ai_defense_contract_or_productivity_needed,normally_blocked_if_core_service_substituted,ai_education_theme_crowded|user_growth_before_monetization,ai_substitutes_core_service|traffic_decline|subscriber_decline|bookings_miss|layoff|strategic_review,b2b_contract|completion_rate|student_roi|fcf_conversion,ai_substitution|traffic_decline|subscriber_decline|bookings_miss|cac_spike,true,false,"AI education is a feature only if it supports outcomes; if it substitutes the core service, it is a RedTeam gate."
ONLINE_EDUCATION_OPM_DISTRESS,EDUCATION_LIFE_AGRI_MISC,ONLINE_EDUCATION_OPM_DISTRESS,REDTEAM_FIRST,10,8,4,8,5,0,5,online_degree_platform|bootcamp_growth|opm_revenue_share|edtech_platform,student_roi|completion_rate|partner_retention|fcf_conversion|debt_reduction,repeat_contracts|low_debt_stress|regulatory_compliance|fcf_conversion,online_education_platform_premium|growth_priced_before_roi,chapter11|high_leverage|student_roi_failure|regulatory_scrutiny|partner_concentration_failure,student_roi|completion_rate|partner_retention|fcf_conversion,debt|student_roi|regulatory_oversight|partner_concentration|chapter11,false,false,"Online OPM platforms need student ROI, completion, partner retention, and debt checks before any rerating claim."
HOME_CHILD_EDUCATION,EDUCATION_LIFE_AGRI_MISC,HOME_CHILD_EDUCATION,REDTEAM_FIRST,15,11,5,10,8,0,5,kids_product|learning_material|premium_childcare|overseas_expansion,repeat_subscription|export_channel|premium_mix|inventory_control,low_birthrate_offset|recurring_revenue|fcf_conversion,premium_kids_theme_crowded,low_birthrate|tam_decline|inventory_build|regulatory_risk,repeat_subscription|export_channel|low_birthrate_offset|fcf_conversion,birthrate_decline|tam_shrink|inventory|policy_risk,false,false,Kids/home education faces low-birthrate TAM risk unless export or subscription economics offset it.
HOME_LIVING_APPLIANCE_RENTAL,EDUCATION_LIFE_AGRI_MISC,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,18,16,6,12,11,2,5,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,rental_churn_stable|recurring_service_revenue|opm_fcf_improvement|overseas_margin,replacement_cycle|housing_turnover|churn|hardware_only|dividend_suspension,false,false,"Rental/care revenue can improve quality, but hardware replacement cycles and churn must be checked."
SERVICE_KIOSK_SELF_CHECKOUT,EDUCATION_LIFE_AGRI_MISC,SERVICE_KIOSK_SELF_CHECKOUT,WATCH_YELLOW_FIRST,15,13,7,10,8,0,5,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|employee_workload|one_off_hardware_sales,maintenance_revenue|payment_fee_revenue|loss_prevention_effect|recurring_service_revenue,theft|customer_friction|retailer_retreat|employee_workload|one_off_hardware,false,false,Kiosk adoption needs service/fee economics; installation count alone is not productivity proof.
CONSUMER_REGULATED_PRODUCT,EDUCATION_LIFE_AGRI_MISC,CONSUMER_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,18,15,8,12,10,0,5,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy|public_health_backlash,sales_authorization|channel_access|repeat_consumption|regulatory_stability,public_health|social_backlash|legal_conflict|license_scope|youth_usage,false,false,"Regulated consumer products can rerate on approval, but scope and public-health risks stay high."
NICOTINE_ALTERNATIVE_REGULATED,EDUCATION_LIFE_AGRI_MISC,NICOTINE_ALTERNATIVE_REGULATED,WATCH_YELLOW_FIRST,17,14,8,11,9,0,5,e_cigarette|nicotine_pouch|fda_enforcement_easing|reduced_risk_product,sales_authorization|license_scope|authorized_channel|repeat_consumption,regulatory_stability|repeat_revenue|public_health_risk_contained|fcf_conversion,nicotine_policy_relief_rally|approval_scope_ignored,youth_usage_risk|flavored_product_restriction|public_health_warning|unauthorized_product_status|enforcement_reversal,sales_authorization|license_scope|authorized_channel|repeat_consumption,youth_usage|public_health|flavor_restriction|unauthorized_status,false,false,"Nicotine alternatives have repeat-consumption potential, but youth/public-health and authorization scope gates remain hard."
