target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,customer_contract_shipment_visibility,bottleneck_pricing,early_price_validation,information_confidence,capital_discipline_fcf,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
HBM_BONDER_EQUIPMENT_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,HBM_BONDER_EQUIPMENT_KOREA,GREEN_POSSIBLE,24,22,20,12,8,6,8,hbm_demand|tc_bonder|advanced_packaging_equipment|hbm_packaging_bottleneck,sk_hynix_contract|contract_value|recent_contract_sum|micron_potential_customer,op_eps_revision|customer_diversification|repeat_orders|equipment_margin|60d_mfe_20pct,rapid_rally|hbm_bonder_consensus_crowded|valuation_peer_top_quartile,micron_report_not_finalized|customer_order_delay|margin_miss|single_customer_concentration,confirmed_contract|customer_diversification|op_eps_revision|equipment_margin|price_path_aligned,unconfirmed_media_report|valuation_crowding|single_customer|shipment_delay,unconfirmed_report|valuation_crowding|customer_concentration,false,false,"Hanmi-style HBM bonder can be Stage 3-capable, but unconfirmed customer reports and rapid rerating create 4B/cap pressure."
ADVANCED_PACKAGING_EQUIPMENT_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,ADVANCED_PACKAGING_EQUIPMENT_KOREA,WATCH_YELLOW_FIRST,22,21,18,11,8,6,8,advanced_packaging|post_process_tool|hbm_packaging|customer_capex,customer_order|shipment_schedule|equipment_revenue_conversion|customer_qualification,repeat_order|op_eps_revision|customer_diversification|margin_visible,packaging_tool_theme_crowded|order_priced_before_shipment,customer_capex_cut|qualification_delay|shipment_delay|order_pushout,orders|shipment|revenue_conversion|op_eps_revision,customer_order_missing|shipment_delay|qualification_delay|capex_cut,order_visibility|shipment_schedule|customer_capex,false,false,Advanced packaging equipment stays Watch-to-Green; actual customer orders and shipment-to-revenue conversion gate conviction.
AI_SERVER_PCB_MLB_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,AI_SERVER_PCB_MLB_KOREA,GREEN_POSSIBLE,23,22,18,12,8,6,7,ai_server_pcb|high_layer_mlb|accelerator_board|data_center_networking_board,ai_server_exposure|order_visibility|capacity_expansion|customer_qualification,high_layer_mlb_revenue|op_eps_revision|customer_diversification|pricing_power,price_300_500pct|pcb_consensus_crowded|valuation_saturation,customer_concentration|inventory_build|order_delay|op_eps_revision_down,order_visibility|op_eps_revision|customer_diversification|capacity_constraint|price_path_aligned,customer_detail_missing|valuation_crowding|inventory|single_customer,price_300_500pct|customer_concentration|inventory,false,false,AI server PCB can be a real rerating path before a large move; after a 300-500% move it becomes 4B-watch unless revisions keep up.
SEMICONDUCTOR_TEST_SOCKET_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,SEMICONDUCTOR_TEST_SOCKET_KOREA,WATCH_YELLOW_FIRST,22,20,16,11,8,6,9,ai_chip_testing|test_socket|probe_pin|high_frequency_socket,customer_qualification|socket_mix_improvement|ai_chip_testing_exposure|early_price_path,op_eps_revision|high_margin_socket_mix|repeat_order|customer_detail_verified,ai_test_socket_multiple_crowded|price_70pct_before_detail,customer_detail_missing|order_delay|op_eps_revision_missing|valuation_crowding,high_margin_socket|op_eps_revision|repeat_order|customer_detail,customer_detail_missing|revision_missing|valuation_crowding,valuation_crowding|customer_detail_missing,false,false,"High-quality test socket names can be Stage 2.5/3 candidates, but price reaction alone cannot create Green."
HBM_TEST_EQUIPMENT_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,HBM_TEST_EQUIPMENT_KOREA,WATCH_YELLOW_FIRST,22,21,18,11,8,6,8,hbm_test|cube_prober|memory_test_handler|wafer_level_test,actual_customer_order|shipment_schedule|test_equipment_backlog|hbm_test_exposure,customer_order_conversion|op_eps_revision|shipment_to_revenue|margin_visible,test_equipment_theme_crowded|order_priced_before_delivery,order_missing|shipment_delay|customer_capex_cut|op_eps_revision_down,customer_order|shipment_schedule|op_eps_revision|margin_visible,actual_order_missing|shipment_delay|single_customer|capex_cut,order_missing|shipment_delay|customer_capex,false,false,"HBM test equipment is a Stage 2 watch until customer order, shipment, and OP/EPS conversion are explicit."
SYSTEM_SEMI_FOUNDARY_OPTION_KOREA,AI_SEMICONDUCTOR_ELECTRONICS,SYSTEM_SEMI_FOUNDARY_OPTION_KOREA,WATCH_YELLOW_FIRST,18,18,12,9,8,6,9,system_semi_policy|foundry_support|legacy_chip|reram_license,government_foundry_plan|technology_license|tapeout_option|fabless_support,customer_wafer_revenue|utilization_improvement|op_eps_revision|mass_production_revenue,policy_option_priced|technology_license_fully_priced,customer_revenue_missing|op_eps_revision_missing|policy_delay|license_not_commercialized,customer_wafer_revenue|utilization|op_eps_revision|commercial_revenue,policy_only|technology_license_only|revenue_missing|revision_missing,policy_only|license_only|customer_revenue_missing,false,false,"Policy and ReRAM license are Stage 1/2 options. Stage 3 waits for wafer revenue, utilization, and OP/EPS evidence."
AI_CHIP_FABRIC_PRIVATE_RELATED,AI_SEMICONDUCTOR_ELECTRONICS,AI_CHIP_FABRIC_PRIVATE_RELATED,REDTEAM_FIRST,14,14,12,8,8,6,6,private_ai_chip|npu|rebellions|sapeon|government_investment,private_company_merger|mass_production|government_investment|related_listed_company,listed_company_direct_revenue|equity_method_income|customer_contract|repeat_shipment,related_stock_price_priced_before_eps|private_valuation_crowded,direct_earnings_link_missing|related_stock_only|mou_only|shipment_missing,direct_revenue|equity_method_income|customer_contract|shipment,direct_earnings_link_missing|private_valuation_only|related_stock_only,direct_link_missing|private_valuation|related_stock_only,false,false,"Private AI-chip ecosystem evidence can route research, but listed-company Stage 3 requires direct revenue or equity-method link."
ON_DEVICE_AI_THEME,AI_SEMICONDUCTOR_ELECTRONICS,ON_DEVICE_AI_THEME,REDTEAM_FIRST,16,14,10,10,8,6,6,on_device_ai|npu|smartphone_ai|edge_ai|cxl_or_low_power_memory_theme,design_win|adoption_signal|technical_license|customer_pilot,design_win_revenue|op_eps_revision|repeat_customer_order|customer_detail_verified,on_device_ai_theme_crowded|price_only_theme,adoption_missing|direct_revenue_missing|op_eps_revision_missing|customer_detail_missing,design_win_revenue|customer_order|op_eps_revision,theme_only|direct_revenue_missing|adoption_missing,theme_only|revenue_missing|customer_missing,false,false,On-device AI is research routing until actual design-win revenue and revisions appear.
MOU_OR_REPORT_NOT_CONTRACT,AI_SEMICONDUCTOR_ELECTRONICS,MOU_OR_REPORT_NOT_CONTRACT,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,cap,media_report|mou|loi|possible_deal|if_finalized,report_or_negotiation_confirmed|details_unconfirmed,not_green_until_final_contract_customer_amount_delivery_margin_visible,report_priced_as_contract|headline_rally,final_contract_missing|customer_unknown|amount_unknown|delivery_unknown|margin_unknown,,final_contract_missing|unconfirmed_report|terms_undisclosed,mou_or_report_only|detail_missing|customer_unknown,true,false,"Media reports, MOU, or possible deals are supporting Stage 2 evidence only. They cannot create Stage 3-Green."
DISCLOSURE_CONFIDENCE_CAP,AI_SEMICONDUCTOR_ELECTRONICS,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,+,cap,cap,opendart_list_only|contract_headline|high_signal_disclosure|ai_component_report,detail_fetched|contract_amount|counterparty|delivery_schedule|margin_detail,multi_source_confirmation|contract_terms_verified|shipment_or_revenue_detail|margin_visible,undisclosed_ai_contract_theme_crowded,detail_missing|contract_amount_missing|customer_missing|duration_missing|margin_unknown,contract_terms|customer_name|shipment_schedule|margin_visible,detail_missing|contract_terms_missing|customer_missing|margin_unknown,disclosure_confidence_capped|detail_missing,false,false,OpenDART list-only or headline-only evidence cannot support Stage 3-Green.
