case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_innovation_refining_spread_turnaround_case,REFINING_SPREAD_TURNAROUND_KOREA,096770,SK이노베이션 refining spread turnaround,KR,success_candidate,REFINING_SPREAD_TURNAROUND_KOREA,WATCH_YELLOW_FIRST,q1_op_2_2tn_krw|consensus_beat|refining_margin_recovery|middle_east_supply_disruption|diesel_jet_fuel_shortage,battery_drag|petrochemical_drag|recovery_duration_warning|cycle_peak_risk,stage2_strong_to_stage3_only_if_ex_inventory_op_fcf_and_drag_reduction_align,needs_ex_inventory_op_fcf_drag_price_backfill,false,"SK Innovation is Stage 2 strong; Stage 3 waits for ex-inventory OP, FCF, spread durability, and battery/petrochemical drag reduction."
sk_innovation_refining_cycle_peak_4b_case,COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,096770,SK이노베이션 refining margin cycle peak watch,KR,4b_watch,COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,REDTEAM_FIRST,refining_margin_spike|war_supply_disruption|jet_fuel_diesel_shortage|op_beat,event_supply_disruption_reversal|margin_normalization|price_rally_before_fcf|cycle_peak_risk,refining_margin_event_rally_requires_4b_watch_if_price_outruns_fcf,needs_120d_mfe_revision_spread_normalization_backfill,false,A strong refining OP beat can become 4B-watch when war-driven disruption and crack spreads normalize before FCF becomes durable.
lotte_hd_hyundai_ncc_capacity_cut_stage2_case,NCC_CAPACITY_CUT_STAGE2,011170/267250/004000,롯데케미칼·HD현대케미칼 대산 NCC 구조조정,KR,success_candidate,NCC_CAPACITY_CUT_STAGE2,WATCH_YELLOW_FIRST,daesan_ncc_integration|1_1m_ton_shutdown|3_year_halt|2tn_krw_government_support|1_2tn_krw_capital_injection,spread_recovery_not_confirmed|china_oversupply|fcf_not_confirmed|new_capacity_offsets_cut,stage2_strong_but_green_blocked_before_spread_utilization_op_fcf,needs_spread_utilization_op_fcf_price_backfill,false,"Daesan NCC capacity cut is Stage 2 strong; Stage 3 waits for product spread, utilization, OP, and FCF recovery."
lg_chem_hanwha_dl_yncc_plan_submission_stage2_case,PETROCHEMICAL_RESTRUCTURING_KOREA,051910/009830/DL_CHEM/YNCC,LG화학·한화솔루션·DL케미칼 / YNCC restructuring plan,KR,success_candidate,PETROCHEMICAL_RESTRUCTURING_KOREA,WATCH_YELLOW_FIRST,restructuring_plan_submitted|ncc_capacity_cut_direction|government_pressure|25pct_capacity_cut_goal,plan_detail_missing|cashflow_effect_unknown|china_oversupply|impairment_risk,plan_submission_is_stage2_not_green_before_detail_spread_fcf,needs_plan_detail_capacity_cut_spread_fcf_backfill,false,"Plan submission is Stage 2 evidence, not Green before concrete shutdowns, spread recovery, OP/EPS revision, and cash-flow effects."
lg_chem_nav_governance_restructuring_stage2_case,SPECIALTY_CHEM_GOVERNANCE_RESTRUCTURING,051910,LG화학 NAV discount / governance restructuring,KR,success_candidate,SPECIALTY_CHEM_GOVERNANCE_RESTRUCTURING,WATCH_YELLOW_FIRST,nav_discount_73pct|palliser_activism|board_refresh_buyback_request|lges_stake_sale_2tn_krw|debt_reduction_use,petrochemical_drag|actual_buyback_missing|cashflow_effect_unknown|capital_allocation_not_executed,stage2_governance_option_not_green_before_buyback_fcf_drag_reduction,needs_buyback_debt_fcf_nav_price_backfill,false,"LG Chem is Stage 2 governance/restructuring optionality; Stage 3 needs execution, FCF, debt reduction, and petrochemical drag relief."
soil_shaheen_oversupply_4c_watch_case,NCC_OVERLOAD_SHAHEEN_RISK,010950,S-Oil Shaheen oversupply risk,KR,4c_thesis_break,NCC_OVERLOAD_SHAHEEN_RISK,REDTEAM_FIRST,shaheen_project|aramco_backed_project|1_8m_tpy_ethylene_capacity|2026_completion|q2_operating_loss,new_capacity_worsens_oversupply|spread_dilution|capex_burden|capacity_cut_effect_limited,strategic_asset_but_hard_oversupply_redteam_until_demand_spread_absorb_new_capacity,needs_new_capacity_spread_capex_loss_price_backfill,false,"Shaheen is a strategic asset, but in Korea petrochemical oversupply it is a RedTeam capacity-addition overlay, not Stage 3."
korea_petrochemical_oversupply_hard_cap_case,COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,KOREA_PETROCHEM_SECTOR,한국 석유화학 oversupply hard cap,KR,failed_rerating,COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,REDTEAM_FIRST,10_companies_capacity_cut_agreement|270_370m_ton_cut|up_to_25pct_capacity_cut|government_crisis_label,china_oversupply|demand_weakness|margin_recovery_delayed_to_2027|policy_restructuring_not_green,government_restructuring_is_crisis_admission_until_spread_and_fcf_recover,needs_sector_spread_capacity_cut_fcf_price_backfill,false,"Government restructuring can be Stage 2 evidence, but it begins from crisis recognition and cannot create Green without spread and FCF recovery."
kumho_petrochemical_epdm_tariff_risk_case,SYNTHETIC_RUBBER_TARIFF_RISK,011780,금호석유화학 EPDM tariff risk,KR,failed_rerating,SYNTHETIC_RUBBER_TARIFF_RISK,REDTEAM_FIRST,epdm|synthetic_rubber_product_mix|tire_auto_construction_demand|rubber_spread,china_antidumping_duty|auto_construction_demand_cycle|butadiene_cost_rise|export_exposure,watch_red_until_tariff_demand_spread_opm_and_fcf_are_cleared,needs_tariff_spread_export_demand_price_backfill,false,"Kumho Petrochemical remains Watch/Red until tariff, China demand, rubber spread, OPM, and FCF are cleared."
kumho_tire_gwangju_fire_hard_4c_case,TIRE_RUBBER_PRODUCTION_DISRUPTION,073240,금호타이어 광주공장 화재 생산차질,KR,4c_thesis_break,TIRE_RUBBER_PRODUCTION_DISRUPTION,REDTEAM_FIRST,gwangju_factory_fire|production_halt|12m_tire_capacity|20pct_global_capacity|share_price_minus_8pct|revenue_target_cut_risk,factory_fire|production_halt|capacity_loss_20pct|customer_supply_disruption|revenue_target_cut_risk,major_factory_fire_is_hard_4c_even_if_rubber_spread_or_tire_demand_look_favorable,needs_fire_recovery_customer_supply_revenue_price_backfill,false,A large tire production disruption is a hard operational 4C overlay; one factory event can break the price path.
r4_loop12_disclosure_confidence_reference_case,DISCLOSURE_CONFIDENCE_CAP,R4_DISCLOSURE_CAP,R4 Loop 12 spread / restructuring detail confidence reference,KR,failed_rerating,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,watch_disclosure_detail_required|product_spread_required|capacity_cut_amount_required|opm_fcf_required|plan_detail_required,opendart_list_only|media_report_only|plan_detail_missing|spread_missing|opm_unknown,list_media_policy_restructuring_plan_only_cannot_create_green,needs_opendart_detail_spread_opm_fcf_backfill,false,"R4 Loop 12 requires detail fetch and forbids invented missing spread, capacity cut, utilization, OPM, FCF, and stage price fields."
