target_id,canonical_archetype,priority,positive_count,counterexample_count,total_count,missing_positive_cases,missing_counterexamples,price_gap_count,readiness_status,recommended_next_step,must_have_evidence,red_flag_evidence,planned_queries
K_BEAUTY_OEM_ODM_EXPORT,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_VALIDATION,4,4,8,0,0,7,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,export_growth|channel_expansion|repeat_orders|opm_roe_improvement,china_dependency|channel_stuffing|receivables_growth_without_cash,K뷰티 ODM 수출 OPM ROE PDF|화장품 미국 일본 채널 확장 반복 주문 리포트
MEDICAL_DEVICE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_VALIDATION,1,2,3,1,0,3,needs_success_counterexample_deep_search,add_missing_success_or_counterexample_cases,export_countries|approval_or_registration|consumable_or_repeat_revenue|opm_fcf,single_device_no_consumable|approval_delay|channel_inventory,의료기기 수출 소모품 반복매출 OPM PDF|미용의료기기 허가 수출국 확장 리포트
CDMO_CONTRACT_UTILIZATION,CDMO_HEALTHCARE_CONTRACT,GREEN_VALIDATION,3,3,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,underutilization|contract_delay|quality_issue|customer_concentration,CDMO 장기계약 가동률 FCF 리포트|바이오의약품 위탁생산 capacity utilization PDF
INSURANCE_UNDERWRITING_VALUEUP,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_VALIDATION,0,2,2,2,0,2,needs_success_counterexample_deep_search,add_missing_success_or_counterexample_cases,roe|capital_ratio|credit_or_loss_cost|shareholder_return_execution,low_pbr_only|pf_credit_cost|capital_ratio_down,손해보험 ROE CSM 주주환원 리포트|금융지주 ROE PBR CET1 자사주 소각 PDF
AI_DATA_CENTER_POWER_GRID,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_VALIDATION,2,1,3,0,1,3,needs_success_counterexample_deep_search,add_missing_success_or_counterexample_cases,confirmed_order|power_or_cooling_bottleneck|op_eps_revision|capacity_constraint,ai_keyword_only|no_confirmed_order|customer_capex_cut,AI 데이터센터 전력 설비 수주 EPS 상향 PDF|AI 서버 PCB 전력망 병목 리포트
SEMI_EQUIPMENT_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_VALIDATION,1,1,2,1,1,2,needs_success_counterexample_deep_search,add_missing_success_or_counterexample_cases,customer_capex|orders|revenue_conversion|customer_diversification,single_customer_delay|capex_cut|theme_without_order,HBM 장비 수주 고객사 CAPEX 리포트|AI 서버 PCB 수주 매출 전환 PDF
BATTERY_EV_OVERHEAT_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_DEFENSE,1,5,6,1,0,5,needs_success_counterexample_deep_search,add_counterexamples_and_4b_4c_cases_first,contract_quality|price_pass_through|fcf_after_capex|demand_visibility,ev_demand_slowdown|capa_overbuild|mineral_price_down|valuation_heat,2차전지 EV 수요 둔화 CAPA 과잉 리포트|ESS 전환 배터리 가동률 마진 PDF
CHEMICAL_SPREAD_OVERSUPPLY,COMMODITY_SPREAD,REDTEAM_DEFENSE,2,4,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,product_spread|inventory_status|capacity_discipline|op_eps_revision,china_oversupply|spread_reversal|inventory_loss|demand_slowdown,석유화학 중국 공급과잉 영업손실 리포트|화학 spread reversal inventory loss PDF
CONSTRUCTION_PF_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_DEFENSE,0,5,5,2,0,5,needs_success_counterexample_deep_search,add_counterexamples_and_4b_4c_cases_first,pf_exposure|cash_flow|cost_ratio|credit_risk,pf_stress|unsold_inventory|liquidity_support_only|cost_overrun,건설 PF 리스크 현금흐름 원가율 리포트|해외 플랜트 수주 마진 PF 부실 PDF
SHIPPING_FREIGHT_BOOM_BUST,SHIPPING_FREIGHT_CYCLE,REDTEAM_DEFENSE,1,1,2,1,1,1,needs_success_counterexample_deep_search,add_counterexamples_and_4b_4c_cases_first,freight_rate|contract_vs_spot|vessel_supply|op_eps_revision,spot_rate_collapse|overcapacity|new_vessel_supply|demand_slowdown,해운 운임 overcapacity 4C 리포트|컨테이너 운임 계약운임 spot rate PDF
DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_DEFENSE,1,6,7,1,0,7,needs_success_counterexample_deep_search,add_counterexamples_and_4b_4c_cases_first,regulated_revenue|license_or_partner|transaction_volume|cash_flow,law_headline_only|no_revenue|security_risk|theme_price_only,스테이블코인 STO 규제 수익모델 거래량 리포트|토큰증권 실제 매출 라이선스 PDF
ROBOTICS_REVENUE_CONVERSION,ROBOTICS_FACTORY_AUTOMATION,REDTEAM_DEFENSE,0,2,2,2,0,2,needs_success_counterexample_deep_search,add_counterexamples_and_4b_4c_cases_first,customer_order|revenue_conversion|repeat_revenue|opm_improvement,mou_only|tam_without_revenue|valuation_overheat|order_delay,로봇 수주 매출 전환 OPM 리포트|휴머노이드 로봇 TAM 무실적 테마 반례
PLATFORM_GOVERNANCE_MONETIZATION,PLATFORM_SOFTWARE_INTERNET,REDTEAM_DEFENSE,3,3,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,arpu|take_rate|opm|fcf|governance_risk_low,mau_only|ai_cost_overrun|legal_governance_issue|regulatory_risk,플랫폼 ARPU OPM FCF 거버넌스 리스크 리포트|카카오 거버넌스 리스크 valuation rerating 반례
WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,THIN_BACKFILL,1,3,4,1,0,4,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,processing_volume|utilization|pricing|fcf_after_capex,policy_headline_only|capex_without_fcf|utilization_down,폐기물 재활용 처리량 가동률 FCF 리포트|폐배터리 재활용 volume utilization margin PDF
CRO_CLINICAL_SERVICE,CDMO_HEALTHCARE_CONTRACT,THIN_BACKFILL,3,3,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,service_contract|clinical_volume|utilization|opm_fcf_conversion,trial_delay|customer_concentration|volume_without_margin,CRO 임상서비스 계약 물량 가동률 리포트|임상시험 수탁 서비스 OPM FCF PDF
DIGITAL_HEALTHCARE_AI,MEDICAL_DEVICE_HEALTHCARE_EXPORT,THIN_BACKFILL,1,2,3,1,0,3,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,approval|reimbursement_or_paid_usage|recurring_revenue|hospital_adoption,pilot_only|no_reimbursement|ai_keyword_only,디지털 헬스케어 AI 허가 수가 병원 도입 리포트|의료 AI 반복매출 OPM PDF
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,THIN_BACKFILL,3,3,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,딥페이크 보안 반복계약 규제수요 리포트|IT보안 매출 성장 OPM recurring contract PDF
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,THIN_BACKFILL,3,3,6,0,0,6,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|churn,클라우드 AI SaaS recurring revenue ARPU OPM 리포트|AI 소프트웨어 유료 사용량 FCF PDF
APPAREL_BRAND_OEM,EXPORT_RECURRING_CONSUMER,THIN_BACKFILL,1,2,3,1,0,2,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,order_visibility|brand_momentum|inventory_status|opm_improvement,inventory_build|single_brand_fad|margin_squeeze,의류 OEM 주문 재고 OPM 리포트|의류 브랜드 수출 반복주문 inventory PDF
BUILDING_MATERIALS_CYCLE,CONSTRUCTION_REAL_ESTATE_CREDIT,THIN_BACKFILL,0,5,5,2,0,5,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,volume|price_pass_through|cost_spread|cash_flow,construction_slowdown|cost_inflation|pf_exposure,건자재 가격전가 원가 스프레드 리포트|시멘트 건자재 물량 현금흐름 PDF
REIT_DEVELOPMENT_TRUST,HOLDING_RESTRUCTURING_GOVERNANCE,THIN_BACKFILL,0,3,3,2,0,3,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,occupancy|rental_income|refinancing_cost|nav_discount,rate_up|vacancy_up|asset_impairment|refinancing_stress,리츠 임대율 차입 리파이낸싱 NAV 리포트|부동산신탁 credit risk 배당 PDF
RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,THIN_BACKFILL,4,1,5,0,1,1,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,funded_project|confirmed_order|delivery_schedule|margin_visibility,policy_headline_only|project_delay|low_margin_order,철도 인프라 수주 funded project margin 리포트|철도 차량 신호 시스템 장기계약 PDF
SERVICE_KIOSK_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,THIN_BACKFILL,0,2,2,2,0,2,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,installed_base|recurring_service_revenue|maintenance_margin|customer_retention,hardware_one_time_sale|churn|low_margin_installation,키오스크 자동화 반복 서비스 매출 OPM 리포트|서비스 자동화 유지보수 매출 PDF
URBAN_AIR_DRONE,DEFENSE_GOVERNMENT_BACKLOG,THIN_BACKFILL,2,1,3,0,1,3,needs_success_counterexample_deep_search,add_2_positive_and_2_counterexample_case_candidates,government_or_commercial_order|revenue_conversion|regulatory_approval,mou_only|regulatory_delay|tam_without_revenue,드론 방산 수주 매출 전환 리포트|UAM 규제 승인 상업 수주 PDF
POLICY_EVENT_DISASTER_THEMES,ONE_OFF_EVENT_DEMAND,EVENT_POLICY_GUARDRAIL,0,3,3,0,0,2,needs_price_path_validation,backfill_stage_prices_mfe_mae_before_shadow_weight_review,binding_policy_or_contract|revenue_visibility|funding|duration,headline_only|temporary_demand|no_revenue|policy_delay,정책 이벤트 테마 매출화 실패 반례|전염병 진단 일회성 수요 EPS 정상화 사례
