target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
SECURITIES_BROKERAGE_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,18,14,5,15,18,8,5,trading_value_growth|equity_market_rally|ipo_ib_recovery_expectation|value_up_expectation,brokerage_revenue_growth|ib_fee_growth|capital_ratio_stable|op_eps_revision,repeat_turnover_or_ib_recovery|pf_risk_low|roe_structure_improves|shareholder_return_capacity,market_turnover_peak|brokerage_group_overheated|ipo_expectation_priced,trading_value_collapse|pf_loss|proprietary_loss|capital_ratio_down,brokerage_revenue_growth|ib_pipeline|capital_ratio_stable|pf_risk_low|roe_improvement,short_lived_trading_spike|pf_loss|proprietary_loss|vc_exit_market_weakness,false,"Brokerage is Watch-first: turnover can lift EPS quickly, but durability is weaker than banks or insurers."
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,15,21,4,15,25,10,5,low_pbr|value_up_disclosure|loss_ratio_improvement|dividend_or_buyback_expectation,roe_improvement|csm_growth|k_ics_stable|loss_ratio_stable|shareholder_return_execution,pbr_roe_frame_change|repeat_shareholder_return|underwriting_profit_stable|value_trap_frame_still_used,pbr_normalized|insurance_value_up_crowded|shareholder_return_expectation_priced,loss_ratio_worsens|capital_ratio_down|cyber_operational_risk|shareholder_return_retreat,loss_ratio_stability|csm_or_roe_improvement|capital_ratio_stable|shareholder_return_execution,low_pbr_only|capital_return_limited|cyber_operational_risk|pf_or_alternative_investment_loss,false,"Insurance is PBR-ROE-shareholder return rerating, not EPS explosion; capital and underwriting quality dominate."
EDUCATION_SPECIALTY_SERVICES,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,18,17,5,12,12,2,5,exam_policy_change|student_count_or_price_up|education_spending_growth,repeat_revenue|opm_improvement|adult_or_online_expansion|fcf_improvement,adult_overseas_b2b_subscription_offsets_birthrate|pricing_power|traditional_hagwon_frame,exam_theme_overheated|policy_expectation_priced,private_education_regulation|student_decline|price_cut|ai_substitution,repeat_revenue|adult_or_overseas_expansion|opm_improvement|fcf_improvement,birthrate_decline|regulation|ai_substitution|offline_fixed_cost,false,"Education stays Watch-first unless adult, overseas, B2B, or subscription revenue offsets birthrate/regulation risk."
RETAIL_ECOMMERCE_LOGISTICS,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,18,16,5,13,14,3,5,same_store_sales_recovery|store_expansion|pb_product_news|listing_or_stake_event,opm_improvement|inventory_normalization|cost_leverage|fy1_fy2_op_revision,store_efficiency_change|cold_chain_repeat_contracts|fcf_improvement|old_domestic_retail_frame,consumer_recovery_priced|store_growth_limit|rent_or_labor_pressure,inventory_increase|online_competition|consumer_slowdown|logistics_cost_up,opm_improvement|inventory_normalization|cost_leverage|fcf_improvement,inventory|logistics_cost|competition|fresh_ecommerce_loss,false,"Retail/logistics needs OPM and FCF, not revenue growth alone; fresh e-commerce and home shopping stay conservative."
BUILDING_MATERIALS_REIT,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,17,12,12,12,12,5,5,price_hike|housing_start_recovery|rate_down|dividend_appeal,opm_improvement|shipment_recovery|cost_stability|dividend_stability,supply_rationalization|pricing_power|repeat_rental_income|low_debt_risk,property_recovery_priced|dividend_theme_overheated,pf_stress|housing_starts_down|vacancy_up|dividend_cut|cost_up,price_pass_through|volume_recovery|cost_stability|credit_risk_contained,pf_stress|rates_up|vacancy_up|dividend_cut|cost_up,false,"Building materials/REITs are Green-restricted because PF, rates, vacancy, and dividend coverage can dominate."
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,20,23,8,16,14,0,5,cloud_transition|erp_saas_demand|ai_feature_launch|b2b_customer_growth,recurring_revenue_growth|arpu_up|opm_improvement|retention_confirmed,customer_lock_in|high_fcf_conversion|pricing_power|old_software_frame,saas_ai_narrative_overheated|multiple_saturation,churn|ai_cost_overrun|opm_decline|competition_intensifies,recurring_revenue|arpu|retention|opm_or_fcf_improvement,ai_feature_only|ai_cost_overrun|churn|si_revenue_only,false,"Cloud/SaaS is Green-possible only through recurring revenue, OPM, and FCF, not AI wording."
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,18,20,8,12,12,0,5,clinical_trial_count_growth|pharma_rd_growth|order_backlog_growth,sales_op_growth|customer_diversification|repeat_service_revenue,multi_year_backlog|customer_portfolio_diversified|high_fcf_conversion,b|i|o|t|e|c|h|_|r|d|_|e|x|p|e|c|t|a|t|i|o|n|_|o|v|e|r|h|e|a|t|e|d,clinical_trial_cut|customer_budget_cut|order_cancellation,service_backlog|customer_diversification|repeat_clinical_service_revenue|opm_improvement,biotech_funding_cycle_down|customer_concentration|trial_delay|low_margin_backlog,false,CRO is weaker than CDMO but more scoreable than pre-revenue biotech when backlog and customer diversity are real.
APPAREL_BRAND_OEM,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,18,16,8,14,12,0,5,overseas_popup|kfashion_collaboration|order_growth|celebrity_ip_collaboration,overseas_sales_growth|inventory_turnover_stable|opm_improvement|customer_diversification,repeat_brand_purchase|global_channel_expansion|fcf_improvement|old_domestic_apparel_frame,brand_hype_overheated|inventory_risk_expands,inventory_increase|discount_sales|channel_slowdown|order_cancellation,overseas_channel_expansion|inventory_turnover|low_discount_rate|opm_improvement,single_fad_brand|inventory_build|discounting|channel_concentration,false,"Apparel remains Watch-first; inventory, markdown, and single-channel risk are heavier than K-food/K-beauty."
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,24,21,19,15,12,0,5,hbm_demand|memory_price_increase|earnings_turnaround,fy1_fy2_fy3_revision|dram_nand_hbm_pricing|supply_discipline|customer_supply_preorder,long_term_contract_or_prepayment|price_band|capacity_constraint|multi_year_revision|cyclical_discount_removed,one_to_two_year_price_surge|multiple_saturation|customer_price_resistance|capex_expansion|global_crowding,memory_price_down|supply_glut|customer_ai_capex_slowdown|consensus_revision_down,hbm_demand|supply_discipline|medium_term_revision|capacity_constraint,capex_reversal|cycle_peak|crowding|price_only_memory_rally,false,"HBM can be Green, but after large rerating it needs strong 4B-watch diagnostics for crowding and capex reversal."
VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_CAPITAL_DIGITAL,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,15,20,5,20,25,10,5,value_up_disclosure|buyback_or_dividend|low_pbr|governance_reform_news,actual_cancellation|repeat_shareholder_return|roe_improvement|nav_discount_narrowing_possible,pbr_roe_or_nav_frame_change|repeat_return_policy|governance_discount_eases,value_up_success_fully_recognized|pbr_normalized|event_premium_reflected,buyback_not_cancelled|subsidiary_value_damage|credit_cost_up|controlling_shareholder_risk,actual_cancellation_or_dividend|roe_or_fcf_improvement|nav_discount_logic|execution_evidence,policy_headline_only|buyback_no_cancel|low_roe_value_trap|governance_risk,false,"Value-up can be Green only when execution, ROE/FCF, and PBR/NAV logic exist; policy expectation is Stage 1 only."
