primary_archetype,count
ADVANCED_PACKAGING_PCB,2
AGRI_COMMODITY_INPUTS,1
AGRI_LIVESTOCK_FOOD_COMMODITY,4
AIRLINE_TRAVEL_CYCLE,1
AI_CHIP_FABRIC_INFRA,3
AI_DATA_CENTER_INFRASTRUCTURE,3
AI_SOFTWARE_APPLICATION,1
APPAREL_BRAND_OEM,3
AUTO_COMPLETED_VEHICLE,1
AUTO_MOBILITY_COMPONENTS,3
BATTERY_EQUIPMENT_PARTS,3
BATTERY_MATERIALS_CAPEX_OVERHEAT,2
BATTERY_RECYCLING_ESS_SHIFT,3
BEAUTY_OEM_ODM_SUPPLYCHAIN,2
BIOTECH_PRE_REVENUE_REGULATORY,6
BIOTECH_ROYALTY_COMMERCIALIZATION,3
BUILDING_MATERIALS_CYCLE,4
CANNABIS_REGULATED_HEALTH,1
CASINO_DUTYFREE_TOURISM,2
CDMO_HEALTHCARE_CONTRACT,2
CHEMICAL_SPREAD,3
CLIMATE_DISASTER_EVENT,1
CLOUD_AI_SOFTWARE_INFRA,2
COMMODITY_SPREAD,1
CONSTRUCTION_REAL_ESTATE_CREDIT,2
CONSUMER_REGULATED_PRODUCT,1
CONTRACT_BACKLOG_INDUSTRIAL,4
CRO_CLINICAL_SERVICE,1
DEFENSE_GOVERNMENT_BACKLOG,3
DIAGNOSTICS_INFECTIOUS_DISEASE,2
DIAGNOSTICS_INFECTIOUS_EVENT,1
DIGITAL_ASSET_TOKENIZATION,3
DIGITAL_HEALTHCARE_AI,4
DISASTER_REBUILD_EVENT,2
DISPLAY_OLED_EQUIPMENT,3
ECOMMERCE_FRESH_LOGISTICS,3
EDUCATION_SPECIALTY_SERVICES,2
ELECTRONIC_COMPONENTS,4
ENERGY_DISTRIBUTION_FUEL,4
EVENT_DISEASE_PEST_DEMAND,3
EV_INFRASTRUCTURE,1
EXPORT_RECURRING_CONSUMER,5
FINANCIAL_SPREAD_BALANCE_SHEET,2
FOOD_AGRI_LIVESTOCK_CYCLE,1
GAME_CONTENT_IP,5
GEOPOLITICAL_RECONSTRUCTION,2
HOLDING_RESTRUCTURING_GOVERNANCE,2
HOME_LIVING_APPLIANCE,4
HYDROGEN_FUEL_CELL,1
HYDROGEN_FUEL_CELL_INFRA,2
INSURANCE_UNDERWRITING_CYCLE,3
K_BEAUTY_EXPORT_DISTRIBUTION,1
MEDIA_AD_CONTENT_CYCLE,1
MEDICAL_DEVICE_HEALTHCARE_EXPORT,4
MEMORY_HBM_CAPACITY,3
METAVERSE_NFT_THEME,2
NONFERROUS_STRATEGIC_METALS,4
NORTH_KOREA_POLICY_EVENT,4
NUCLEAR_SMR_GRID_POLICY,2
PAPER_PACKAGING,2
PAYMENT_FINTECH_INFRA,4
PLATFORM_SOFTWARE_INTERNET,1
POLICY_LOCAL_THEME,1
RAIL_INFRASTRUCTURE,1
RARE_METALS_STRATEGIC_MATERIALS,1
REFINING_OIL_SPREAD,1
REIT_DEVELOPMENT_TRUST,1
RENEWABLE_ENERGY_POLICY,3
RENTAL_USED_CAR_MOBILITY,2
RETAIL_CONVENIENCE_OFFLINE,2
ROBOTICS_FACTORY_AUTOMATION,2
SECURITIES_BROKERAGE_CYCLE,2
SECURITY_IDENTITY_DEEPFAKE,4
SEMI_EQUIPMENT_CAPEX,2
SEMI_MATERIALS_PROCESS,2
SHIPBUILDING_OFFSHORE_BACKLOG,5
SHIPPING_FREIGHT_CYCLE,1
SMART_FACTORY_AUTOMATION,4
SMART_FARM_AGRI_TECH,2
SOLAR_TARIFF_SUPPLYCHAIN,1
SPECULATIVE_SCIENCE_THEME,4
STEEL_METAL_SPREAD,3
THEME_VALUATION_OVERHEAT,1
TIRE_AUTO_COMPONENT_SPREAD,1
TRAVEL_LEISURE_REOPENING,3
URBAN_AIR_DRONE,1
VALUE_UP_SHAREHOLDER_RETURN,2
WASTE_RECYCLING_ENVIRONMENT,1
