target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
BANK_HOLDING_VALUEUP_CAPITAL_RETURN_KOREA,bank_low_pbr|korea_discount|valueup_policy|buyback_or_dividend_expectation,net_profit_growth|shareholder_return_execution|cet1_stable|credit_cost_stable|pbr_roe_band_watch,roe_stable_or_improving|repeat_return_policy|cet1_after_return_stable|credit_cost_pf_controlled|pbr_roe_band_change,bank_valueup_crowded|pbr_band_above_history|return_policy_fully_priced,credit_cost_spike|pf_loss|cet1_deterioration|return_policy_retreat,credit_cost|cet1|pf_exposure|return_execution|valueup_crowding,false,false
BANK_ROE_PBR_RERATING_KOREA,low_pbr_bank_leader|financial_valueup_rally|foreign_inflow,roe_improves|record_net_profit|actual_cancel_or_dividend|pbr_band_starts_up,roe_pbr_frame_change|credit_cost_stable|repeat_capital_return|financial_basket_relative_strength,pbr_band_upper_break|leader_stock_everyone_knows|return_execution_fully_priced,roe_down|pbr_rerating_reverses|credit_cost_spike|capital_ratio_hit,roe_quality|credit_cost|pbr_crowding,false,false
BANK_CREDIT_COST_PF_OVERLAY,pf_exposure_watch|real_estate_credit_risk|reserve_build,credit_cost_stable|pf_reserve_adequate,not_green_if_credit_cost_spikes,financial_rally_ignores_pf,pf_credit_cost_spike|reserve_shortfall|capital_raise_pressure|return_policy_cut,pf_exposure|credit_cost|reserve|capital_ratio,true,false
REGIONAL_BANK_HIGH_ROE_VALUEUP,regional_bank_low_pbr|high_dividend|activist_pressure,high_roe|dividend_policy|regional_credit_quality|southeast_asia_subsidiary,credit_cost_stable|repeat_dividend_or_cancel|pbr_band_up|liquidity_discount_eases,small_financial_valueup_basket_spike|trading_value_thin,regional_credit_quality_worse|liquidity_gap|dividend_cut,credit_quality|liquidity|dividend_sustainability,false,false
INSURANCE_CAPITAL_RELEASE_VALUEUP_KOREA,insurance_valueup|dividend_expectation|capital_release,k_ics_stable|csm_quality|loss_ratio_stable|dividend_or_buyback_execution,capital_release_repeatable|roe_improves|k_ics_after_return_stable|csm_margin_quality,insurance_dividend_yield_chasing|kics_csm_not_confirmed_but_price_up,k_ics_drop|csm_quality_damage|loss_ratio_worse|investment_loss,k_ics|csm|loss_ratio|ifrs17,false,false
INSURANCE_KICS_CSM_GATE,insurance_yield_rally|csm_headline|k_ics_headline,k_ics_detail_required|csm_quality_required|loss_ratio_required,not_green_without_kics_csm_loss_ratio,dividend_expectation_before_capital_quality,k_ics_drop|csm_quality_damage|loss_ratio_spike|ifrs17_volatility,k_ics|csm|loss_ratio,true,false
SECURITIES_BROKERAGE_MARKET_BETA,kospi_rally|trading_value_growth|brokerage_beta,brokerage_revenue_growth|margin_lending_growth|ib_pipeline|op_eps_revision,roe_structure_improved|ib_pipeline_durable|pf_risk_low|market_beta_not_only_driver,trading_value_cycle_peak|securities_basket_overheated,trading_value_drop|pf_loss|ib_loss|tax_policy_shock,market_beta|pf_loss|tax_policy|trading_value_cycle,false,false
SECURITIES_IB_PF_RISK_OVERLAY,ib_pf_watch|real_estate_pf_exposure,ib_pipeline|pf_exposure_disclosed,not_green_if_pf_loss_or_ib_impairment,brokerage_rally_ignores_pf,pf_loss|ib_impairment|liquidity_stress|capital_raise,pf|ib_loss|liquidity,true,false
INTERNET_BANK_PROFITABILITY,internet_bank_users|mau|platform_bank_premium,record_profit|non_interest_income_growth|overseas_virtual_bank_option|loan_growth_quality,roe_improves|credit_cost_stable|repeat_non_interest_income|valuation_not_overheated,platform_premium_before_profit|users_without_profit_bodyweight,credit_cost_spike|loan_quality_worse|valuation_derating|overseas_option_delay,valuation|credit_cost|loan_quality|user_count_only,false,false
DIGITAL_ASSET_EXCHANGE_EQUITY_OPTION,dunamu_upbit_stake|digital_asset_option|stablecoin_growth,all_stock_deal_value|exchange_market_share|stock_swap_terms|initial_price_reaction,regulatory_approval|exchange_security_stable|equity_value_transmission|fee_or_stablecoin_revenue,crypto_equity_option_priced_before_approval,abnormal_withdrawal|exchange_hack|regulatory_approval_fail|crypto_volume_decline,security|regulatory|equity_transmission|crypto_volume,false,false
