target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,production_scoring_changed
REFINING_OIL_SPREAD,refining_margin|inventory_gain|oil_price_or_geopolitical_event|logistics_normalization,core_refining_margin|inventory_noise_excluded|op_revision_1q|fcf_margin,repeat_fcf|core_margin_durable|inventory_noise_excluded,refining_margin_peak|inventory_gain_crowded|spread_recovery_fully_priced,refining_margin_drop|inventory_loss|logistics_delay|demand_slowdown,inventory_loss|refining_margin_drop|temporary_crack_spread,inventory_gain_loss|refining_margin|commodity_price,false
CHEMICAL_SPREAD,chemical_spread|product_price_rebound|china_stimulus|inventory_restocking,spread_change_90d|op_revision_1q|capacity_shutdown|inventory_normalization,durable_spread|supply_glut_easing|fcf_margin,chemical_spread_recovery_crowded,china_middle_east_capacity_glut|supply_glut|spread_reversal|inventory_increase|op_fcf_drop,china_middle_east_capacity_glut|spread_reversal|supply_glut|inventory_increase,oversupply|supply_glut|china_middle_east_capacity,false
STEEL_METAL_SPREAD,steel_spread|iron_ore_price|china_output_cut|construction_demand,steel_spread_improvement|cost_cut|op_revision_1q|inventory_normalization,supply_discipline|demand_recovery|fcf_margin,steel_recovery_crowded|dividend_expectation_full,china_exports_surge|construction_demand_weak|iron_ore_price_drop|dividend_cut,chinese_exports|demand_weak|dividend_cut|price_pressure,steel_spread|china_supply|dividend_change,false
NONFERROUS_STRATEGIC_METALS,copper_zinc_aluminum_price|smelting_margin|ai_grid_demand|mine_disruption,smelting_margin|customer_demand|op_revision_1q|fcf_margin,cost_curve_advantage|supply_constraint|fcf_conversion,nonferrous_price_rally_crowded|event_premium_confused_with_fcf,metal_price_drop|china_demand_slowdown|smelting_margin_drop|governance_event_only,metal_price_drop|smelting_margin_drop|event_premium|governance_dispute,smelting_margin|commodity_price|event_premium,false
RARE_METALS_STRATEGIC_MATERIALS,rare_earth_export_control|defense_supply_chain|government_supply_policy|strategic_supply_chain,government_investment|price_floor|offtake_contract|production_capacity|customer_contract,price_floor|offtake_contract|production_ramp|fcf_conversion|policy_support_durable,rare_earth_price_spike_crowded|price_only_rally,project_delay|policy_support_cut|rare_earth_price_drop|execution_failure,no_production_capacity|no_offtake|no_price_floor|project_delay|policy_dependency,price_floor|offtake|government_support|production_capacity,false
LITHIUM_BATTERY_RAW_MATERIAL,lithium_price_rebound|mine_shutdown|ev_or_ess_demand|capex_cut,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,durable_fcf|restart_supply_risk_controlled|low_cost_position,lithium_rebound_crowded,lithium_price_crash|mine_restart|ev_demand_slowdown|capex_cut|supply_rebound,price_crash|mine_restart|ev_demand_slowdown|supply_rebound,lithium_price|mine_shutdown_restart|ev_demand,false
PRECIOUS_METALS_SAFE_HAVEN_MINERS,gold_silver_price|safe_haven_demand|real_rate_drop|mine_output,realized_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|fcf_conversion,record_gold_price_crowded|miner_group_overheat,gold_price_correction|aisc_rise|production_drop|jurisdiction_risk,gold_price_correction|aisc_rise|mine_risk,realized_price|aisc|capital_return,false
ADVANCED_MATERIAL_SPECULATIVE_THEME,superconductor_graphene_mxene_theme|paper_or_lab_result|quantum_material_keyword,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat|paper_only_price_run,no_commercialization|paper_only|no_revenue|dilution,paper_only|no_revenue|theme_only|no_commercialization,commercialization|revenue_conversion|dilution,false
PAPER_PACKAGING_CYCLE,paper_price|corrugated_spread|packaging_mna|plastic_replacement,volume_recovery|price_cost_spread|mna_or_consolidation|cash_return,durable_spread|scale_economics|cash_return,packaging_mna_premium_crowded,low_volume|price_pressure|regulatory_divestiture|mature_industry_limit,low_volume|price_pressure|competition_remedy|mature_industry,packaging_mna|competition_remedy|mature_industry,false
AGRI_COMMODITY_INPUTS,grain_price|feed_cost|weather_event|fertilizer_price|disease_event,price_pass_through|inventory_status|demand_visibility|op_revision_1q,repeat_margin|cost_pass_through|fcf_margin,agri_event_crowded,commodity_cost_reversal|weather_normalization|inventory_loss,weather_event_only|inventory_loss|commodity_reversal,weather|inventory|commodity_cost,false
LNG_ENERGY_TRADING_DISTRIBUTION,lng_long_term_contract|energy_procurement|lpg_distribution|energy_security,long_term_contract|margin_visible|fid_status|inventory_status,repeat_fcf|project_stake|energy_security_value|margin_visible,lng_contract_story_crowded,price_reversal|inventory_loss|tariff_policy_shock|financing_delay|fid_delay,price_reversal|inventory_loss|financing_delay|fid_delay,long_term_contract|fid|margin|inventory,false
GENERAL_TRADING_RESOURCE_INFRA,resource_rights|energy_contract|buyback_dividend|conglomerate_discount_rerating,long_term_offtake|project_stake|fcf|capital_return|valuation_discount,resource_infra_fcf_frame|capital_allocation_execution|valuation_discount_narrows,sogo_shosha_story_crowded|resource_infra_rerating_full,commodity_price_drop|project_delay|capital_allocation_retreat|fx_hit,commodity_cycle|project_delay|capital_allocation_retreat,resource_rights|project_stake|capital_return|valuation_discount,false
ENERGY_UTILITY_LNG_GAS,lng_gas_utility|tariff_or_cost_pass_through|uncollected_receivable_recovery,tariff_visibility|debt_stability|cash_flow_recovery,regulated_cost_pass_through|debt_reduction|capital_return_capacity,gas_utility_turnaround_crowded,tariff_freeze|debt_burden|receivable_growth|policy_risk,tariff_freeze|debt_burden|policy_risk,tariff|receivable|debt|policy,false
