case_id,score_stage,price_path_signal,verdict,normalization_adjustment,production_scoring_changed
mp_materials_dod_price_floor_case,Stage 2 + 4B-watch,rare-earth structure reflected; YTD +275% before offering,"structural capture is right, but valuation already moved",raise offtake/price-floor/government-investment credit; strengthen valuation and capital dilution penalty,false
mp_materials_capital_raise_dilution_case,4C-watch,after-hours -5.8% after $500M common stock offering,capital penalty matched price path,"strengthen capital_raise, dilution, and CAPEX-funding penalty",false
copper_ai_grid_record_high_case,Stage 1~2,copper record high; approximately +40% YoY futures move,"commodity price path matched, but not company-level Green","raise copper bottleneck score; require production, cash cost, FCF, and capital return for Green",false
barrick_record_gold_buyback_case,Stage 2~3 candidate,"net earnings tripled, realized gold price $4,823/oz, AISC $1,708/oz, $3B buyback",earnings path matched; OHLCV backfill still required,raise gold miner EPS/FCF and capital-return credit while keeping cycle cap,false
equinox_orla_gold_jurisdiction_case,Stage 2,Canada-focused M&A; price backfill required,jurisdiction rerating thesis is stage-detectable,keep jurisdiction rerating archetype; penalize all-stock dilution and integration risk,false
korea_zinc_tender_offer_event_case,Event Premium,Korea Zinc +19.8% on tender offer; Young Poong limit-up,event premium separation worked,strengthen event_premium cap before any strategic-metal score is considered,false
korea_zinc_share_issue_probe_case,4C-watch,filing/probe/revision-order path erased prior event premium; -8% filing reaction noted,governance/capital RedTeam matched,"strengthen capital structure, regulator probe, and share issuance gate",false
lg_chem_lotte_chemical_oversupply_case,Stage 4C,OP plunge and losses from China/Middle East oversupply,chemical Green false-positive avoided,lower CHEMICAL_SPREAD and require restructuring/supply closure/FCF recovery,false
lithium_price_86pct_crash_case,Stage 4C / cycle,lithium price down about 86% from 2022 peak,cycle RedTeam is very strong,"keep lithium Stage 3 capped until low-cost position, offtake, FCF defense, and supply-response control are proven",false
indonesia_nickel_hpal_sulfur_squeeze_case,4C-watch,"nickel price rose, but HPAL sulfur input cost and capacity cuts pressured processing economics",price-only rally can be wrong,"add processing input cost, sulfuric acid cost, and refinery-margin fields",false
