priority_rank,archetype,round1_core,stage_posture,positive_count,counterexample_count,status,must_have_fields,red_flag_fields
1,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_ELIGIBLE,3,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
2,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_ELIGIBLE,1,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
3,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_ELIGIBLE,1,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
4,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,GREEN_ELIGIBLE,1,2,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
5,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_ELIGIBLE,2,2,covered_2x2,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
6,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_ELIGIBLE,2,2,covered_2x2,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
7,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_ELIGIBLE,1,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
8,FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_ELIGIBLE,0,2,needs_more_cases,roe_improvement|cet1_or_capital_ratio_stable|credit_cost_stable|capital_return_execution,pf_credit_cost|capital_ratio_deterioration|roe_decline
9,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_ELIGIBLE,1,2,needs_more_cases,export_country_expansion|consumable_or_repeat_revenue|opm_roe|fy1_fy2_eps_revision,approval_delay|competition_intensifies|asp_decline
10,THEME_VALUATION_OVERHEAT,THEME_VALUATION_OVERHEAT,RED_4B_GUARDRAIL,0,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
11,ONE_OFF_EVENT_DEMAND,ONE_OFF_EVENT_DEMAND,RED_4B_GUARDRAIL,0,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
12,AI_DATA_CENTER_INFRASTRUCTURE,SEMI_EQUIPMENT_CAPEX,GREEN_ELIGIBLE,2,1,needs_more_cases,confirmed_orders|customer_capex_visibility|op_eps_revision|capacity_bottleneck,ai_capex_cut|data_center_delay|theme_without_revenue
13,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,YELLOW_WATCH,0,2,needs_more_cases,customer_adoption|revenue_conversion|repeat_service_or_consumables|gross_margin_improvement,theme_only_mou|no_revenue|cash_flow_deterioration
14,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,YELLOW_WATCH,2,2,covered_2x2,arpu_or_take_rate_up|opm_improvement|recurring_revenue|fy1_fy2_op_revision,mau_without_monetization|regulation|ai_cost_overrun
15,GAME_CONTENT_IP,GAME_CONTENT_IP,YELLOW_WATCH,1,1,needs_more_cases,actual_revenue_conversion|ip_repeatability|global_monetization|op_eps_revision,new_game_hype_only|single_ip_dependence|contract_or_scandal_risk
16,SHIPPING_FREIGHT_CYCLE,SHIPPING_FREIGHT_CYCLE,RED_4B_GUARDRAIL,1,1,needs_more_cases,multi_source_evidence|eps_fcf_support,single_source_story|theme_only
17,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,RED_4B_GUARDRAIL,0,2,guardrail_counterexamples_present,cash_flow_improvement|cost_ratio_stable|debt_reduction|pf_risk_low,pf_loss|unsold_inventory|liquidity_stress|credit_rating_downgrade
18,UTILITIES_REGULATED_TARIFF,UTILITIES_REGULATED_TARIFF,YELLOW_WATCH,0,0,needs_more_cases,tariff_or_cost_improvement|cash_flow_improvement|debt_normalization,tariff_freeze|policy_reversal|debt_burden
19,NUCLEAR_SMR_GRID_POLICY,UTILITIES_REGULATED_TARIFF,YELLOW_WATCH,0,2,needs_more_cases,actual_contract_or_loi|project_financing|revenue_conversion_path,legal_delay|policy_reversal|cost_overrun
20,HOLDING_RESTRUCTURING_GOVERNANCE,HOLDING_RESTRUCTURING_GOVERNANCE,YELLOW_WATCH,0,3,needs_more_cases,actual_cancellation_or_return|nav_discount_catalyst|governance_execution,buyback_without_cancel|subsidiary_value_impairment|event_premium_only
21,TRAVEL_LEISURE_REOPENING,RETAIL_DOMESTIC_CONSUMER,YELLOW_WATCH,1,1,needs_more_cases,visitor_recovery|op_eps_revision|fixed_cost_leverage|customer_mix,oil_or_fx_shock|china_tourism_dependency|demand_slowdown
22,BIOTECH_REGULATORY,BIOTECH_REGULATORY,RED_4B_GUARDRAIL,0,0,needs_more_cases,milestone_payment|commercialization_path|cash_runway,clinical_failure|approval_delay|cb_or_rights_dilution
23,RARE_METALS_STRATEGIC_MATERIALS,COMMODITY_SPREAD,YELLOW_WATCH,0,0,needs_more_cases,smelting_margin|strategic_supply_chain|fcf_or_governance_improvement,pure_metal_price_rally|event_premium_only|governance_dispute_drag
24,RETAIL_DOMESTIC_CONSUMER,RETAIL_DOMESTIC_CONSUMER,YELLOW_WATCH,0,0,needs_more_cases,same_store_sales|opm_improvement|inventory_normalization|high_margin_mix,inventory_increase|online_competition|rent_or_wage_pressure
