target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
INSURANCE_NAV_VALUEUP_SAMSUNG_ELECTRONICS_STAKE,samsung_electronics_stake|insurance_nav_discount|valueup_tailwind|book_value_discount,major_equity_stake_value|nav_discount|k_ics_or_csm_check|shareholder_return_policy,roe_or_net_profit_improves_yoy|k_ics_csm_stable|nav_discount_closes_with_return_execution|pbr_band_rises_from_history,samsung_electronics_stake_priced_before_insurance_execution,k_ics_deteriorates|csm_weakens|return_execution_missing|samsung_electronics_price_only_linkage,k_ics_csm_missing|return_execution_missing|nav_is_price_only,false,false
SHAREHOLDER_RETURN_COMPOUNDING_FINANCIAL_HOLDCO,financial_holdco_valueup|buyback_cancel_policy|roe_improvement|total_shareholder_return,repeat_buyback_cancel|dividend_expansion|capital_ratio_stable|credit_cost_stable,roe_compounds|actual_return_execution_repeats|eps_accretion_from_buyback|pbr_band_rerates_with_profit,return_story_crowded_before_roe,credit_cost_spike|capital_ratio_pressure|return_cut|securities_cycle_loss,credit_cost_unconfirmed|capital_ratio_unconfirmed|return_detail_missing,false,false
DIGITAL_ASSET_BANK_EQUITY_OPTION,bank_digital_asset_stake|dunamu_or_upbit_keyword|blockchain_remittance|digital_asset_policy,stake_value_disclosed|equity_method_income_check|regulatory_approval|exchange_volume_or_fee_revenue,equity_method_income_confirmed|regulated_revenue_model|capital_ratio_stable|security_trust_intact,dunamu_keyword_doubles_price_before_income,exchange_security_incident|regulatory_sanction|equity_method_income_missing|crypto_volume_reversal,regulatory_approval_pending|exchange_security_risk|equity_method_income_missing,false,false
KRW_STABLECOIN_POLICY_THEME,won_stablecoin_policy|stablecoin_related_stock_rally|bok_pilot|issuer_keyword,regulatory_framework_draft|issuer_candidate|payment_or_reserve_model_check,not_green_until_issuance_volume_reserve_income_take_rate_and_regulation_are_verified,stablecoin_theme_doubles_price_before_revenue|policy_framework_unclear|issuer_economics_missing,stablecoin_regulation_damages_margin|reserve_rule_blocks_income|issuer_capital_requirement|price_only_rally,issuer_economics_missing|regulatory_framework_unclear|price_only_rally,false,false
PAYMENT_BIOMETRIC_INFRASTRUCTURE,facepay_headline|biometric_payment|merchant_count|user_count,approved_service|user_merchant_scale|take_rate_check|listed_stock_link_check,take_rate_confirmed|transaction_volume|issuer_economics_visible|privacy_controls_verified,facepay_headline_priced_before_revenue,biometric_privacy_issue|take_rate_missing|issuer_economics_missing|listed_stock_direct_link_missing,take_rate_missing|biometric_privacy_risk|direct_revenue_link_missing,false,false
PAYMENT_PRIVACY_REGULATORY_4C,payment_platform_scale|cross_border_data_transfer|privacy_fine|consent_issue,regulatory_response|governance_fix|platform_trust_check,not_green_until_privacy_issue_is_resolved_and_user_trust_is_intact,payment_platform_priced_before_privacy_resolution,customer_data_transfer_without_consent|privacy_fine|platform_trust_damage|regulatory_sanction,privacy_fine|consent_issue|platform_trust_damage,true,false
CREDIT_INFORMATION_RECURRING_DATA,credit_information_service|rating_data|authentication|financial_customer_base,recurring_data_revenue|subscription_or_usage_fee|financial_it_budget|regulatory_data_protection,data_subscription_growth|opm_or_eps_improves|customer_retention|security_trust_intact,credit_data_story_priced_before_growth,data_protection_tightens|security_incident|financial_it_budget_cut|growth_rate_missing,security_incident_risk|growth_rate_missing|regulatory_data_protection,false,false
SECURITIES_BROKERAGE_MARKET_BETA,kospi_rally|trading_value_spike|brokerage_fee_growth|brokerage_beta,trading_value_sustained|ib_pipeline_check|pf_loss_check|capital_ratio_check,not_green_until_brokerage_fee_ib_pipeline_credit_cost_and_capital_are_visible,market_beta_priced_before_earnings|financial_basket_crowded,trading_value_reverses|pf_ib_loss|tax_policy_shock|market_drawdown,market_beta_only|trading_value_cycle|pf_ib_loss_risk|tax_policy_risk,false,false
BUYBACK_EXECUTION_PRICE_FAILED,buyback_cancel_headline|treasury_share_cancel|shareholder_return_policy,buyback_amount|cancelled_share_amount|eps_accretion_check|same_day_price_reaction,not_green_until_buyback_execution_aligns_with_roe_eps_fcf_and_price_validation,buyback_headline_priced_before_operating_improvement,same_day_price_drop|operating_concern_dominates|eps_roe_not_confirmed|market_expectation_priced,price_failed|operating_concern_dominates|eps_roe_missing,true,false
POLICY_TAX_REVERSAL_MARKET_SHOCK,valueup_policy|tax_policy_change|financial_basket_rally|kospi_market_shock,tax_reversal_detected|basket_drawdown|policy_risk_repriced,not_green_until_policy_risk_clears_and_company_specific_roe_return_execution_remains_intact,valueup_basket_crowded_before_policy_detail,capital_gains_tax_threshold_lowered|dividend_tax_hike|transaction_tax_hike|kospi_market_shock,tax_policy_shock|valueup_basket_crowding|policy_reversal,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|media_report_only|buyback_or_dividend_headline|stablecoin_or_dunamu_headline,detail_fetch_required|capital_return_detail_required|capital_ratio_required|revenue_model_required,not_green_until_capital_return_capital_ratio_digital_revenue_security_and_price_fields_are_verified,headline_priced_before_detail,return_detail_missing|capital_ratio_unknown|digital_finance_revenue_missing|security_detail_missing,opendart_list_only|media_report_only|detail_missing|security_detail_missing,false,false
