target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,redteam_gate,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,validation_role,hard_gate,stage3_green_allowed,production_scoring_changed,normalization_point
STRUCTURAL_SUCCESS_ALIGNED,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,+,+,+,+,+,optional,+,pass_if_no_redteam,industry_structure_change|official_disclosure_or_report|price_attention,contract_order_revenue_or_revision|eps_fcf_bodyweight_change|cross_evidence,medium_term_eps_fcf_revision|valuation_frame_change|price_path_aligned|no_hard_redteam,crowded_new_frame|valuation_saturation|revision_slowdown,hard_redteam|eps_fcf_revision_down|thesis_break,cross_evidence|eps_fcf_bodyweight_change|price_path_aligned|no_hard_redteam,crowded_4b|valuation_saturation|revision_slowdown,"Positive validation bucket for cases where evidence, EPS/FCF, and price path align.",false,true,false,"High score survives only if evidence, price path, and RedTeam all align."
SECTOR_SUCCESS_BUT_4B_WATCH,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,SECTOR_SUCCESS_BUT_4B_WATCH,WATCH_YELLOW_FIRST,maintain,maintain,maintain,weaken,deduct,optional,maintain,stage4b_watch,large_12m_24m_return|universally_bullish_reports|target_multiple_expansion,valuation_band_saturated|new_frame_widely_accepted|revision_still_positive,fundamentals_intact_but_mispricing_reduced,4b_watch|4b_elevated|4b_graduated|crowded_new_frame,revision_down|demand_slowdown|capex_overbuild|margin_peak,evidence_intact|mispricing_not_exhausted,crowding|valuation_saturation|revision_slowdown|capacity_addition,Separates good structures that have already become crowded 4B monitoring cases.,false,false,false,4B is graduation/monitoring language; it is not a fresh Green promotion rule.
PRICE_ONLY_RALLY,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,PRICE_ONLY_RALLY,REDTEAM_FIRST,0,0,0,-,-,0,-,green_block,price_spike|sns_theme|headline_without_numbers,no_eps_revision|no_contract_or_revenue|no_disclosure_support,not_green_without_eps_fcf_and_cross_evidence,price_only_4b_watch|retail_crowding,price_reversal|theme_fade|no_revenue_conversion,,no_eps_fcf|no_contract|no_revenue|theme_only,Green blocker for price-only moves.,false,false,false,"Price can route attention, but price alone is not structural evidence."
EVENT_PREMIUM,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,EVENT_PREMIUM,WATCH_YELLOW_FIRST,0~+,0,0,+,0,0,medium,event_split,tender_offer|control_battle|policy_announcement|mou|disaster_or_disease_event,binding_contract|funded_budget|actual_order|guide_up,repeat_contract_or_revenue_plus_eps_fcf,event_premium_crowded|expected_deal_priced,event_fade|deal_failure|budget_missing|one_off_demand_normalization,actual_order|eps_fcf_conversion,mou_only|policy_only|event_only|deal_failure,Separates policy/event premium from structural rerating.,false,false,false,"Events stay event buckets unless orders, budgets, or earnings convert them."
EVENT_TO_CONTRACT_ESCALATION,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,EVENT_TO_CONTRACT_ESCALATION,WATCH_YELLOW_FIRST,+,+,optional,+,optional,0,+,stage2_candidate,event_news|policy_or_disease_or_rebuild_trigger|mou_or_expectation,government_order|stockpile|funded_budget|financing|binding_contract|guide_up,repeat_contract|revenue_guidance_or_eps_revision|cross_evidence,event_crowded_before_contract,budget_missing|contract_cancelled|one_off_normalization,contract_or_order|revenue_guidance_or_eps_revision,mou_only|unfunded_policy|single_headline,Routes event candidates to Stage 2 only when the event turns into funded contract/order evidence.,false,false,false,Example: disease news is only Stage 1; stockpile order plus guidance can become Stage 2.
CYCLICAL_SUCCESS,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,CYCLICAL_SUCCESS,WATCH_YELLOW_FIRST,+,low,+,0,low,0,medium,cycle_cap,freight_rate_spike|commodity_spread|refining_margin|livestock_price,op_eps_spike|cost_spread_confirmed|cash_generation,cycle_durability_and_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|inventory_build|capacity_addition,multi_period_margin_stability|supply_discipline,normalization_risk|new_supply|spot_price_reversal,Classifies valid cycle wins without calling them structural Green too early.,false,false,false,"Cycle success can be real, but Green needs durability beyond spot prices."
FALSE_POSITIVE_SCORE,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,FALSE_POSITIVE_SCORE,REDTEAM_FIRST,-,-,-,-,-,0,-,score_recalibration,high_score_without_actual_evidence|proxy_score_overfit,earnings_miss|no_price_validation|redteam_ignored,not_applicable_until_score_axis_fixed,false_positive_crowding,price_failed|earnings_failed|audit_or_redteam_ignored,,score_overfit|no_eps_fcf|price_failed|redteam_ignored,Score calibration bucket for high-score failures.,false,false,false,"A keyword-heavy high score is a calibration failure if EPS, price, or RedTeam later rejects it."
EVIDENCE_GOOD_BUT_PRICE_FAILED,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,EVIDENCE_GOOD_BUT_PRICE_FAILED,WATCH_YELLOW_FIRST,+,+,optional,0,-,optional,+,alignment_review,strong_disclosure|solid_report|eps_revision,no_rerating|price_underperforms_peer|liquidity_or_frame_stuck,requires_mispricing_diagnosis_not_green_promotion,market_frame_not_changed,evidence_not_monetized|valuation_frame_stuck|price_below_stage3,additional_price_or_revision_confirmation,price_failed|valuation_frame_stuck|liquidity_low,Autopsy bucket when evidence looked good but price never validated the thesis.,false,false,false,Useful for recalibrating market-mispricing and valuation scores.
REDTEAM_ACCOUNTING_TRUST_OVERLAY,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,hard_block,auditor_resignation|filing_delay|internal_control_issue,financial_restatement|related_party_risk|regulatory_probe,not_applicable_until_trust_restored,accounting_risk_ignored_during_rerating,auditor_resignation|filing_delay|internal_control_weakness|restatement|probe,,auditor_resignation|filing_delay|internal_control_issue|related_party_risk,Hard gate for accounting/audit trust failures.,true,false,false,Growth numbers cannot support Stage 3-Green if reporting integrity breaks.
OPERATIONAL_TRUST_BREAK,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,hard_review,security_outage|privacy_breach|customer_damage|platform_safety_incident,customer_lawsuit|renewal_risk|service_level_break,trust_restoration_and_retention_required,trust_break_ignored_by_growth_story,customer_churn|lawsuit_damage|renewal_decline|brand_trust_loss,,security_outage|privacy_breach|customer_lawsuit|operational_trust_damage,"Operational trust-break overlay for SaaS, security, platform, and infrastructure names.",true,false,false,Recurring revenue is recurring only while customer trust remains intact.
