target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
REFINING_SPREAD_TURNAROUND_KOREA,refining_margin_rebound|diesel_jet_fuel_shortage|middle_east_disruption|refinery_outage,quarterly_op_beat|refining_margin_recovery|inventory_effect_disclosed|op_revision,op_ex_inventory_effect_improves|fcf_improvement|petrochem_battery_drag_reduces|spread_improves_two_quarters|60d_mfe_20pct_after_stage2,refining_margin_news_rally|war_supply_disruption_priced|cycle_peak_near,refining_margin_drop|inventory_loss|battery_loss_expands|petrochemical_spread_weak|logistics_normalization_delay,inventory_loss|temporary_supply_disruption|battery_drag|petrochem_drag,false,false
REFINING_PETCHEM_MIX_DRAG,refining_profit|battery_loss|petrochemical_loss|mixed_business_drag,segment_profit_bridge|battery_loss_disclosed|petrochem_spread_disclosed,not_green_until_non_refining_drag_reduces_and_fcf_improves,refining_profit_priced_while_drag_persists,battery_loss_expands|petrochemical_spread_weak|refining_profit_consumed_by_drag,battery_loss_expands|petrochem_drag|segment_bridge_missing,false,false
PETROCHEMICAL_RESTRUCTURING_KOREA,petrochemical_oversupply|china_capacity|ncc_restructuring_need|government_pressure,restructuring_plan_submitted|government_support|capacity_cut_direction|asset_sale_or_merger,plant_shutdown_executed|spread_recovery|op_eps_revision|fcf_improvement|utilization_improves,restructuring_news_rally_before_spread|government_aid_priced_before_fcf,plan_detail_missing|china_oversupply_persists|spread_weak|capital_injection_burden|impairment_risk,plan_detail_missing|spread_weak|china_oversupply|cashflow_unknown,false,false
NCC_CAPACITY_CUT_STAGE2,ncc_capacity_cut|daesan_ncc|government_restructuring|plant_shutdown,capacity_cut_amount|shutdown_duration|merger_or_consolidation|government_support_amount|capital_injection,ethylene_propylene_spread_recovery|ncc_utilization_improves|operating_loss_to_profit|fcf_improvement,capacity_cut_news_rally_before_spread,shutdown_delayed|spread_recovery_missing|china_oversupply|new_capacity_offsets_cut|capital_injection_burden,spread_recovery_missing|china_oversupply|shutdown_delayed,false,false
NCC_OVERLOAD_SHAHEEN_RISK,shaheen_project|aramco_investment|ethylene_capacity_addition,new_capacity_addition|completion_timeline|capex_burden,not_green_until_new_capacity_absorbed_by_demand_and_spread_recovers,strategic_asset_priced_before_spread_recovery,new_capacity_worsens_oversupply|q2_operating_loss|spread_dilution|capex_burden|capacity_cut_effect_limited,new_capacity_worsens_oversupply|spread_dilution|capex_burden,true,false
SPECIALTY_CHEM_GOVERNANCE_RESTRUCTURING,nav_discount|activism|petrochemical_drag|battery_stake_value,board_refresh_or_buyback_demand|stake_sale|asset_sale_amount|debt_reduction_use,buyback_or_cancel_executed|net_debt_reduction|fcf_recovery|petrochemical_restructuring|nav_discount_closes,activism_news_rally_before_execution|nav_discount_story_crowded,actual_buyback_missing|petrochemical_drag|cashflow_effect_unknown|capital_allocation_not_executed,buyback_missing|petrochemical_drag|cashflow_unknown,false,false
SYNTHETIC_RUBBER_TARIFF_RISK,synthetic_rubber_spread|epdm|sbr_br_ssbr|tire_auto_construction_demand,product_mix|rubber_spread|customer_demand|china_antidumping_duty,spread_improves|china_exposure_reduces|opm_fcf_improves|auto_tire_demand_recovers,tariff_headline_rally|rubber_cycle_rally_without_opm,china_antidumping_duty|auto_construction_demand_slowdown|butadiene_cost_rise|export_exposure_hit,china_antidumping_duty|demand_cycle|butadiene_cost,false,false
TIRE_RUBBER_PRODUCTION_DISRUPTION,tire_demand|rubber_material_chain|factory_capacity|global_auto_customer,production_disruption_identified|capacity_loss_percent|customer_supply_risk,not_green_until_factory_normalized_and_revenue_guidance_recovered,tire_demand_story_ignores_production_disruption,factory_fire|production_halt|capacity_loss_20pct|revenue_target_cut_risk|customer_supply_disruption,factory_fire|production_halt|capacity_loss_20pct,true,false
COMMODITY_SPREAD_CYCLE_NOT_STRUCTURAL,commodity_price_rally|spread_rebound|tariff_headline|raw_material_price_move,spread_rebound_measured|op_revision_observed|cycle_driver_identified,not_green_until_spread_op_fcf_and_supply_cut_are_durable,cycle_rally_priced_as_structural,spread_reversal|china_oversupply|event_supply_disruption_reversal|inventory_loss,cycle_only|price_only_rally|inventory_noise,false,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|media_report|policy_headline|restructuring_plan|factory_announcement,detail_fetch_required|product_spread_required|utilization_opm_fcf_required,not_green_until_product_spread_opm_fcf_and_plan_detail_are_verified,headline_priced_before_detail,plan_detail_missing|media_report_only|spread_missing|opm_unknown|capacity_cut_amount_missing,list_only|media_only|plan_detail_missing|spread_missing,false,false
