target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
K_FOOD_GLOBAL_LOCALIZATION,kfood_global_demand|bibigo_or_global_brand|localization_headline|mainstream_shelf,schwans_distribution|local_production_footprint|japan_hungary_us_plant|overseas_channel,overseas_sales_growth|plant_utilization|opm_fcf_improvement|asp_defended|reorder_signal,localization_narrative_priced_before_utilization,local_plant_utilization_weak|capex_drag|logistics_cost|opm_not_improving,capex_drag|utilization_unknown|opm_missing|fx_logistics_cost,false,false
K_FOOD_GLOBAL_STAPLE_BRAND_SECOND_WAVE,global_staple_brand|choco_pie_or_snack_brand|multi_region_presence,local_production|regional_sales_base|repeat_snack_consumption|multi_country_distribution,regional_sales_growth|regional_opm|input_cost_pass_through|op_eps_revision|new_product_reorder,global_staple_story_crowded,china_consumption_slowdown|russia_fx_geopolitics|cocoa_sugar_wheat_cost|brand_maturity_cap,regional_growth_cap|input_cost_risk|fx_or_geopolitics,false,false
K_FOOD_SINGLE_SKU_EXPORT_RISK,single_sku_export_story|viral_product|export_headline,sku_export_growth|channel_addition|opm_check_required,not_green_until_multi_sku_reorder_opm_and_inventory_are_verified,single_sku_viral_priced_before_reorder,single_sku_slowdown|raw_material_cost|inventory_build|channel_concentration,single_sku_dependency|viral_fad|inventory_unknown,false,false
ECOMMERCE_RESTRUCTURING_JV_KOREA,gmarket_turnaround|aliexpress_korea|cross_border_ecommerce|platform_restructuring,50_50_jv|price_reaction|kftc_conditional_approval|market_share_option,gmv_recovery|take_rate_improvement|ad_revenue_improvement|logistics_marketing_cost_reduction|fcf_improvement,jv_headline_priced_before_synergy,data_sharing_restriction|coupang_naver_competition|monetization_delay|china_crossborder_regulation,data_restriction|synergy_missing|competition_intense,false,false
RETAIL_PLATFORM_DATA_REGULATION_OVERLAY,platform_data_combination|customer_database|cross_border_market_share,regulatory_approval_condition|data_sharing_restriction,not_green_until_data_rule_allows_monetization_and_platform_profitability_is_verified,data_synergy_priced_before_regulation_clears,kftc_data_sharing_restriction|independent_operation_condition|monetization_delay|privacy_or_data_rule_tightens,kftc_data_sharing_restriction|data_regulation|monetization_delay|privacy_condition,true,false
DEPARTMENT_STORE_MALL_REDEVELOPMENT,mall_redevelopment|retailtainment|tourist_recovery|offline_retail_recovery,large_mall_investment_plan|portfolio_transformation|lease_income_option,foot_traffic_growth|sales_per_customer|lease_income_growth|capex_payback|opm_fcf_improvement,redevelopment_story_priced_before_payback,capex_burden|traffic_recovery_failure|tourist_spend_weak|online_competition,capex_burden|traffic_weak|payback_unknown,false,false
CONVENIENCE_STORE_PB_SSSG_KOREA,convenience_defensive_story|pb_food|ready_to_eat_meals|single_household_demand,store_network|pb_mix|sssg|quick_commerce_or_delivery,sssg_growth|pb_mix_rises|franchisee_margin_stable|wage_rent_electricity_controlled|opm_fcf_improvement,defensive_rerating_before_cost_check,wage_rent_electricity_cost_pressure|franchisee_margin_pressure|store_saturation|online_grocery_competition,cost_pressure|franchisee_margin_pressure|sssg_missing,false,false
K_BEAUTY_BRAND_SECOND_WAVE,kbeauty_viral|amazon_tiktok_growth|brand_second_wave|us_import_growth,us_japan_channel_growth|brand_portfolio|offline_entry|online_sales_growth,offline_sell_through|reorder_signal|overseas_asp_defended|inventory_receivables_stable|opm_fcf_improvement,kbeauty_second_wave_basket_rally|viral_priced_before_sellthrough,tariff_exposure|growth_plateau|inventory_or_receivables_spike|low_price_competition,sellthrough_missing|inventory_unknown|tariff_risk,false,false
K_BEAUTY_TARIFF_IMPORT_REVIEW,us_import_growth|kbeauty_boom|tariff_headline,tariff_rate_review|gross_margin_buffer_check|stockpiling_or_purchase_delay,not_green_until_price_hike_tolerance_and_margin_buffer_are_verified,import_growth_priced_before_tariff_margin_check,us_tariff_25pct_risk|stockpiling|purchase_delay|margin_buffer_missing|inventory_shock,tariff_exposure|margin_buffer_missing|stockpiling,false,false
CHANNEL_STUFFING_INVENTORY_OVERLAY,online_viral|channel_entry|export_growth_headline,inventory_receivables_check_required|sellthrough_required|reorder_required,not_green_until_inventory_receivables_and_sellthrough_are_stable,viral_or_entry_priced_before_physical_sellthrough,channel_inventory_or_receivables_spike|offline_sellthrough_failure|growth_plateau|discounting,inventory_spike|receivables_spike|sellthrough_failure,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|media_report|brand_headline|entry_headline|jv_headline,detail_fetch_required|sales_channel_inventory_opm_required|parser_confidence_required,not_green_until_revenue_channel_inventory_opm_and_fcf_detail_are_verified,headline_priced_before_detail,detail_missing|media_report_only|channel_missing|inventory_missing|opm_unknown|fcf_unknown,list_only|media_only|detail_missing|opm_fcf_missing,false,false
