target_id,stage1,stage2,stage3,stage4b,stage4c,loop9_penalty_axes,gate_only,production_scoring_changed
EXPORT_RECURRING_CONSUMER,k_food_export_growth|ramen_viral|capa_expansion|overseas_channel_news,asp_change|us_europe_shipments|op_revision_1q|eps_revision_1q,repeat_orders|channel_sell_through|opm_improvement|fy1_fy2_eps_revision|inventory_stable,k_food_rerating_crowded|target_price_revision_crowded|capacity_expansion_priced,recall_flag|country_sales_ban|foreign_inventory_growth|channel_stuffing|single_product_demand_fatigue,single_product|recall|foreign_inventory|channel_stuffing,false,false
K_FOOD_SINGLE_HERO_PRODUCT,hero_product_viral|spicy_challenge|export_growth|single_sku_awareness,asp_change|sku_expansion|capa_expansion|op_eps_revision,multi_sku_portfolio|multi_country_sell_through|repeat_purchase|opm_improvement,hero_product_narrative_overheated|single_product_story_crowded,country_recall|food_safety_issue|single_product_demand_fatigue|foreign_inventory_growth,hero_product_dependency|recall|viral_safety|foreign_inventory,false,false
K_FOOD_GLOBAL_PORTFOLIO_EXPANSION,k_food_export_growth|sku_expansion|multi_country_channel|capa_expansion,multi_sku_sales|multi_country_shipments|op_eps_revision|channel_diversification,portfolio_repeat_purchase|multi_country_sell_through|opm_improvement|inventory_stable,global_k_food_portfolio_story_crowded|capa_expansion_priced,sku_expansion_failure|foreign_inventory_growth|capa_overbuild|food_safety_issue,sku_expansion|foreign_inventory|capa|food_safety,false,false
K_FOOD_VIRAL_BRAND_CULTURE,viral_campaign|spicy_challenge|creator_content|social_media_awareness,viral_to_sales_conversion|repeat_purchase_signal|opm_check|channel_expansion,sell_through|reorder_signal|opm_improvement|multi_channel_repeat_purchase,viral_narrative_overpriced|single_campaign_story_crowded,viral_fade|single_campaign_failure|discount_promotion_margin_break|food_safety_issue,viral_fade|single_campaign|reorder_unverified|discount,false,false
K_BEAUTY_EXPORT_DISTRIBUTION,us_japan_europe_export_growth|k_beauty_viral|brand_awareness|ecommerce_sales_growth,sephora_ulta_target_costco_channel|offline_channel_entry|online_sales_growth|op_eps_revision,sell_through|reorder_signal|opm_fcf_improvement|china_dependency_down|inventory_receivables_stable,k_beauty_group_overheated|channel_entry_priced|indie_brand_valuation_surge,tariff_flag|import_review|offline_sell_through_failure|inventory_growth|receivables_growth|china_channel_slowdown,tariff|sell_through|inventory|receivables|china_slowdown,false,false
K_BEAUTY_OFFLINE_SELL_THROUGH,offline_channel_negotiation|amazon_tiktok_sales|online_viral|us_retailer_entry,sephora_ulta_target_costco_entry|store_count|initial_shipment|offline_channel_entry,offline_sell_through|reorder_signal|store_expansion|inventory_receivables_stable,channel_entry_priced_before_reorder|k_beauty_offline_story_crowded,reorder_absent|inventory_growth|receivables_growth|discount_clearance,sell_through|reorder|inventory|receivables|discount,false,false
K_BEAUTY_RETAIL_PLATFORM,olive_young_us_entry|sephora_ulta_kbeauty_sourcing|curated_channel_expansion|indie_brand_discovery,store_count|brand_onboarding|initial_sales|online_to_offline_conversion,store_level_sell_through|reorder_signal|inventory_stable|opm_fcf_improvement,platform_premium_crowded|store_expansion_priced_before_unit_economics|online_viral_auto_translated_to_reorder,store_economics_weak|inventory_growth|brand_churn|channel_conflict|receivables_growth,store_economics|inventory|brand_churn|channel_conflict|sell_through,false,false
K_BEAUTY_TARIFF_IMPORT_REVIEW,tariff|import_review|fda_import_review|retailer_stockpiling,tariff_import_risk_detected,not_applicable_gate_only,k_beauty_tariff_risk_ignored,tariff_flag|import_delay|price_increase_failed|gross_margin_buffer_weak|consumer_purchase_pause,tariff|import_review|price_increase|gross_margin_buffer,true,false
BEAUTY_DEVICE_EXPORT,beauty_device_viral|tiktok_sales|influencer_endorsement|device_awareness,device_unit_sales|amazon_tiktok_shop_sales|offline_channel_entry|overseas_sales_ratio,device_asp_stable|repeat_skincare_consumables|device_margin|opm_improvement,beauty_device_narrative_overheated|share_price_multiple_expansion|celebrity_endorsement_crowded,device_competition|safety_regulatory_issue|tariff|hero_product_fatigue,4b_crowding|device_competition|regulation|tariff,false,false
BEAUTY_DEVICE_AFFILIATE_COMMERCE,tiktok_affiliate|creator_network|prime_day_sales|viral_review,actual_commerce_sales|creator_conversion|store_rollout|affiliate_revenue,affiliate_cac_stable|discount_rate_stable|reorder_signal|opm_improvement,tiktok_amazon_sales_number_overpriced|affiliate_story_crowded,creator_roi_down|discount_rate_increase|viral_fade|channel_inventory_build,cac|discount|creator_dependency|viral_fade|inventory,false,false
BEAUTY_DEVICE_REGULATORY_SAFETY,device_safety_claim|medical_grade_claim|electrical_device_claim|country_regulation,regulatory_safety_risk_detected,not_applicable_gate_only,safety_or_clinical_claim_underpriced,medical_device_regulatory_risk|safety_claim_challenge|country_sales_restriction|product_liability,device_safety|medical_claim|country_regulation,true,false
BEAUTY_OEM_ODM_SUPPLYCHAIN,global_k_beauty_order_growth|brand_customer_growth|production_utilization,customer_diversification|repeat_orders|capacity_utilization|opm_improvement,overseas_customer_diversification|repeat_orders|eps_fcf_bodyweight_change|receivables_stable,beauty_supply_chain_premium_crowded,customer_sell_through_slowdown|inventory_growth|receivables_growth|customer_concentration,customer_diversification|inventory|receivables|brand_sell_through,false,false
