target_id,stage1,stage2,stage3,stage4b,stage4c,loop10_penalty_axes,hard_gate,production_scoring_changed
MEMORY_HBM_CAPACITY,hbm3e_hbm4_demand|nvidia_supply_chain|ai_memory_shortage,hbm_revenue_share|hbm_capacity_growth|customer_allocation|price_band_or_prepayment,multi_year_eps_revision|hbm_capacity_constraint|lta_or_prepayment|old_memory_frame_shift,hbm_consensus_crowded|market_cap_rerating_saturated|customer_price_resistance,ai_capex_slowdown|capacity_oversupply|hbm_price_decline|customer_order_cut,4b_crowding|capacity_normalization|customer_price_resistance,false,false
MEMORY_HBM_LTA_PREPAYMENT,hbm_supply_security|lta_negotiation|capacity_reservation_keyword|customer_prepayment,hbm_lta_flag|hbm_price_band_flag|prepayment_flag|capacity_reservation_flag|customer_name,lta_revenue_conversion|multi_year_eps_revision|fcf_visibility|capacity_locked_by_customer,lta_prepayment_narrative_crowded|hbm_market_share_fully_priced|contract_visibility_over_extrapolated,weak_binding_contract|customer_order_cut|price_band_down|prepayment_absent|capacity_reservation_cancelled,contract_binding_quality|prepayment_quality|capacity_reservation|customer_concentration,false,false
HBM_CATCHUP_EXECUTION,hbm4_sample|hbm4_shipping|hbm4e_sample_plan|amd_or_nvidia_memory_mou,customer_qualification|volume_shipment|hbm4_yield_signal|customer_specific_base_die,yield_stable|hbm_revenue_share_growth|fy1_fy2_eps_revision|customer_adoption_visible,catchup_expectation_crowded|qualification_priced_before_volume,qualification_delay|yield_shortfall|labor_strike|production_disruption|foundry_execution_issue,qualification|yield|labor|foundry_execution,false,false
HBM_CATCHUP_EXECUTION_RISK,labor_strike|bonus_gap|production_disruption|foundry_logic_execution_issue,execution_risk_detected|qualification_delay|yield_shortfall,not_applicable_overlay,catchup_expectation_priced_before_volume|execution_risk_ignored,labor_strike|production_disruption|qualification_delay|yield_shortfall|talent_retention_risk,labor|yield|production|qualification,false,false
MEMORY_SUPPLY_REALLOCATION,consumer_memory_exit|ai_customer_allocation|memory_shortage|capacity_reallocation,consumer_memory_exit_flag|strategic_customer_allocation_flag|capacity_reallocation_flag|dram_nand_mix,ai_customer_mix_improves_opm|supply_reallocation_to_hbm_or_enterprise|multi_quarter_op_eps_revision,supply_reallocation_story_crowded|consumer_exit_read_as_clean_shortage,consumer_demand_destruction|ai_capex_slowdown|hbm_supply_normalization|memory_price_reversal,consumer_demand_destruction|ai_capex_slowdown|supply_normalization,false,false
AI_STORAGE_NAND_SHORTAGE,ai_storage_demand|enterprise_ssd_shortage|nand_underinvestment|ssd_asp_increase,nand_profit_growth|enterprise_ssd_revenue|profit_guidance_raise|op_eps_revision,multi_year_nand_shortage|ai_storage_eps_revision|supply_discipline,ai_storage_narrative_crowded|stock_up_10x_20x|nand_shortage_fully_priced,supply_rebound|consumer_demand_destruction|ssd_price_reversal|memory_price_reversal,nand_cycle_reversal|supply_rebound|4b_crowding,false,false
COMMODITY_MEMORY_GENERAL_SEMI,dram_nand_price_rebound|hbm_conversion_supply_squeeze|memory_contract_price_up,contract_price_up|inventory_normalization|op_eps_revision|supply_discipline,multi_quarter_revision|supply_discipline|old_memory_cycle_frame_shift,memory_cycle_crowded|stock_multiple_expansion|spot_price_fully_priced,supply_rebound|contract_price_decline|customer_capex_cut|inventory_build,nand_dram_cycle_reversal|supply_rebound,false,false
SEMI_EQUIPMENT_AI_CAPEX,wfe_capex|hbm_fab_capex|advanced_node_capex|packaging_tool_keyword,equipment_order_growth|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_capex_crowded|customer_capex_peak|order_growth_slowdown,order_pushout|export_control|customer_capex_cut|inventory_build,customer_capex_peak|order_delay|export_control,false,false
SEMI_MATERIALS_PROCESS,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,qualification_crowded|material_theme_fully_priced,qualification_delay|customer_capex_cut|price_pressure,qualification_delay|customer_concentration|price_pressure,false,false
CUSTOM_AI_ASIC_HYPERSCALER,custom_ai_asic|hyperscaler_custom_chip|google_tpu|meta_mtia|openai_custom_accelerator,custom_ai_asic_revenue|hyperscaler_customer_name|tsmc_capacity_secured_flag|ai_chip_revenue,repeat_custom_asic_revenue|margin_visible|customer_diversification|fcf_conversion,custom_asic_narrative_crowded|single_customer_growth_extrapolated|tsmc_capacity_fully_priced,customer_project_delay|custom_chip_margin_pressure|startup_customer_credit_risk|tsmc_capacity_miss,customer_concentration|margin|startup_credit|capacity,false,false
CUSTOM_AI_ASIC_MARGIN_CONCENTRATION,single_hyperscaler_dependency|custom_chip_low_margin|startup_customer_exposure|asic_project_delay,concentration_risk_detected|custom_chip_margin_unverified|customer_credit_risk_detected,not_applicable_gate_only,custom_ai_asic_visibility_overstated|customer_concentration_ignored,customer_project_delay|customer_loss|margin_miss|startup_customer_default|tsmc_capacity_loss,customer_concentration|margin|startup_credit|project_delay,true,false
ADVANCED_PACKAGING_COWOS_EMIB,cowos_s_l|emib|interposer|hbm_gpu_package_bottleneck,packaging_order|lead_time_extended|capacity_shortage|yield_progress,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,cowos_capacity_fourfold|packaging_consensus_crowded|capacity_expansion,bottleneck_easing|yield_issue|customer_capex_delay,capacity_normalization|yield|capex_cycle,false,false
ADVANCED_PACKAGING_PCB,ai_server_pcb|high_layer_pcb|optical_transceiver_pcb|glass_substrate_keyword,pcb_lead_time_extended|order_visibility|capacity_constraint|op_eps_revision,pcb_revenue_conversion|pricing_power|customer_diversification,pcb_theme_crowded|new_capacity|lead_time_normalization,inventory_build|customer_order_delay|yield_issue|theme_without_order,lead_time_normalization|customer_concentration|inventory,false,false
OPTICAL_NETWORKING_AI_DATACENTER,800g_1_6t_transceiver|laser_supply_constraint|silicon_photonics|ai_datacenter_network,hyperscaler_contract|lead_time_6_weeks_to_6_months|order_visibility,long_term_contract|op_eps_revision|optical_bottleneck_confirmed,optical_pcb_crowded|new_capacity|lead_time_normalization,lead_time_normalization|customer_capex_delay|order_cancellation,lead_time_normalization|customer_concentration|valuation_crowding,false,false
AI_NETWORKING_SWITCHING_INFRA,ai_datacenter_networking|ethernet_ai_fabric|hyperscaler_switching|ai_infrastructure_orders,ai_networking_orders|hyperscaler_order_value|data_center_switching_order_growth|guidance_raise,orders_to_recurring_revenue|opm_conversion|fcf_conversion|customer_lock_in,ai_networking_narrative_crowded|switching_order_fully_priced|legacy_drag_ignored,hyperscaler_order_delay|legacy_networking_drag|restructuring_cost|margin_miss,hyperscaler_concentration|legacy_mix|restructuring|order_delay,false,false
